 0   0     -0.5886181306E-02      0.1495422743-152
 1   0     -0.2858529615E-02      0.6168425123-144
 2   0     -0.1760586404E-01      0.1078221076-129
 3   0      0.5400944082E-02      0.1049551029-111
 4   0      0.2202082312E-01      0.3633232241E-92
 5   0     -0.1872039854E-01      0.3620507183E-73
 6   0      0.1213996762E-01      0.2345076418E-56
 7   0     -0.4290863262E-02      0.9659556404E-43
 8   0     -0.5173578243E-02      0.1087079092E-32
 9   0      0.9231233634E-02      0.4364299514E-26
10   0     -0.1252566380E-01      0.1368586045E-22
 0   1     -0.1617667536E-02      0.6168425123-144
 1   1      0.8468802331E-02      0.1430181158-135
 2   1     -0.7921277707E-03      0.9274778773-122
 3   1     -0.1380295062E-01      0.2378940076-104
 4   1      0.1310742299E-02      0.1701402071E-85
 5   1      0.2252048258E-02      0.3087141747E-67
 6   1     -0.8525083125E-03      0.3640973486E-51
 7   1     -0.1237597783E-02      0.3098500377E-38
 8   1     -0.2219779739E-02      0.9188396227E-29
 9   1      0.3655835678E-02      0.1368586045E-22
10   1      0.1324349423E-01      0.2412326600E-19
 0   2      0.5254875177E-02      0.1078221076-129
 1   2      0.7139708733E-02      0.9274778773-122
 2   2      0.1321316340E-01      0.1091571238-108
 3   2      0.4147970109E-02      0.2819771465E-92
 4   2     -0.5594836103E-02      0.1336223176E-74
 5   2      0.4287331649E-02      0.1292549039E-57
 6   2     -0.5313573531E-02      0.8126927587E-43
 7   2      0.6513888405E-02      0.4582495651E-31
 8   2      0.2567445049E-02      0.1368586045E-22
 9   2     -0.1385445426E-01      0.3699478580E-17
10   2     -0.9420404194E-02      0.2419265338E-14
 0   3     -0.6176916667E-02      0.1049551029-111
 1   3     -0.1752215188E-01      0.2378940076-104
 2   3     -0.5126738373E-02      0.2819771465E-92
 3   3      0.2796149273E-02      0.3322386686E-77
 4   3     -0.2122031580E-02      0.4088854666E-61
 5   3     -0.1654974244E-03      0.7667436452E-46
 6   3      0.2877572776E-02      0.9345661099E-33
 7   3     -0.4930996016E-02      0.1368586045E-22
 8   3     -0.4128193460E-02      0.1864303401E-15
 9   3      0.1286637003E-01      0.5075360391E-11
10   3      0.1461998846E-01      0.8745689882E-09
 0   4      0.6809370220E-03      0.3633232241E-92
 1   4      0.9401824885E-02      0.1701402071E-85
 2   4     -0.1679234893E-02      0.1336223176E-74
 3   4     -0.1504272598E-02      0.4088854666E-61
 4   4      0.1431423971E-02      0.6714877671E-47
 5   4      0.7672319829E-03      0.1189048147E-33
 6   4     -0.3627659791E-02      0.1368586045E-22
 7   4      0.2164659695E-02      0.2674355400E-14
 8   4      0.1495280562E-01      0.9461282569E-09
 9   4     -0.1493905679E-01      0.1706640084E-05
10   4     -0.4284005190E-01      0.6075793190E-04
 0   5      0.3669683966E-02      0.3620507183E-73
 1   5     -0.1917742061E-03      0.3087141747E-67
 2   5      0.3318348469E-02      0.1292549039E-57
 3   5     -0.1051649207E-02      0.7667436452E-46
 4   5      0.2110420622E-02      0.1189048147E-33
 5   5     -0.6115947961E-02      0.1368586045E-22
 6   5      0.8423399886E-02      0.1023896613E-13
 7   5      0.1902331763E-02      0.1889365340E-07
 8   5     -0.4087826996E-01      0.1295768202E-03
 9   5      0.3729023619E-01      0.1246056291E-01
10   5      0.2018494479E+00      0.8077408794E-01
 0   6     -0.3298421915E-02      0.2345076418E-56
 1   6     -0.2231145680E-02      0.3640973486E-51
 2   6     -0.5125491829E-02      0.8126927587E-43
 3   6      0.5740314099E-02      0.9345661099E-33
 4   6     -0.8709497255E-02      0.1368586045E-22
 5   6      0.1357552012E-01      0.1023896613E-13
 6   6     -0.1088937220E-01      0.4979106750E-07
 7   6     -0.2099214051E-01      0.8676091013E-03
 8   6      0.2236011618E+00      0.1153495635E+00
 9   6      0.4909056140E+00      0.5913501545E+00
10   6      0.5164806191E+00      0.6979952626E+00
 0   7      0.4346622138E-02      0.9659556404E-43
 1   7      0.1947460607E-02      0.3098500377E-38
 2   7      0.4327187541E-02      0.4582495651E-31
 3   7     -0.4694700451E-02      0.1368586045E-22
