 0   0      0.8103397844E-02      0.1006443183E-03      0.1006443183E-03
 1   0      0.2073935743E-02      0.1660745079E-02      0.1929554228E-03
 2   0      0.1103070736E-02      0.1198409294E-02      0.2782895614E-04
 3   0      0.1355694517E-03      0.1790204150E-03      0.1148837576E-04
 4   0      0.1333307044E-02      0.1589505236E-02      0.4519367998E-06
 0   1      0.2073935743E-02      0.1929554228E-03      0.1660745079E-02
 1   1      0.6508979828E-03      0.5227578400E-03      0.5227578400E-03
 2   1      0.2264874008E-03      0.1315053715E-03      0.2175193282E-03
 3   1      0.6457133056E-04      0.1993358847E-04      0.4891987160E-04
 4   1      0.1292107720E-03      0.7962443197E-04      0.1957692427E-03
 0   2      0.1103070736E-02      0.2782895614E-04      0.1198409294E-02
 1   2      0.2264874008E-03      0.2175193282E-03      0.1315053715E-03
 2   2      0.7063072088E-04      0.5396417685E-04      0.5396417685E-04
 3   2      0.1907098268E-04      0.1177599064E-04      0.8092159715E-05
 4   2      0.4126963670E-04      0.2175374740E-04      0.6477862057E-04
 0   3      0.1355694517E-03      0.1148837576E-04      0.1790204150E-03
 1   3      0.6457133056E-04      0.4891987160E-04      0.1993358847E-04
 2   3      0.1907098268E-04      0.8092159715E-05      0.1177599064E-04
 3   3      0.2833655626E-05      0.2148339704E-05      0.2148339704E-05
 4   3      0.1750113234E-04      0.1020339418E-04      0.2963262074E-04
 0   4      0.1333307044E-02      0.4519367998E-06      0.1589505236E-02
 1   4      0.1292107720E-03      0.1957692427E-03      0.7962443197E-04
 2   4      0.4126963670E-04      0.6477862057E-04      0.2175374740E-04
 3   4      0.1750113234E-04      0.2963262074E-04      0.1020339418E-04
 4   4      0.6601860416E-05      0.1812961932E-05      0.1812961932E-05
 0   0      0.1079080979E-02      0.3841437259E-06      0.1372757471E-02
 1   0      0.1156795836E-03      0.1787455087E-03      0.3834181611E-04
 2   0      0.3484644913E-04      0.5650615195E-04      0.1011728428E-04
 3   0      0.1203278767E-04      0.2372931719E-04      0.1360707523E-05
 4   0      0.1324529626E-04      0.1906868931E-05      0.1183654686E-04
 0   1      0.1253622137E-03      0.1347402869E-05      0.1927683545E-03
 1   1      0.1029785353E-04      0.2393678602E-04      0.7662314262E-05
 2   1      0.2494377602E-05      0.7839544967E-05      0.3280589028E-05
 3   1      0.5405887476E-06      0.3437983221E-05      0.2004592587E-05
 4   1      0.1877374654E-05      0.6894147264E-07      0.1717668189E-05
 0   2      0.5245963277E-04      0.4949106332E-06      0.8591570351E-04
