TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.96020,  DATAPACKING = POINT
   0.00000     0.00000     0.16108    -0.16107    -0.16107       8     8     0
   0.00796     0.00000     0.15974    -0.16039    -0.15973       8     8     0
   0.04099     0.00000     0.15391    -0.15716    -0.15390       8     8     0
   0.09666     0.00000     0.14372    -0.15096    -0.14373       8     8     0
   0.16894     0.00000     0.13182    -0.14169    -0.13182       8     8     0
   0.25000     0.00000     0.12297    -0.12903    -0.12291       8     8     0
   0.33106     0.00000     0.12161    -0.11301    -0.12157       8     8     0
   0.40334     0.00000     0.13015    -0.09432    -0.13011       8     8     0
   0.45901     0.00000     0.14573    -0.07557    -0.14568       8     8     0
   0.49204     0.00000     0.15935    -0.06167    -0.15938       8     8     0
   0.50000     0.00000     0.16311    -0.05788    -0.16319       8     8     0
   0.00000     0.00796     0.15974    -0.15973    -0.16039       8     8     0
   0.00796     0.00796     0.15832    -0.15903    -0.15903       8     8     0
   0.04099     0.00796     0.15224    -0.15575    -0.15306       8     8     0
   0.09666     0.00796     0.14172    -0.14955    -0.14265       8     8     0
   0.16894     0.00796     0.12934    -0.14051    -0.13046       8     8     0
   0.25000     0.00796     0.11966    -0.12844    -0.12103       8     8     0
   0.33106     0.00796     0.11696    -0.11334    -0.11875       8     8     0
   0.40334     0.00796     0.12377    -0.09589    -0.12614       8     8     0
   0.45901     0.00796     0.13765    -0.07837    -0.14072       8     8     0
   0.49204     0.00796     0.15022    -0.06533    -0.15389       8     8     0
   0.50000     0.00796     0.15376    -0.06177    -0.15760       8     8     0
   0.00000     0.04099     0.15391    -0.15390    -0.15716       8     8     0
   0.00796     0.04099     0.15224    -0.15306    -0.15575       8     8     0
   0.04099     0.04099     0.14527    -0.14949    -0.14949       8     8     0
   0.09666     0.04099     0.13370    -0.14336    -0.13860       8     8     0
   0.16894     0.04099     0.11998    -0.13534    -0.12578       8     8     0
   0.25000     0.04099     0.10748    -0.12534    -0.11470       8     8     0
   0.33106     0.04099     0.09997    -0.11346    -0.10927       8     8     0
   0.40334     0.04099     0.10019    -0.10080    -0.11237       8     8     0
   0.45901     0.04099     0.10659    -0.08831    -0.12226       8     8     0
   0.49204     0.04099     0.11391    -0.07892    -0.13243       8     8     0
   0.50000     0.04099     0.11621    -0.07638    -0.13551       8     8     0
   0.00000     0.09666     0.14372    -0.14373    -0.15096       8     8     0
   0.00796     0.09666     0.14172    -0.14265    -0.14955       8     8     0
   0.04099     0.09666     0.13370    -0.13860    -0.14336       8     8     0
   0.09666     0.09666     0.12123    -0.13281    -0.13281       8     8     0
   0.16894     0.09666     0.10598    -0.12615    -0.12010       8     8     0
   0.25000     0.09666     0.09054    -0.11880    -0.10832       8     8     0
   0.33106     0.09666     0.07853    -0.11120    -0.10102       8     8     0
   0.40334     0.09666     0.07058    -0.10403    -0.09934       8     8     0
   0.45901     0.09666     0.06672    -0.09805    -0.10236       8     8     0
   0.49204     0.09666     0.06649    -0.09424    -0.10716       8     8     0
   0.50000     0.09666     0.06680    -0.09328    -0.10880       8     8     0
   0.00000     0.16894     0.13182    -0.13182    -0.14169       8     8     0
   0.00796     0.16894     0.12934    -0.13046    -0.14051       8     8     0
   0.04099     0.16894     0.11998    -0.12578    -0.13534       8     8     0
   0.09666     0.16894     0.10598    -0.12010    -0.12615       8     8     0
   0.16894     0.16894     0.08897    -0.11486    -0.11486       8     8     0
   0.25000     0.16894     0.07194    -0.11054    -0.10476       8     8     0
   0.33106     0.16894     0.05728    -0.10635    -0.09746       8     8     0
   0.40334     0.16894     0.04498    -0.10265    -0.09316       8     8     0
   0.45901     0.16894     0.03656    -0.10128    -0.09198       8     8     0
   0.49204     0.16894     0.03201    -0.10094    -0.09221       8     8     0
   0.50000     0.16894     0.03082    -0.10076    -0.09229       8     8     0
   0.00000     0.25000     0.12297    -0.12291    -0.12903       8     8     0
   0.00796     0.25000     0.11966    -0.12103    -0.12844       8     8     0
   0.04099     0.25000     0.10748    -0.11470    -0.12534       8     8     0
   0.09666     0.25000     0.09054    -0.10832    -0.11880       8     8     0
   0.16894     0.25000     0.07194    -0.10476    -0.11054       8     8     0
   0.25000     0.25000     0.05363    -0.10238    -0.10238       8     8     0
   0.33106     0.25000     0.03812    -0.09987    -0.09498       8     8     0
