TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   0.90020,  DATAPACKING = POINT
   0.00000     0.00000    -0.00000    -0.00001    -0.00001       8     8     0
   0.00796     0.00000     0.00000     0.00001    -0.00001       8     8     0
   0.04099     0.00000     0.00001     0.00009    -0.00002       8     8     0
   0.09666     0.00000     0.00001     0.00007    -0.00001       8     8     0
   0.16894     0.00000     0.00001    -0.00001    -0.00000       8     8     0
   0.25000     0.00000    -0.00000     0.00001    -0.00001       8     8     0
   0.33106     0.00000    -0.00002     0.00001     0.00007       8     8     0
   0.40334     0.00000     0.00004    -0.00002    -0.00002       8     8     0
   0.45901     0.00000     0.00000    -0.00013    -0.00021       8     8     0
   0.49204     0.00000    -0.00016    -0.00000    -0.00017       8     8     0
   0.50000     0.00000    -0.00022     0.00012    -0.00011       8     8     0
   0.00000     0.00796     0.00000    -0.00001     0.00001       8     8     0
   0.00796     0.00796     0.00001    -0.00001    -0.00001       8     8     0
   0.04099     0.00796     0.00001     0.00002    -0.00003       8     8     0
   0.09666     0.00796     0.00001     0.00003     0.00000       8     8     0
   0.16894     0.00796     0.00001    -0.00002    -0.00001       8     8     0
   0.25000     0.00796     0.00000     0.00001    -0.00000       8     8     0
   0.33106     0.00796    -0.00004     0.00001     0.00005       8     8     0
   0.40334     0.00796     0.00004    -0.00005    -0.00003       8     8     0
   0.45901     0.00796     0.00007    -0.00009    -0.00010       8     8     0
   0.49204     0.00796    -0.00006     0.00008    -0.00006       8     8     0
   0.50000     0.00796    -0.00011     0.00018    -0.00003       8     8     0
   0.00000     0.04099     0.00001    -0.00002     0.00009       8     8     0
   0.00796     0.04099     0.00001    -0.00003     0.00002       8     8     0
   0.04099     0.04099     0.00002    -0.00004    -0.00004       8     8     0
   0.09666     0.04099    -0.00000    -0.00001     0.00001       8     8     0
   0.16894     0.04099     0.00004    -0.00000    -0.00004       8     8     0
   0.25000     0.04099     0.00002     0.00001    -0.00002       8     8     0
   0.33106     0.04099    -0.00004     0.00003     0.00003       8     8     0
   0.40334     0.04099     0.00008    -0.00011    -0.00002       8     8     0
   0.45901     0.04099     0.00003    -0.00004    -0.00001       8     8     0
   0.49204     0.04099    -0.00017     0.00016    -0.00001       8     8     0
   0.50000     0.04099    -0.00022     0.00020    -0.00003       8     8     0
   0.00000     0.09666     0.00001    -0.00001     0.00007       8     8     0
   0.00796     0.09666     0.00001     0.00000     0.00003       8     8     0
   0.04099     0.09666    -0.00000     0.00001    -0.00001       8     8     0
   0.09666     0.09666    -0.00005     0.00004     0.00004       8     8     0
   0.16894     0.09666    -0.00001    -0.00002     0.00002       8     8     0
   0.25000     0.09666     0.00001    -0.00001    -0.00002       8     8     0
   0.33106     0.09666    -0.00002     0.00009    -0.00001       8     8     0
   0.40334     0.09666     0.00014    -0.00015     0.00002       8     8     0
   0.45901     0.09666    -0.00003    -0.00010    -0.00002       8     8     0
   0.49204     0.09666    -0.00034     0.00020    -0.00006       8     8     0
   0.50000     0.09666    -0.00039     0.00027    -0.00006       8     8     0
   0.00000     0.16894     0.00001    -0.00000    -0.00001       8     8     0
   0.00796     0.16894     0.00001    -0.00001    -0.00002       8     8     0
   0.04099     0.16894     0.00004    -0.00004    -0.00000       8     8     0
   0.09666     0.16894    -0.00001     0.00002    -0.00002       8     8     0
   0.16894     0.16894    -0.00000     0.00001     0.00001       8     8     0
   0.25000     0.16894     0.00001    -0.00005     0.00005       8     8     0
   0.33106     0.16894    -0.00010     0.00006    -0.00005       8     8     0
   0.40334     0.16894     0.00010    -0.00005     0.00001       8     8     0
   0.45901     0.16894     0.00021    -0.00012     0.00011       8     8     0
   0.49204     0.16894    -0.00001     0.00009     0.00008       8     8     0
   0.50000     0.16894    -0.00010     0.00016     0.00006       8     8     0
   0.00000     0.25000    -0.00000    -0.00001     0.00001       8     8     0
   0.00796     0.25000     0.00000    -0.00000     0.00001       8     8     0
   0.04099     0.25000     0.00002    -0.00002     0.00001       8     8     0
   0.09666     0.25000     0.00001    -0.00002    -0.00001       8     8     0
   0.16894     0.25000     0.00001     0.00005    -0.00005       8     8     0
   0.25000     0.25000     0.00006    -0.00001    -0.00001       8     8     0
   0.33106     0.25000    -0.00001    -0.00000     0.00002       8     8     0
   0.40334     0.25000    -0.00004     0.00006    -0.00000       8     8     0
   0.45901     0.25000     0.00008    -0.00008     0.00001       8     8     0
   0.49204     0.25000     0.00011    -0.00010     0.00004       8     8     0
   0.50000     0.25000     0.00008    -0.00006     0.00005       8     8     0
   0.00000     0.33106    -0.00002     0.00007     0.00001       8     8     0
   0.00796     0.33106    -0.00004     0.00005     0.00001       8     8     0
   0.04099     0.33106    -0.00004     0.00003     0.00003       8     8     0
   0.09666     0.33106    -0.00002    -0.00001     0.00009       8     8     0
   0.16894     0.33106    -0.00010    -0.00005     0.00006       8     8     0
   0.25000     0.33106    -0.00001     0.00002    -0.00000       8     8     0
   0.33106     0.33106     0.00011     0.00002     0.00002       8     8     0
   0.40334     0.33106    -0.00005    -0.00002    -0.00001       8     8     0
   0.45901     0.33106     0.00016     0.00019     0.00015       8     8     0
   0.49204     0.33106     0.00091     0.00068     0.00064       8     8     0
   0.50000     0.33106     0.00120     0.00089     0.00084       8     8     0
   0.00000     0.40334     0.00004    -0.00002    -0.00002       8     8     0
   0.00796     0.40334     0.00004    -0.00003    -0.00005       8     8     0
   0.04099     0.40334     0.00008    -0.00002    -0.00011       8     8     0
   0.09666     0.40334     0.00014     0.00002    -0.00015       8     8     0
   0.16894     0.40334     0.00010     0.00001    -0.00005       8     8     0
   0.25000     0.40334    -0.00004    -0.00000     0.00006       8     8     0
   0.33106     0.40334    -0.00005    -0.00001    -0.00002       8     8     0
   0.40334     0.40334     0.00058     0.00036     0.00036       8     8     0
   0.45901     0.40334     0.00305     0.00212     0.00217       8     8     0
   0.49204     0.40334     0.00726     0.00516     0.00517       8     8     0
   0.50000     0.40334     0.00886     0.00630     0.00632       8     8     0
   0.00000     0.45901     0.00000    -0.00021    -0.00013       8     8     0
   0.00796     0.45901     0.00007    -0.00010    -0.00009       8     8     0
   0.04099     0.45901     0.00003    -0.00001    -0.00004       8     8     0
   0.09666     0.45901    -0.00003    -0.00002    -0.00010       8     8     0
   0.16894     0.45901     0.00021     0.00011    -0.00012       8     8     0
   0.25000     0.45901     0.00008     0.00001    -0.00008       8     8     0
   0.33106     0.45901     0.00016     0.00015     0.00019       8     8     0
   0.40334     0.45901     0.00305     0.00217     0.00212       8     8     0
   0.45901     0.45901     0.01295     0.00909     0.00909       8     8     0
   0.49204     0.45901     0.02754     0.01936     0.01947       8     8     0
   0.50000     0.45901     0.03276     0.02302     0.02316       8     8     0
   0.00000     0.49204    -0.00016    -0.00017    -0.00000       8     8     0
   0.00796     0.49204    -0.00006    -0.00006     0.00008       8     8     0
   0.04099     0.49204    -0.00017    -0.00001     0.00016       8     8     0
   0.09666     0.49204    -0.00034    -0.00006     0.00020       8     8     0
   0.16894     0.49204    -0.00001     0.00008     0.00009       8     8     0
   0.25000     0.49204     0.00011     0.00004    -0.00010       8     8     0
   0.33106     0.49204     0.00091     0.00064     0.00068       8     8     0
   0.40334     0.49204     0.00726     0.00517     0.00516       8     8     0
   0.45901     0.49204     0.02754     0.01947     0.01936       8     8     0
   0.49204     0.49204     0.05513     0.03887     0.03887       8     8     0
   0.50000     0.49204     0.06454     0.04547     0.04551       8     8     0
   0.00000     0.50000    -0.00022    -0.00011     0.00012       8     8     0
   0.00796     0.50000    -0.00011    -0.00003     0.00018       8     8     0
   0.04099     0.50000    -0.00022    -0.00003     0.00020       8     8     0
   0.09666     0.50000    -0.00039    -0.00006     0.00027       8     8     0
   0.16894     0.50000    -0.00010     0.00006     0.00016       8     8     0
   0.25000     0.50000     0.00008     0.00005    -0.00006       8     8     0
   0.33106     0.50000     0.00120     0.00084     0.00089       8     8     0
