TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.90000,  DATAPACKING = POINT
   0.00000     0.00000     0.00149    -0.00097    -0.00097       4     4     0
   0.02346     0.00000     0.00222    -0.00088    -0.00225       4     4     0
   0.11538     0.00000     0.00152     0.00130    -0.00226       4     4     0
   0.25000     0.00000     0.00056     0.00387     0.00227       4     4     0
   0.38462     0.00000     0.00357     0.00214     0.00335       4     4     0
   0.47654     0.00000     0.00058     0.00074     0.00247       4     4     0
   0.50000     0.00000    -0.00222     0.00088     0.00248       4     4     0
   0.00000     0.02346     0.00222    -0.00225    -0.00088       4     4     0
   0.02346     0.02346     0.00174    -0.00202    -0.00202       4     4     0
   0.11538     0.02346     0.00100     0.00129    -0.00248       4     4     0
   0.25000     0.02346     0.00175     0.00293     0.00056       4     4     0
   0.38462     0.02346     0.00055    -0.00212     0.00073       4     4     0
   0.47654     0.02346    -0.00480    -0.00127    -0.00076       4     4     0
   0.50000     0.02346    -0.00714     0.00098    -0.00102       4     4     0
   0.00000     0.11538     0.00152    -0.00226     0.00130       4     4     0
   0.02346     0.11538     0.00100    -0.00248     0.00129       4     4     0
   0.11538     0.11538    -0.00104    -0.00056    -0.00056       4     4     0
   0.25000     0.11538    -0.00053     0.00084    -0.00252       4     4     0
   0.38462     0.11538     0.00303    -0.00218    -0.00010       4     4     0
   0.47654     0.11538     0.00160     0.00055     0.00138       4     4     0
   0.50000     0.11538    -0.00015     0.00322     0.00114       4     4     0
   0.00000     0.25000     0.00056     0.00227     0.00387       4     4     0
   0.02346     0.25000     0.00175     0.00056     0.00293       4     4     0
   0.11538     0.25000    -0.00053    -0.00252     0.00084       4     4     0
   0.25000     0.25000    -0.00331     0.00107     0.00107       4     4     0
   0.38462     0.25000     0.00532     0.00507     0.00219       4     4     0
   0.47654     0.25000     0.00738    -0.00080     0.00113       4     4     0
   0.50000     0.25000     0.00521    -0.00448     0.00036       4     4     0
   0.00000     0.38462     0.00357     0.00335     0.00214       4     4     0
   0.02346     0.38462     0.00055     0.00073    -0.00212       4     4     0
   0.11538     0.38462     0.00303    -0.00010    -0.00218       4     4     0
   0.25000     0.38462     0.00532     0.00219     0.00507       4     4     0
   0.38462     0.38462    -0.01373    -0.00558    -0.00558       4     4     0
   0.47654     0.38462    -0.01435    -0.00707    -0.00951       4     4     0
   0.50000     0.38462    -0.00794    -0.00474    -0.00664       4     4     0
   0.00000     0.47654     0.00058     0.00247     0.00074       4     4     0
   0.02346     0.47654    -0.00480    -0.00076    -0.00127       4     4     0
   0.11538     0.47654     0.00160     0.00138     0.00055       4     4     0
   0.25000     0.47654     0.00738     0.00113    -0.00080       4     4     0
   0.38462     0.47654    -0.01435    -0.00951    -0.00707       4     4     0
   0.47654     0.47654     0.02192     0.02270     0.02270       4     4     0
   0.50000     0.47654     0.04996     0.04389     0.04087       4     4     0
   0.00000     0.50000    -0.00222     0.00248     0.00088       4     4     0
   0.02346     0.50000    -0.00714    -0.00102     0.00098       4     4     0
   0.11538     0.50000    -0.00015     0.00114     0.00322       4     4     0
   0.25000     0.50000     0.00521     0.00036    -0.00448       4     4     0
   0.38462     0.50000    -0.00794    -0.00664    -0.00474       4     4     0
   0.47654     0.50000     0.04996     0.04087     0.04389       4     4     0
   0.50000     0.50000     0.08687     0.06914     0.06914       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.90000,  DATAPACKING = POINT
   0.50000     0.00000     0.01433     0.01673     0.02164       4     4     0
   0.52346     0.00000     0.00010     0.00184     0.00598       4     4     0
   0.61538     0.00000    -0.02641    -0.02202    -0.02708       4     4     0
   0.75000     0.00000     0.00094     0.00382    -0.00305       4     4     0
   0.88462     0.00000     0.06049     0.04278     0.05787       4     4     0
   0.97654     0.00000     0.08234     0.04751     0.06939       4     4     0
   1.00000     0.00000     0.08130     0.04358     0.06205       4     4     0
   0.50000     0.02346     0.00288     0.00805     0.00836       4     4     0
   0.52346     0.02346    -0.00578    -0.00006     0.00067       4     4     0
   0.61538     0.02346    -0.00498    -0.00490    -0.00414       4     4     0
   0.75000     0.02346     0.01189     0.00718     0.00404       4     4     0
   0.88462     0.02346     0.01486     0.01297     0.01045       4     4     0
   0.97654     0.02346     0.06586     0.04475     0.05594       4     4     0
   1.00000     0.02346     0.09614     0.06298     0.08075       4     4     0
   0.50000     0.11538    -0.01795    -0.01646    -0.01379       4     4     0
   0.52346     0.11538    -0.00315     0.00000    -0.00079       4     4     0
   0.61538     0.11538     0.01042     0.01170     0.01368       4     4     0
   0.75000     0.11538    -0.01563    -0.01551    -0.01222       4     4     0
   0.88462     0.11538     0.08002     0.05982     0.04581       4     4     0
   0.97654     0.11538     0.34083     0.23951     0.24156       4     4     0
   1.00000     0.11538     0.44593     0.30673     0.32359       4     4     0
   0.50000     0.25000    -0.00297    -0.00874    -0.00399       4     4     0
   0.52346     0.25000     0.00435    -0.00207     0.00099       4     4     0
   0.61538     0.25000    -0.02280    -0.01458    -0.01871       4     4     0
   0.75000     0.25000     0.09205     0.06969     0.06781       4     4     0
   0.88462     0.25000     0.54506     0.38199     0.39382       4     4     0
   0.97654     0.25000     0.87578     0.61068     0.61698       4     4     0
   1.00000     0.25000     0.92740     0.64715     0.64671       4     4     0
   0.50000     0.38462     0.04067     0.04297     0.02510       4     4     0
   0.52346     0.38462     0.00996     0.00858     0.00384       4     4     0
   0.61538     0.38462     0.09432     0.05834     0.06620       4     4     0
   0.75000     0.38462     0.54629     0.39041     0.38564       4     4     0
   0.88462     0.38462     0.90577     0.63758     0.63690       4     4     0
   0.97654     0.38462     0.79638     0.58120     0.56638       4     4     0
   1.00000     0.38462     0.69335     0.52546     0.49805       4     4     0
   0.50000     0.47654     0.08267     0.07486     0.06822       4     4     0
   0.52346     0.47654     0.08637     0.07001     0.06208       4     4     0
   0.61538     0.47654     0.36748     0.25460     0.25240       4     4     0
   0.75000     0.47654     0.86197     0.60593     0.61473       4     4     0
   0.88462     0.47654     0.79759     0.56563     0.56568       4     4     0
   0.97654     0.47654     0.40432     0.28853     0.27580       4     4     0
   1.00000     0.47654     0.28275     0.20272     0.18761       4     4     0
   0.50000     0.50000     0.09537     0.07812     0.08563       4     4     0
   0.52346     0.50000     0.12783     0.09985     0.09367       4     4     0
   0.61538     0.50000     0.47054     0.33160     0.31849       4     4     0
   0.75000     0.50000     0.90354     0.63322     0.64901       4     4     0
   0.88462     0.50000     0.69878     0.49676     0.50729       4     4     0
   0.97654     0.50000     0.29677     0.19347     0.19062       4     4     0
   1.00000     0.50000     0.20186     0.11296     0.11059       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.90000,  DATAPACKING = POINT
   0.50000     0.50000     0.12977     0.11036     0.11036       4     4     1
   0.52346     0.50000     0.11722     0.09595     0.08475       4     4     1
   0.61538     0.50000     0.40319     0.28228     0.26348       4     4     1
   0.75000     0.50000     0.90853     0.63544     0.64182       4     4     1
   0.88462     0.50000     0.74323     0.52568     0.53784       4     4     1
   0.97654     0.50000     0.29626     0.20398     0.20965       4     4     1
   1.00000     0.50000     0.18126     0.11754     0.12306       4     4     1
   0.50000     0.52346     0.11722     0.08475     0.09595       4     4     1
   0.52346     0.52346     0.16830     0.12622     0.12622       4     4     1
   0.61538     0.52346     0.55505     0.39694     0.38711       4     4     1
   0.75000     0.52346     0.93889     0.65653     0.66028       4     4     1
   0.88462     0.52346     0.60869     0.43241     0.43466       4     4     1
   0.97654     0.52346     0.18603     0.12013     0.13357       4     4     1
   1.00000     0.52346     0.10982     0.05360     0.07705       4     4     1
   0.50000     0.61538     0.40319     0.26348     0.28228       4     4     1
   0.52346     0.61538     0.55505     0.38711     0.39694       4     4     1
   0.61538     0.61538     0.89596     0.64397     0.64397       4     4     1
   0.75000     0.61538     0.74837     0.52519     0.52595       4     4     1
   0.88462     0.61538     0.20640     0.14971     0.14188       4     4     1
   0.97654     0.61538    -0.01977    -0.02508    -0.01129       4     4     1
   1.00000     0.61538    -0.01357    -0.03551    -0.00597       4     4     1
   0.50000     0.75000     0.90853     0.64182     0.63544       4     4     1
   0.52346     0.75000     0.93889     0.66028     0.65653       4     4     1
   0.61538     0.75000     0.74837     0.52595     0.52519       4     4     1
   0.75000     0.75000     0.21021     0.15143     0.15143       4     4     1
   0.88462     0.75000    -0.03233    -0.02352    -0.02077       4     4     1
   0.97654     0.75000    -0.00565     0.00205    -0.00465       4     4     1
   1.00000     0.75000     0.00339     0.01445     0.00151       4     4     1
   0.50000     0.88462     0.74323     0.53784     0.52568       4     4     1
   0.52346     0.88462     0.60869     0.43466     0.43241       4     4     1
   0.61538     0.88462     0.20640     0.14188     0.14971       4     4     1
   0.75000     0.88462    -0.03233    -0.02077    -0.02352       4     4     1
   0.88462     0.88462     0.00561     0.00112     0.00112       4     4     1
