TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.50020,  DATAPACKING = POINT
   0.00000     0.00000     0.00120    -0.00116    -0.00116       8     8     0
   0.00796     0.00000     0.00141    -0.00128    -0.00138       8     8     0
   0.04099     0.00000     0.00288    -0.00219    -0.00288       8     8     0
   0.09666     0.00000     0.00851    -0.00727    -0.00852       8     8     0
   0.16894     0.00000     0.03065    -0.03049    -0.03055       8     8     0
   0.25000     0.00000     0.07327    -0.07924    -0.07319       8     8     0
   0.33106     0.00000     0.10512    -0.12374    -0.10510       8     8     0
   0.40334     0.00000     0.10604    -0.13806    -0.10586       8     8     0
   0.45901     0.00000     0.09453    -0.13533    -0.09447       8     8     0
   0.49204     0.00000     0.08548    -0.13019    -0.08566       8     8     0
   0.50000     0.00000     0.08284    -0.12830    -0.08308       8     8     0
   0.00000     0.00796     0.00141    -0.00138    -0.00128       8     8     0
   0.00796     0.00796     0.00167    -0.00153    -0.00153       8     8     0
   0.04099     0.00796     0.00340    -0.00266    -0.00308       8     8     0
   0.09666     0.00796     0.01002    -0.00864    -0.00868       8     8     0
   0.16894     0.00796     0.03411    -0.03394    -0.03026       8     8     0
   0.25000     0.00796     0.07708    -0.08353    -0.07184       8     8     0
   0.33106     0.00796     0.10610    -0.12546    -0.10310       8     8     0
   0.40334     0.00796     0.10446    -0.13696    -0.10422       8     8     0
   0.45901     0.00796     0.09235    -0.13316    -0.09330       8     8     0
   0.49204     0.00796     0.08337    -0.12783    -0.08478       8     8     0
   0.50000     0.00796     0.08079    -0.12595    -0.08230       8     8     0
   0.00000     0.04099     0.00288    -0.00288    -0.00219       8     8     0
   0.00796     0.04099     0.00340    -0.00308    -0.00266       8     8     0
   0.04099     0.04099     0.00645    -0.00484    -0.00484       8     8     0
   0.09666     0.04099     0.01728    -0.01407    -0.01058       8     8     0
   0.16894     0.04099     0.04947    -0.04742    -0.02992       8     8     0
   0.25000     0.04099     0.09412    -0.10001    -0.06716       8     8     0
   0.33106     0.04099     0.11235    -0.13175    -0.09652       8     8     0
   0.40334     0.04099     0.10051    -0.13294    -0.09901       8     8     0
   0.45901     0.04099     0.08467    -0.12566    -0.08968       8     8     0
   0.49204     0.04099     0.07476    -0.11964    -0.08214       8     8     0
   0.50000     0.04099     0.07214    -0.11778    -0.07996       8     8     0
   0.00000     0.09666     0.00851    -0.00852    -0.00727       8     8     0
   0.00796     0.09666     0.01002    -0.00868    -0.00864       8     8     0
   0.04099     0.09666     0.01728    -0.01058    -0.01407       8     8     0
   0.09666     0.09666     0.03684    -0.02268    -0.02268       8     8     0
   0.16894     0.09666     0.08299    -0.06598    -0.03854       8     8     0
   0.25000     0.09666     0.13100    -0.12399    -0.06661       8     8     0
   0.33106     0.09666     0.13104    -0.14303    -0.09139       8     8     0
   0.40334     0.09666     0.10101    -0.12884    -0.09602       8     8     0
   0.45901     0.09666     0.07841    -0.11517    -0.08951       8     8     0
   0.49204     0.09666     0.06650    -0.10743    -0.08342       8     8     0
   0.50000     0.09666     0.06355    -0.10536    -0.08159       8     8     0
   0.00000     0.16894     0.03065    -0.03055    -0.03049       8     8     0
   0.00796     0.16894     0.03411    -0.03026    -0.03394       8     8     0
   0.04099     0.16894     0.04947    -0.02992    -0.04742       8     8     0
   0.09666     0.16894     0.08299    -0.03854    -0.06598       8     8     0
   0.16894     0.16894     0.15212    -0.08417    -0.08417       8     8     0
