TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.70000,  DATAPACKING = POINT
   0.00000     0.00000    -0.00589    -0.00905    -0.00905       4     4     0
   0.02346     0.00000    -0.00221    -0.00114    -0.00486       4     4     0
   0.11538     0.00000     0.00694     0.00978     0.00505       4     4     0
   0.25000     0.00000    -0.00668    -0.00541    -0.00663       4     4     0
   0.38462     0.00000    -0.02710    -0.01519    -0.02400       4     4     0
   0.47654     0.00000     0.00050     0.00366     0.00151       4     4     0
   0.50000     0.00000     0.01939     0.01365     0.01852       4     4     0
   0.00000     0.02346    -0.00221    -0.00486    -0.00114       4     4     0
   0.02346     0.02346    -0.00189    -0.00049    -0.00049       4     4     0
   0.11538     0.02346     0.00001     0.00389     0.00016       4     4     0
   0.25000     0.02346    -0.00203    -0.00365    -0.00210       4     4     0
   0.38462     0.02346    -0.00513    -0.00092    -0.00203       4     4     0
   0.47654     0.02346     0.00568     0.01395     0.00437       4     4     0
   0.50000     0.02346     0.01217     0.01945     0.00739       4     4     0
   0.00000     0.11538     0.00694     0.00505     0.00978       4     4     0
   0.02346     0.11538     0.00001     0.00016     0.00389       4     4     0
   0.11538     0.11538    -0.00388    -0.00249    -0.00249       4     4     0
   0.25000     0.11538     0.00863     0.00369     0.00695       4     4     0
   0.38462     0.11538    -0.00075    -0.00188     0.00485       4     4     0
   0.47654     0.11538    -0.01759     0.00143    -0.01157       4     4     0
   0.50000     0.11538    -0.02098     0.00654    -0.01762       4     4     0
   0.00000     0.25000    -0.00668    -0.00663    -0.00541       4     4     0
   0.02346     0.25000    -0.00203    -0.00210    -0.00365       4     4     0
   0.11538     0.25000     0.00863     0.00695     0.00369       4     4     0
   0.25000     0.25000    -0.00887    -0.00681    -0.00681       4     4     0
   0.38462     0.25000    -0.00067    -0.00199    -0.00327       4     4     0
   0.47654     0.25000     0.11437     0.07775     0.08244       4     4     0
   0.50000     0.25000     0.17083     0.11674     0.12592       4     4     0
   0.00000     0.38462    -0.02710    -0.02400    -0.01519       4     4     0
   0.02346     0.38462    -0.00513    -0.00203    -0.00092       4     4     0
   0.11538     0.38462    -0.00075     0.00485    -0.00188       4     4     0
   0.25000     0.38462    -0.00067    -0.00327    -0.00199       4     4     0
   0.38462     0.38462     0.23408     0.16771     0.16771       4     4     0
   0.47654     0.38462     0.56664     0.39504     0.40023       4     4     0
   0.50000     0.38462     0.66946     0.45987     0.47049       4     4     0
   0.00000     0.47654     0.00050     0.00151     0.00366       4     4     0
   0.02346     0.47654     0.00568     0.00437     0.01395       4     4     0
   0.11538     0.47654    -0.01759    -0.01157     0.00143       4     4     0
