TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.40000,  DATAPACKING = POINT
   0.00000     0.00000    -0.05934    -0.09358    -0.09358       4     4     0
   0.02346     0.00000    -0.03193    -0.04702    -0.05762       4     4     0
   0.11538     0.00000     0.03196     0.03551     0.03428       4     4     0
   0.25000     0.00000     0.06728     0.04371     0.06212       4     4     0
   0.38462     0.00000     0.26067     0.18530     0.16547       4     4     0
   0.47654     0.00000     0.69032     0.49013     0.49284       4     4     0
   0.50000     0.00000     0.86303     0.60509     0.63635       4     4     0
   0.00000     0.02346    -0.03193    -0.05762    -0.04702       4     4     0
   0.02346     0.02346     0.00610    -0.01589    -0.01589       4     4     0
   0.11538     0.02346     0.01623     0.02029     0.00689       4     4     0
   0.25000     0.02346     0.03858     0.02943     0.03379       4     4     0
   0.38462     0.02346     0.41850     0.28738     0.29883       4     4     0
   0.47654     0.02346     0.84681     0.60838     0.60014       4     4     0
   0.50000     0.02346     0.95665     0.69621     0.67913       4     4     0
   0.00000     0.11538     0.03196     0.03428     0.03551       4     4     0
   0.02346     0.11538     0.01623     0.00689     0.02029       4     4     0
   0.11538     0.11538    -0.00835    -0.01472    -0.01472       4     4     0
   0.25000     0.11538     0.28389     0.21203     0.19323       4     4     0
   0.38462     0.11538     0.84235     0.58095     0.61304       4     4     0
   0.47654     0.11538     0.96413     0.69438     0.68221       4     4     0
   0.50000     0.11538     0.89829     0.67594     0.61940       4     4     0
   0.00000     0.25000     0.06728     0.06212     0.04371       4     4     0
   0.02346     0.25000     0.03858     0.03379     0.02943       4     4     0
   0.11538     0.25000     0.28389     0.19323     0.21203       4     4     0
   0.25000     0.25000     0.84003     0.59336     0.59336       4     4     0
   0.38462     0.25000     0.82854     0.59167     0.57450       4     4     0
   0.47654     0.25000     0.45789     0.31900     0.32616       4     4     0
   0.50000     0.25000     0.34526     0.23371     0.25478       4     4     0
   0.00000     0.38462     0.26067     0.16547     0.18530       4     4     0
   0.02346     0.38462     0.41850     0.29883     0.28738       4     4     0
   0.11538     0.38462     0.84235     0.61304     0.58095       4     4     0
   0.25000     0.38462     0.82854     0.57450     0.59167       4     4     0
   0.38462     0.38462     0.29603     0.21520     0.21520       4     4     0
   0.47654     0.38462     0.01557     0.00875     0.00577       4     4     0
   0.50000     0.38462     0.00790    -0.01367    -0.00141       4     4     0
   0.00000     0.47654     0.69032     0.49284     0.49013       4     4     0
   0.02346     0.47654     0.84681     0.60014     0.60838       4     4     0
   0.11538     0.47654     0.96413     0.68221     0.69438       4     4     0
   0.25000     0.47654     0.45789     0.32616     0.31900       4     4     0
   0.38462     0.47654     0.01557     0.00577     0.00875       4     4     0
   0.47654     0.47654    -0.03061    -0.01717    -0.01717       4     4     0
   0.50000     0.47654    -0.01086     0.00519    -0.00391       4     4     0
   0.00000     0.50000     0.86303     0.63635     0.60509       4     4     0
   0.02346     0.50000     0.95665     0.67913     0.69621       4     4     0
   0.11538     0.50000     0.89829     0.61940     0.67594       4     4     0
   0.25000     0.50000     0.34526     0.25478     0.23371       4     4     0
   0.38462     0.50000     0.00790    -0.00141    -0.01367       4     4     0
   0.47654     0.50000    -0.01086    -0.00391     0.00519       4     4     0
   0.50000     0.50000    -0.00740     0.01696     0.01696       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.40000,  DATAPACKING = POINT
   0.50000     0.00000     0.82372     0.61649     0.51367       4     4     0
   0.52346     0.00000     0.97554     0.69753     0.65956       4     4     0
   0.61538     0.00000     0.95226     0.66123     0.69335       4     4     0
   0.75000     0.00000     0.30964     0.23153     0.21501       4     4     0
   0.88462     0.00000     0.01888     0.00150     0.01718       4     4     0
   0.97654     0.00000     0.00904     0.02403    -0.00487       4     4     0
   1.00000     0.00000    -0.01836     0.03552    -0.04365       4     4     0
   0.50000     0.02346     0.97281     0.72228     0.63717       4     4     0
   0.52346     0.02346     1.02754     0.73736     0.69866       4     4     0
   0.61538     0.02346     0.82673     0.57342     0.59233       4     4     0
   0.75000     0.02346     0.22399     0.16712     0.15916       4     4     0
   0.88462     0.02346     0.01233     0.00086     0.00977       4     4     0
   0.97654     0.02346     0.01197     0.02085     0.00061       4     4     0
   1.00000     0.02346    -0.01603     0.02337    -0.02825       4     4     0
   0.50000     0.11538     0.97385     0.71148     0.68065       4     4     0
   0.52346     0.11538     0.83992     0.60492     0.58343       4     4     0
   0.61538     0.11538     0.39278     0.27166     0.27185       4     4     0
   0.75000     0.11538     0.04069     0.02956     0.03323       4     4     0
   0.88462     0.11538     0.00281     0.00235    -0.00063       4     4     0
   0.97654     0.11538     0.00855     0.00655     0.00550       4     4     0
