TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   1.00000,  DATAPACKING = POINT
   0.00000     0.00000     0.00067    -0.00099    -0.00099       4     4     0
   0.02346     0.00000    -0.00001    -0.00040     0.00099       4     4     0
   0.11538     0.00000    -0.00091     0.00203     0.00113       4     4     0
   0.25000     0.00000     0.00088     0.00265    -0.00363       4     4     0
   0.38462     0.00000     0.00316     0.00067     0.00032       4     4     0
   0.47654     0.00000     0.00334     0.00266     0.00649       4     4     0
   0.50000     0.00000     0.00307     0.00437     0.00763       4     4     0
   0.00000     0.02346    -0.00001     0.00099    -0.00040       4     4     0
   0.02346     0.02346    -0.00071     0.00064     0.00064       4     4     0
   0.11538     0.02346    -0.00132     0.00028     0.00126       4     4     0
   0.25000     0.02346     0.00087     0.00100    -0.00128       4     4     0
   0.38462     0.02346     0.00243     0.00149    -0.00133       4     4     0
   0.47654     0.02346     0.00118     0.00159     0.00091       4     4     0
   0.50000     0.02346     0.00043     0.00164     0.00162       4     4     0
   0.00000     0.11538    -0.00091     0.00113     0.00203       4     4     0
   0.02346     0.11538    -0.00132     0.00126     0.00028       4     4     0
   0.11538     0.11538    -0.00151    -0.00018    -0.00018       4     4     0
   0.25000     0.11538    -0.00039    -0.00227     0.00271       4     4     0
   0.38462     0.11538    -0.00027    -0.00024    -0.00154       4     4     0
   0.47654     0.11538    -0.00092     0.00201    -0.00560       4     4     0
   0.50000     0.11538    -0.00109     0.00227    -0.00580       4     4     0
   0.00000     0.25000     0.00088    -0.00363     0.00265       4     4     0
   0.02346     0.25000     0.00087    -0.00128     0.00100       4     4     0
   0.11538     0.25000    -0.00039     0.00271    -0.00227       4     4     0
   0.25000     0.25000    -0.00151    -0.00031    -0.00031       4     4     0
   0.38462     0.25000     0.00068    -0.00291     0.00379       4     4     0
   0.47654     0.25000     0.00205     0.00219     0.00327       4     4     0
   0.50000     0.25000     0.00194     0.00501     0.00221       4     4     0
   0.00000     0.38462     0.00316     0.00032     0.00067       4     4     0
   0.02346     0.38462     0.00243    -0.00133     0.00149       4     4     0
   0.11538     0.38462    -0.00027    -0.00154    -0.00024       4     4     0
   0.25000     0.38462     0.00068     0.00379    -0.00291       4     4     0
   0.38462     0.38462     0.00441     0.00244     0.00244       4     4     0
   0.47654     0.38462    -0.00032    -0.00486     0.00445       4     4     0
   0.50000     0.38462    -0.00382    -0.00739     0.00335       4     4     0
   0.00000     0.47654     0.00334     0.00649     0.00266       4     4     0
   0.02346     0.47654     0.00118     0.00091     0.00159       4     4     0
   0.11538     0.47654    -0.00092    -0.00560     0.00201       4     4     0
   0.25000     0.47654     0.00205     0.00327     0.00219       4     4     0
   0.38462     0.47654    -0.00032     0.00445    -0.00486       4     4     0
   0.47654     0.47654    -0.00639    -0.00628    -0.00628       4     4     0
   0.50000     0.47654    -0.00820    -0.01041    -0.00466       4     4     0
   0.00000     0.50000     0.00307     0.00763     0.00437       4     4     0
   0.02346     0.50000     0.00043     0.00162     0.00164       4     4     0
   0.11538     0.50000    -0.00109    -0.00580     0.00227       4     4     0
   0.25000     0.50000     0.00194     0.00221     0.00501       4     4     0
   0.38462     0.50000    -0.00382     0.00335    -0.00739       4     4     0
   0.47654     0.50000    -0.00820    -0.00466    -0.01041       4     4     0
   0.50000     0.50000    -0.00794    -0.00736    -0.00736       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   1.00000,  DATAPACKING = POINT
