TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   0.49020,  DATAPACKING = POINT
   0.00000     0.00000     0.00009    -0.00013    -0.00013       8     8     0
   0.00796     0.00000     0.00004    -0.00011    -0.00003       8     8     0
   0.04099     0.00000     0.00014     0.00032     0.00024       8     8     0
   0.09666     0.00000     0.00067     0.00061     0.00061       8     8     0
   0.16894     0.00000    -0.00078    -0.00064    -0.00093       8     8     0
   0.25000     0.00000    -0.00006     0.00006    -0.00036       8     8     0
   0.33106     0.00000     0.01265     0.00882     0.00970       8     8     0
   0.40334     0.00000     0.05579     0.03959     0.03963       8     8     0
   0.45901     0.00000     0.14759     0.10423     0.10379       8     8     0
   0.49204     0.00000     0.24310     0.17155     0.17132       8     8     0
   0.50000     0.00000     0.27131     0.19166     0.19120       8     8     0
   0.00000     0.00796     0.00004    -0.00003    -0.00011       8     8     0
   0.00796     0.00796     0.00001    -0.00004    -0.00004       8     8     0
   0.04099     0.00796    -0.00003     0.00010     0.00005       8     8     0
   0.09666     0.00796     0.00003     0.00005     0.00004       8     8     0
   0.16894     0.00796    -0.00002    -0.00009    -0.00015       8     8     0
   0.25000     0.00796     0.00151     0.00114     0.00102       8     8     0
   0.33106     0.00796     0.01308     0.00916     0.00945       8     8     0
   0.40334     0.00796     0.06354     0.04504     0.04479       8     8     0
   0.45901     0.00796     0.16932     0.11960     0.11965       8     8     0
   0.49204     0.00796     0.27384     0.19342     0.19373       8     8     0
   0.50000     0.00796     0.30397     0.21492     0.21498       8     8     0
   0.00000     0.04099     0.00014     0.00024     0.00032       8     8     0
   0.00796     0.04099    -0.00003     0.00005     0.00010       8     8     0
   0.04099     0.04099    -0.00016    -0.00007    -0.00007       8     8     0
   0.09666     0.04099     0.00002    -0.00003     0.00010       8     8     0
   0.16894     0.04099     0.00055     0.00036     0.00033       8     8     0
   0.25000     0.04099     0.00367     0.00267     0.00262       8     8     0
   0.33106     0.04099     0.02743     0.01929     0.01945       8     8     0
   0.40334     0.04099     0.11718     0.08299     0.08263       8     8     0
   0.45901     0.04099     0.27475     0.19414     0.19424       8     8     0
   0.49204     0.04099     0.41098     0.29058     0.29083       8     8     0
   0.50000     0.04099     0.44765     0.31681     0.31677       8     8     0
   0.00000     0.09666     0.00067     0.00061     0.00061       8     8     0
   0.00796     0.09666     0.00003     0.00004     0.00005       8     8     0
   0.04099     0.09666     0.00002     0.00010    -0.00003       8     8     0
   0.09666     0.09666     0.00018     0.00026     0.00026       8     8     0
   0.16894     0.09666     0.00135     0.00086     0.00094       8     8     0
   0.25000     0.09666     0.01583     0.01125     0.01105       8     8     0
   0.33106     0.09666     0.08715     0.06159     0.06176       8     8     0
   0.40334     0.09666     0.27403     0.19382     0.19394       8     8     0
   0.45901     0.09666     0.51821     0.36639     0.36632       8     8     0
   0.49204     0.09666     0.68428     0.48373     0.48367       8     8     0
   0.50000     0.09666     0.72332     0.51142     0.51130       8     8     0
   0.00000     0.16894    -0.00078    -0.00093    -0.00064       8     8     0
   0.00796     0.16894    -0.00002    -0.00015    -0.00009       8     8     0
   0.04099     0.16894     0.00055     0.00033     0.00036       8     8     0
   0.09666     0.16894     0.00135     0.00094     0.00086       8     8     0
   0.16894     0.16894     0.01334     0.00953     0.00953       8     8     0
   0.25000     0.16894     0.07325     0.05162     0.05197       8     8     0
   0.33106     0.16894     0.27374     0.19376     0.19326       8     8     0
   0.40334     0.16894     0.60258     0.42594     0.42597       8     8     0
   0.45901     0.16894     0.86297     0.61029     0.61052       8     8     0
   0.49204     0.16894     0.96467     0.68203     0.68247       8     8     0
   0.50000     0.16894     0.98014     0.69251     0.69340       8     8     0
   0.00000     0.25000    -0.00006    -0.00036     0.00006       8     8     0
   0.00796     0.25000     0.00151     0.00102     0.00114       8     8     0
   0.04099     0.25000     0.00367     0.00262     0.00267       8     8     0
   0.09666     0.25000     0.01583     0.01105     0.01125       8     8     0
   0.16894     0.25000     0.07325     0.05197     0.05162       8     8     0
   0.25000     0.25000     0.27378     0.19353     0.19353       8     8     0
   0.33106     0.25000     0.64773     0.45800     0.45829       8     8     0
   0.40334     0.25000     0.94555     0.66863     0.66863       8     8     0
   0.45901     0.25000     0.99089     0.70062     0.70038       8     8     0
   0.49204     0.25000     0.92039     0.65089     0.65056       8     8     0
   0.50000     0.25000     0.89422     0.63240     0.63207       8     8     0
   0.00000     0.33106     0.01265     0.00970     0.00882       8     8     0
   0.00796     0.33106     0.01308     0.00945     0.00916       8     8     0
   0.04099     0.33106     0.02743     0.01945     0.01929       8     8     0
   0.09666     0.33106     0.08715     0.06176     0.06159       8     8     0
   0.16894     0.33106     0.27374     0.19326     0.19376       8     8     0
   0.25000     0.33106     0.64773     0.45829     0.45800       8     8     0
   0.33106     0.33106     0.96544     0.68244     0.68244       8     8     0
   0.40334     0.33106     0.94321     0.66713     0.66701       8     8     0
   0.45901     0.33106     0.72347     0.51145     0.51180       8     8     0
   0.49204     0.33106     0.55835     0.39489     0.39497       8     8     0
   0.50000     0.33106     0.51797     0.36699     0.36640       8     8     0
   0.00000     0.40334     0.05579     0.03963     0.03959       8     8     0
   0.00796     0.40334     0.06354     0.04479     0.04504       8     8     0
   0.04099     0.40334     0.11718     0.08263     0.08299       8     8     0
   0.09666     0.40334     0.27403     0.19394     0.19382       8     8     0
   0.16894     0.40334     0.60258     0.42597     0.42594       8     8     0
   0.25000     0.40334     0.94555     0.66863     0.66863       8     8     0
   0.33106     0.40334     0.94321     0.66701     0.66713       8     8     0
   0.40334     0.40334     0.64134     0.45342     0.45342       8     8     0
   0.45901     0.40334     0.37027     0.26189     0.26163       8     8     0
   0.49204     0.40334     0.24185     0.17095     0.17090       8     8     0
   0.50000     0.40334     0.21570     0.15236     0.15243       8     8     0
   0.00000     0.45901     0.14759     0.10379     0.10423       8     8     0
   0.00796     0.45901     0.16932     0.11965     0.11960       8     8     0
   0.04099     0.45901     0.27475     0.19424     0.19414       8     8     0
   0.09666     0.45901     0.51821     0.36632     0.36639       8     8     0
   0.16894     0.45901     0.86297     0.61052     0.61029       8     8     0
   0.25000     0.45901     0.99089     0.70038     0.70062       8     8     0
   0.33106     0.45901     0.72347     0.51180     0.51145       8     8     0
   0.40334     0.45901     0.37027     0.26163     0.26189       8     8     0
   0.45901     0.45901     0.17349     0.12282     0.12282       8     8     0
   0.49204     0.45901     0.10019     0.07075     0.07093       8     8     0
   0.50000     0.45901     0.08738     0.06101     0.06185       8     8     0
   0.00000     0.49204     0.24310     0.17132     0.17155       8     8     0
   0.00796     0.49204     0.27384     0.19373     0.19342       8     8     0
   0.04099     0.49204     0.41098     0.29083     0.29058       8     8     0
   0.09666     0.49204     0.68428     0.48367     0.48373       8     8     0
   0.16894     0.49204     0.96467     0.68247     0.68203       8     8     0
   0.25000     0.49204     0.92039     0.65056     0.65089       8     8     0
   0.33106     0.49204     0.55835     0.39497     0.39489       8     8     0
   0.40334     0.49204     0.24185     0.17090     0.17095       8     8     0
   0.45901     0.49204     0.10019     0.07093     0.07075       8     8     0
   0.49204     0.49204     0.05324     0.03761     0.03761       8     8     0
   0.50000     0.49204     0.04578     0.03179     0.03234       8     8     0
   0.00000     0.50000     0.27131     0.19120     0.19166       8     8     0
   0.00796     0.50000     0.30397     0.21498     0.21492       8     8     0
   0.04099     0.50000     0.44765     0.31677     0.31681       8     8     0
   0.09666     0.50000     0.72332     0.51130     0.51142       8     8     0
   0.16894     0.50000     0.98014     0.69340     0.69251       8     8     0
   0.25000     0.50000     0.89422     0.63207     0.63240       8     8     0
   0.33106     0.50000     0.51797     0.36640     0.36699       8     8     0
   0.40334     0.50000     0.21570     0.15243     0.15236       8     8     0
   0.45901     0.50000     0.08738     0.06185     0.06101       8     8     0
   0.49204     0.50000     0.04578     0.03234     0.03179       8     8     0
   0.50000     0.50000     0.03926     0.02727     0.02727       8     8     0
ZONE T= "IEL     2",  I=11,  J=11,  SOLUTIONTIME=   0.49020,  DATAPACKING = POINT
   0.00000     0.50000     0.26968     0.19026     0.18981       8     8     0
