TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.97020,  DATAPACKING = POINT
   0.00000     0.00000     0.15937    -0.15936    -0.15936       8     8     0
   0.00796     0.00000     0.15794    -0.15863    -0.15793       8     8     0
   0.04099     0.00000     0.15180    -0.15530    -0.15179       8     8     0
   0.09666     0.00000     0.14120    -0.14912    -0.14122       8     8     0
   0.16894     0.00000     0.12877    -0.14021    -0.12877       8     8     0
   0.25000     0.00000     0.11892    -0.12825    -0.11887       8     8     0
   0.33106     0.00000     0.11589    -0.11333    -0.11587       8     8     0
   0.40334     0.00000     0.12235    -0.09618    -0.12228       8     8     0
   0.45901     0.00000     0.13580    -0.07897    -0.13572       8     8     0
   0.49204     0.00000     0.14802    -0.06611    -0.14804       8     8     0
   0.50000     0.00000     0.15147    -0.06259    -0.15153       8     8     0
   0.00000     0.00796     0.15794    -0.15793    -0.15863       8     8     0
   0.00796     0.00796     0.15645    -0.15719    -0.15719       8     8     0
   0.04099     0.00796     0.15011    -0.15383    -0.15095       8     8     0
   0.09666     0.00796     0.13927    -0.14767    -0.14019       8     8     0
   0.16894     0.00796     0.12645    -0.13895    -0.12752       8     8     0
   0.25000     0.00796     0.11588    -0.12754    -0.11717       8     8     0
   0.33106     0.00796     0.11166    -0.11346    -0.11331       8     8     0
   0.40334     0.00796     0.11645    -0.09746    -0.11862       8     8     0
   0.45901     0.00796     0.12817    -0.08145    -0.13100       8     8     0
   0.49204     0.00796     0.13928    -0.06946    -0.14268       8     8     0
   0.50000     0.00796     0.14247    -0.06618    -0.14604       8     8     0
   0.00000     0.04099     0.15180    -0.15179    -0.15530       8     8     0
   0.00796     0.04099     0.15011    -0.15095    -0.15383       8     8     0
   0.04099     0.04099     0.14308    -0.14737    -0.14737       8     8     0
   0.09666     0.04099     0.13150    -0.14134    -0.13629       8     8     0
   0.16894     0.04099     0.11767    -0.13357    -0.12319       8     8     0
   0.25000     0.04099     0.10466    -0.12401    -0.11144       8     8     0
   0.33106     0.04099     0.09630    -0.11290    -0.10492       8     8     0
   0.40334     0.04099     0.09509    -0.10127    -0.10628       8     8     0
   0.45901     0.04099     0.09950    -0.08985    -0.11400       8     8     0
   0.49204     0.04099     0.10535    -0.08142    -0.12259       8     8     0
   0.50000     0.04099     0.10730    -0.07919    -0.12527       8     8     0
   0.00000     0.09666     0.14120    -0.14122    -0.14912       8     8     0
   0.00796     0.09666     0.13927    -0.14019    -0.14767       8     8     0
   0.04099     0.09666     0.13150    -0.13629    -0.14134       8     8     0
   0.09666     0.09666     0.11933    -0.13067    -0.13067       8     8     0
   0.16894     0.09666     0.10424    -0.12411    -0.11772       8     8     0
   0.25000     0.09666     0.08891    -0.11709    -0.10563       8     8     0
   0.33106     0.09666     0.07682    -0.10992    -0.09785       8     8     0
   0.40334     0.09666     0.06827    -0.10304    -0.09514       8     8     0
   0.45901     0.09666     0.06353    -0.09758    -0.09695       8     8     0
   0.49204     0.09666     0.06245    -0.09433    -0.10079       8     8     0
   0.50000     0.09666     0.06247    -0.09353    -0.10214       8     8     0
   0.00000     0.16894     0.12877    -0.12877    -0.14021       8     8     0
   0.00796     0.16894     0.12645    -0.12752    -0.13895       8     8     0
   0.04099     0.16894     0.11767    -0.12319    -0.13357       8     8     0
   0.09666     0.16894     0.10424    -0.11772    -0.12411       8     8     0
   0.16894     0.16894     0.08778    -0.11263    -0.11263       8     8     0
   0.25000     0.16894     0.07118    -0.10863    -0.10238       8     8     0
   0.33106     0.16894     0.05644    -0.10459    -0.09481       8     8     0
   0.40334     0.16894     0.04417    -0.10104    -0.09037       8     8     0
   0.45901     0.16894     0.03574    -0.09983    -0.08910       8     8     0
   0.49204     0.16894     0.03081    -0.09951    -0.08907       8     8     0
   0.50000     0.16894     0.02948    -0.09932    -0.08905       8     8     0
   0.00000     0.25000     0.11892    -0.11887    -0.12825       8     8     0
   0.00796     0.25000     0.11588    -0.11717    -0.12754       8     8     0
   0.04099     0.25000     0.10466    -0.11144    -0.12401       8     8     0
   0.09666     0.25000     0.08891    -0.10563    -0.11709       8     8     0
   0.16894     0.25000     0.07118    -0.10238    -0.10863       8     8     0
   0.25000     0.25000     0.05305    -0.10028    -0.10028       8     8     0
   0.33106     0.25000     0.03765    -0.09817    -0.09302       8     8     0
   0.40334     0.25000     0.02648    -0.09712    -0.08823       8     8     0
   0.45901     0.25000     0.01785    -0.09679    -0.08489       8     8     0
   0.49204     0.25000     0.01248    -0.09687    -0.08293       8     8     0
   0.50000     0.25000     0.01128    -0.09700    -0.08257       8     8     0
   0.00000     0.33106     0.11589    -0.11587    -0.11333       8     8     0
   0.00796     0.33106     0.11166    -0.11331    -0.11346       8     8     0
   0.04099     0.33106     0.09630    -0.10492    -0.11290       8     8     0
   0.09666     0.33106     0.07682    -0.09785    -0.10992       8     8     0
   0.16894     0.33106     0.05644    -0.09481    -0.10459       8     8     0
   0.25000     0.33106     0.03765    -0.09302    -0.09817       8     8     0
   0.33106     0.33106     0.02474    -0.09211    -0.09211       8     8     0
   0.40334     0.33106     0.01418    -0.09117    -0.08635       8     8     0
   0.45901     0.33106     0.00680    -0.09174    -0.08252       8     8     0
   0.49204     0.33106     0.00555    -0.09489    -0.08243       8     8     0
   0.50000     0.33106     0.00588    -0.09621    -0.08293       8     8     0
   0.00000     0.40334     0.12235    -0.12228    -0.09618       8     8     0
   0.00796     0.40334     0.11645    -0.11862    -0.09746       8     8     0
   0.04099     0.40334     0.09509    -0.10628    -0.10127       8     8     0
   0.09666     0.40334     0.06827    -0.09514    -0.10304       8     8     0
   0.16894     0.40334     0.04417    -0.09037    -0.10104       8     8     0
   0.25000     0.40334     0.02648    -0.08823    -0.09712       8     8     0
   0.33106     0.40334     0.01418    -0.08635    -0.09117       8     8     0
   0.40334     0.40334     0.00619    -0.08670    -0.08670       8     8     0
   0.45901     0.40334     0.01045    -0.09549    -0.09084       8     8     0
   0.49204     0.40334     0.02309    -0.10839    -0.10043       8     8     0
   0.50000     0.40334     0.02761    -0.11255    -0.10387       8     8     0
   0.00000     0.45901     0.13580    -0.13572    -0.07897       8     8     0
   0.00796     0.45901     0.12817    -0.13100    -0.08145       8     8     0
   0.04099     0.45901     0.09950    -0.11400    -0.08985       8     8     0
   0.09666     0.45901     0.06353    -0.09695    -0.09758       8     8     0
   0.16894     0.45901     0.03574    -0.08910    -0.09983       8     8     0
   0.25000     0.45901     0.01785    -0.08489    -0.09679       8     8     0
   0.33106     0.45901     0.00680    -0.08252    -0.09174       8     8     0
   0.40334     0.45901     0.01045    -0.09084    -0.09549       8     8     0
   0.45901     0.45901     0.03932    -0.11688    -0.11688       8     8     0
   0.49204     0.45901     0.07803    -0.14808    -0.14483       8     8     0
   0.50000     0.45901     0.09081    -0.15807    -0.15408       8     8     0
   0.00000     0.49204     0.14802    -0.14804    -0.06611       8     8     0
   0.00796     0.49204     0.13928    -0.14268    -0.06946       8     8     0
   0.04099     0.49204     0.10535    -0.12259    -0.08142       8     8     0
   0.09666     0.49204     0.06245    -0.10079    -0.09433       8     8     0
   0.16894     0.49204     0.03081    -0.08907    -0.09951       8     8     0
   0.25000     0.49204     0.01248    -0.08293    -0.09687       8     8     0
   0.33106     0.49204     0.00555    -0.08243    -0.09489       8     8     0
   0.40334     0.49204     0.02309    -0.10043    -0.10839       8     8     0
   0.45901     0.49204     0.07803    -0.14483    -0.14808       8     8     0
   0.49204     0.49204     0.14234    -0.19411    -0.19411       8     8     0
   0.50000     0.49204     0.16260    -0.20946    -0.20856       8     8     0
   0.00000     0.50000     0.15147    -0.15153    -0.06259       8     8     0
   0.00796     0.50000     0.14247    -0.14604    -0.06618       8     8     0
   0.04099     0.50000     0.10730    -0.12527    -0.07919       8     8     0
   0.09666     0.50000     0.06247    -0.10214    -0.09353       8     8     0
   0.16894     0.50000     0.02948    -0.08905    -0.09932       8     8     0
   0.25000     0.50000     0.01128    -0.08257    -0.09700       8     8     0
   0.33106     0.50000     0.00588    -0.08293    -0.09621       8     8     0
   0.40334     0.50000     0.02761    -0.10387    -0.11255       8     8     0
   0.45901     0.50000     0.09081    -0.15408    -0.15807       8     8     0
   0.49204     0.50000     0.16260    -0.20856    -0.20946       8     8     0
   0.50000     0.50000     0.18480    -0.22527    -0.22527       8     8     0
ZONE T= "IEL     2",  I=11,  J=11,  SOLUTIONTIME=   1.97020,  DATAPACKING = POINT
   0.00000     0.50000     0.15182    -0.15184    -0.06231       8     8     0
   0.00796     0.50000     0.14280    -0.14635    -0.06591       8     8     0
   0.04099     0.50000     0.10747    -0.12545    -0.07898       8     8     0
   0.09666     0.50000     0.06214    -0.10191    -0.09380       8     8     0
   0.16894     0.50000     0.02916    -0.08875    -0.09991       8     8     0
   0.25000     0.50000     0.01160    -0.08264    -0.09675       8     8     0
   0.33106     0.50000     0.00622    -0.08314    -0.09564       8     8     0
   0.40334     0.50000     0.02777    -0.10407    -0.11264       8     8     0
   0.45901     0.50000     0.09058    -0.15407    -0.15818       8     8     0
   0.49204     0.50000     0.16197    -0.20833    -0.20946       8     8     0
   0.50000     0.50000     0.18412    -0.22500    -0.22533       8     8     0
   0.00000     0.50796     0.15523    -0.15531    -0.05900       8     8     0
   0.00796     0.50796     0.14597    -0.14966    -0.06280       8     8     0
   0.04099     0.50796     0.10945    -0.12808    -0.07677       8     8     0
   0.09666     0.50796     0.06255    -0.10351    -0.09261       8     8     0
   0.16894     0.50796     0.02841    -0.08921    -0.09951       8     8     0
   0.25000     0.50796     0.01029    -0.08226    -0.09740       8     8     0
   0.33106     0.50796     0.00619    -0.08334    -0.09733       8     8     0
   0.40334     0.50796     0.03293    -0.10789    -0.11724       8     8     0
   0.45901     0.50796     0.10494    -0.16442    -0.16899       8     8     0
   0.49204     0.50796     0.18423    -0.22427    -0.22567       8     8     0
   0.50000     0.50796     0.20844    -0.24242    -0.24290       8     8     0
   0.00000     0.54099     0.17301    -0.17322    -0.04242       8     8     0
   0.00796     0.54099     0.16275    -0.16712    -0.04722       8     8     0
   0.04099     0.54099     0.12087    -0.14271    -0.06588       8     8     0
   0.09666     0.54099     0.06460    -0.11141    -0.08850       8     8     0
   0.16894     0.54099     0.02379    -0.09008    -0.09903       8     8     0
   0.25000     0.54099     0.00636    -0.08139    -0.09910       8     8     0
   0.33106     0.54099     0.01207    -0.08853    -0.10671       8     8     0
   0.40334     0.54099     0.06700    -0.13310    -0.14612       8     8     0
   0.45901     0.54099     0.18317    -0.22105    -0.22855       8     8     0
   0.49204     0.54099     0.29551    -0.30427    -0.30846       8     8     0
   0.50000     0.54099     0.32748    -0.32790    -0.33099       8     8     0
   0.00000     0.59666     0.21210    -0.21222    -0.00803       8     8     0
   0.00796     0.59666     0.20086    -0.20637    -0.01422       8     8     0
   0.04099     0.59666     0.15162    -0.17901    -0.04086       8     8     0
   0.09666     0.59666     0.07566    -0.13269    -0.07701       8     8     0
   0.16894     0.59666     0.01962    -0.09497    -0.09958       8     8     0
   0.25000     0.59666     0.00683    -0.08517    -0.10858       8     8     0
   0.33106     0.59666     0.04265    -0.11321    -0.13730       8     8     0
   0.40334     0.59666     0.17770    -0.21471    -0.23258       8     8     0
   0.45901     0.59666     0.38723    -0.36887    -0.38079       8     8     0
   0.49204     0.59666     0.54397    -0.48333    -0.49246       8     8     0
   0.50000     0.59666     0.58230    -0.51123    -0.51942       8     8     0
   0.00000     0.66894     0.27159    -0.27139     0.04686       8     8     0
   0.00796     0.66894     0.26228    -0.26864     0.04037       8     8     0
   0.04099     0.66894     0.21331    -0.24537     0.00845       8     8     0
   0.09666     0.66894     0.11810    -0.18302    -0.04748       8     8     0
   0.16894     0.66894     0.03507    -0.11785    -0.09908       8     8     0
   0.25000     0.66894     0.03203    -0.10995    -0.13986       8     8     0
   0.33106     0.66894     0.16749    -0.20815    -0.24245       8     8     0
   0.40334     0.66894     0.45141    -0.41597    -0.44074       8     8     0
   0.45901     0.66894     0.71396    -0.60986    -0.62292       8     8     0
   0.49204     0.66894     0.83310    -0.70019    -0.70599       8     8     0
   0.50000     0.66894     0.85413    -0.71660    -0.72033       8     8     0
   0.00000     0.75000     0.31846    -0.31845     0.10730       8     8     0
   0.00796     0.75000     0.31912    -0.32374     0.10450       8     8     0
   0.04099     0.75000     0.30323    -0.32705     0.08417       8     8     0
   0.09666     0.75000     0.22690    -0.27905     0.01765       8     8     0
   0.16894     0.75000     0.12302    -0.19675    -0.09277       8     8     0
   0.25000     0.75000     0.16799    -0.22170    -0.24189       8     8     0
   0.33106     0.75000     0.45096    -0.42815    -0.46334       8     8     0
   0.40334     0.75000     0.74217    -0.65137    -0.65938       8     8     0
   0.45901     0.75000     0.81582    -0.72245    -0.69874       8     8     0
   0.49204     0.75000     0.76194    -0.69777    -0.65357       8     8     0
   0.50000     0.75000     0.73953    -0.68559    -0.63690       8     8     0
   0.00000     0.83106     0.30015    -0.30051     0.12885       8     8     0
   0.00796     0.83106     0.31610    -0.31537     0.13379       8     8     0
   0.04099     0.83106     0.36990    -0.36661     0.14393       8     8     0
   0.09666     0.83106     0.40037    -0.40352     0.10164       8     8     0
   0.16894     0.83106     0.37999    -0.39926    -0.08154       8     8     0
   0.25000     0.83106     0.47069    -0.47320    -0.39042       8     8     0
   0.33106     0.83106     0.66230    -0.62965    -0.61980       8     8     0
   0.40334     0.83106     0.64416    -0.64709    -0.59694       8     8     0
   0.45901     0.83106     0.42790    -0.52044    -0.42332       8     8     0
   0.49204     0.83106     0.25204    -0.41124    -0.28692       8     8     0
   0.50000     0.83106     0.20735    -0.38326    -0.25347       8     8     0
   0.00000     0.90334     0.23196    -0.23196     0.09575       8     8     0
   0.00796     0.90334     0.25775    -0.25177     0.10457       8     8     0
   0.04099     0.90334     0.37187    -0.34177     0.13244       8     8     0
   0.09666     0.90334     0.56273    -0.50312     0.12363       8     8     0
   0.16894     0.90334     0.74406    -0.67488    -0.06333       8     8     0
   0.25000     0.90334     0.78132    -0.74653    -0.38870       8     8     0
   0.33106     0.90334     0.58119    -0.64231    -0.50165       8     8     0
   0.40334     0.90334     0.23009    -0.41953    -0.32256       8     8     0
   0.45901     0.90334    -0.05473    -0.23173    -0.11871       8     8     0
   0.49204     0.90334    -0.19047    -0.14151    -0.01274       8     8     0
   0.50000     0.90334    -0.21860    -0.12276     0.01142       8     8     0
