TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.10000,  DATAPACKING = POINT
   0.00000     0.00000     0.29339     0.12095     0.12095       4     4     0
   0.02346     0.00000     0.54521     0.33204     0.34705       4     4     0
   0.11538     0.00000     0.99236     0.71411     0.72707       4     4     0
   0.25000     0.00000     0.68740     0.49446     0.48080       4     4     0
   0.38462     0.00000     0.12272     0.07601     0.09223       4     4     0
   0.47654     0.00000     0.00198     0.00369     0.00282       4     4     0
   0.50000     0.00000     0.03581     0.03557     0.01011       4     4     0
   0.00000     0.02346     0.54521     0.34705     0.33204       4     4     0
   0.02346     0.02346     0.75280     0.50510     0.50510       4     4     0
   0.11538     0.02346     1.00149     0.71222     0.71702       4     4     0
   0.25000     0.02346     0.54899     0.39627     0.38475       4     4     0
   0.38462     0.02346     0.08027     0.04678     0.06209       4     4     0
   0.47654     0.02346     0.00672     0.00958     0.00341       4     4     0
   0.50000     0.02346     0.02067     0.03217     0.00148       4     4     0
   0.00000     0.11538     0.99236     0.72707     0.71411       4     4     0
   0.02346     0.11538     1.00149     0.71702     0.71222       4     4     0
   0.11538     0.11538     0.74151     0.51641     0.51641       4     4     0
   0.25000     0.11538     0.18813     0.13829     0.13276       4     4     0
   0.38462     0.11538     0.00122    -0.00409     0.00301       4     4     0
   0.47654     0.11538     0.01207     0.01411     0.00539       4     4     0
   0.50000     0.11538    -0.00423     0.01568    -0.00750       4     4     0
   0.00000     0.25000     0.68740     0.48080     0.49446       4     4     0
   0.02346     0.25000     0.54899     0.38475     0.39627       4     4     0
   0.11538     0.25000     0.18813     0.13276     0.13829       4     4     0
   0.25000     0.25000     0.00680     0.00496     0.00496       4     4     0
   0.38462     0.25000     0.00049     0.00109    -0.00112       4     4     0
   0.47654     0.25000     0.00303     0.00151     0.00333       4     4     0
   0.50000     0.25000    -0.00060    -0.00219     0.00202       4     4     0
   0.00000     0.38462     0.12272     0.09223     0.07601       4     4     0
   0.02346     0.38462     0.08027     0.06209     0.04678       4     4     0
   0.11538     0.38462     0.00122     0.00301    -0.00409       4     4     0
   0.25000     0.38462     0.00049    -0.00112     0.00109       4     4     0
   0.38462     0.38462     0.00288     0.00237     0.00237       4     4     0
   0.47654     0.38462    -0.00276    -0.00232    -0.00214       4     4     0
   0.50000     0.38462    -0.00080    -0.00238    -0.00018       4     4     0
   0.00000     0.47654     0.00198     0.00282     0.00369       4     4     0
   0.02346     0.47654     0.00672     0.00341     0.00958       4     4     0
   0.11538     0.47654     0.01207     0.00539     0.01411       4     4     0
   0.25000     0.47654     0.00303     0.00333     0.00151       4     4     0
   0.38462     0.47654    -0.00276    -0.00214    -0.00232       4     4     0
   0.47654     0.47654    -0.00022     0.00003     0.00003       4     4     0
   0.50000     0.47654     0.00101     0.00255    -0.00012       4     4     0
