TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   0.23020,  DATAPACKING = POINT
   0.00000     0.00000     0.02781     0.02058     0.02058       8     8     0
   0.00796     0.00000     0.03223     0.02327     0.02337       8     8     0
   0.04099     0.00000     0.06214     0.04434     0.04413       8     8     0
   0.09666     0.00000     0.16054     0.11383     0.11326       8     8     0
   0.16894     0.00000     0.42591     0.30094     0.30056       8     8     0
   0.25000     0.00000     0.82196     0.58137     0.58178       8     8     0
   0.33106     0.00000     0.99947     0.70657     0.70682       8     8     0
   0.40334     0.00000     0.81018     0.57309     0.57248       8     8     0
   0.45901     0.00000     0.53874     0.38049     0.38159       8     8     0
   0.49204     0.00000     0.38313     0.27180     0.26998       8     8     0
   0.50000     0.00000     0.34730     0.24784     0.24347       8     8     0
   0.00000     0.00796     0.03223     0.02337     0.02327       8     8     0
   0.00796     0.00796     0.03630     0.02555     0.02555       8     8     0
   0.04099     0.00796     0.07055     0.04963     0.04966       8     8     0
   0.09666     0.00796     0.18377     0.13027     0.13024       8     8     0
   0.16894     0.00796     0.46512     0.32866     0.32862       8     8     0
   0.25000     0.00796     0.85367     0.60377     0.60386       8     8     0
   0.33106     0.00796     0.99360     0.70251     0.70246       8     8     0
   0.40334     0.00796     0.77519     0.54823     0.54809       8     8     0
   0.45901     0.00796     0.49955     0.35297     0.35366       8     8     0
   0.49204     0.00796     0.34885     0.24723     0.24615       8     8     0
   0.50000     0.00796     0.31510     0.22426     0.22181       8     8     0
   0.00000     0.04099     0.06214     0.04413     0.04434       8     8     0
   0.00796     0.04099     0.07055     0.04966     0.04963       8     8     0
   0.04099     0.04099     0.12857     0.09039     0.09039       8     8     0
   0.09666     0.04099     0.29434     0.20839     0.20828       8     8     0
   0.16894     0.04099     0.62921     0.44486     0.44489       8     8     0
   0.25000     0.04099     0.95904     0.67801     0.67829       8     8     0
   0.33106     0.04099     0.92806     0.65649     0.65595       8     8     0
   0.40334     0.04099     0.61343     0.43349     0.43395       8     8     0
   0.45901     0.04099     0.34773     0.24604     0.24596       8     8     0
   0.49204     0.04099     0.22535     0.15929     0.15935       8     8     0
   0.50000     0.04099     0.20073     0.14139     0.14229       8     8     0
   0.00000     0.09666     0.16054     0.11326     0.11383       8     8     0
   0.00796     0.09666     0.18377     0.13024     0.13027       8     8     0
   0.04099     0.09666     0.29434     0.20828     0.20839       8     8     0
   0.09666     0.09666     0.54451     0.38487     0.38487       8     8     0
   0.16894     0.09666     0.88366     0.62514     0.62463       8     8     0
   0.25000     0.09666     0.98431     0.69567     0.69619       8     8     0
   0.33106     0.09666     0.69692     0.49312     0.49280       8     8     0
   0.40334     0.09666     0.34765     0.24554     0.24579       8     8     0
   0.45901     0.09666     0.15985     0.11322     0.11306       8     8     0
   0.49204     0.09666     0.09091     0.06423     0.06416       8     8     0
   0.50000     0.09666     0.07914     0.05504     0.05580       8     8     0
   0.00000     0.16894     0.42591     0.30056     0.30094       8     8     0
   0.00796     0.16894     0.46512     0.32862     0.32866       8     8     0
   0.04099     0.16894     0.62921     0.44489     0.44486       8     8     0
   0.09666     0.16894     0.88366     0.62463     0.62514       8     8     0
   0.16894     0.16894     0.99431     0.70320     0.70320       8     8     0
   0.25000     0.16894     0.73900     0.52254     0.52236       8     8     0
   0.33106     0.16894     0.34855     0.24642     0.24646       8     8     0
   0.40334     0.16894     0.12101     0.08561     0.08565       8     8     0
   0.45901     0.16894     0.04246     0.02999     0.02998       8     8     0
   0.49204     0.16894     0.02011     0.01426     0.01423       8     8     0
   0.50000     0.16894     0.01674     0.01191     0.01191       8     8     0
   0.00000     0.25000     0.82196     0.58178     0.58137       8     8     0
   0.00796     0.25000     0.85367     0.60386     0.60377       8     8     0
   0.04099     0.25000     0.95904     0.67829     0.67801       8     8     0
   0.09666     0.25000     0.98431     0.69619     0.69567       8     8     0
   0.16894     0.25000     0.73900     0.52236     0.52254       8     8     0
   0.25000     0.25000     0.34900     0.24693     0.24693       8     8     0
   0.33106     0.25000     0.10349     0.07306     0.07317       8     8     0
   0.40334     0.25000     0.02448     0.01740     0.01725       8     8     0
   0.45901     0.25000     0.00593     0.00413     0.00420       8     8     0
   0.49204     0.25000     0.00249     0.00179     0.00175       8     8     0
   0.50000     0.25000     0.00166     0.00155     0.00114       8     8     0
   0.00000     0.33106     0.99947     0.70682     0.70657       8     8     0
   0.00796     0.33106     0.99360     0.70246     0.70251       8     8     0
   0.04099     0.33106     0.92806     0.65595     0.65649       8     8     0
   0.09666     0.33106     0.69692     0.49280     0.49312       8     8     0
   0.16894     0.33106     0.34855     0.24646     0.24642       8     8     0
   0.25000     0.33106     0.10349     0.07317     0.07306       8     8     0
   0.33106     0.33106     0.01995     0.01413     0.01413       8     8     0
   0.40334     0.33106     0.00314     0.00220     0.00227       8     8     0
   0.45901     0.33106     0.00043     0.00032     0.00031       8     8     0
   0.49204     0.33106     0.00024     0.00016     0.00017       8     8     0
   0.50000     0.33106     0.00015     0.00007     0.00012       8     8     0
   0.00000     0.40334     0.81018     0.57248     0.57309       8     8     0
   0.00796     0.40334     0.77519     0.54809     0.54823       8     8     0
   0.04099     0.40334     0.61343     0.43395     0.43349       8     8     0
   0.09666     0.40334     0.34765     0.24579     0.24554       8     8     0
   0.16894     0.40334     0.12101     0.08565     0.08561       8     8     0
   0.25000     0.40334     0.02448     0.01725     0.01740       8     8     0
   0.33106     0.40334     0.00314     0.00227     0.00220       8     8     0
   0.40334     0.40334     0.00006     0.00001     0.00001       8     8     0
   0.45901     0.40334     0.00015     0.00014     0.00011       8     8     0
   0.49204     0.40334     0.00001    -0.00001     0.00001       8     8     0
   0.50000     0.40334     0.00017    -0.00007     0.00011       8     8     0
   0.00000     0.45901     0.53874     0.38159     0.38049       8     8     0
   0.00796     0.45901     0.49955     0.35366     0.35297       8     8     0
   0.04099     0.45901     0.34773     0.24596     0.24604       8     8     0
   0.09666     0.45901     0.15985     0.11306     0.11322       8     8     0
   0.16894     0.45901     0.04246     0.02998     0.02999       8     8     0
   0.25000     0.45901     0.00593     0.00420     0.00413       8     8     0
   0.33106     0.45901     0.00043     0.00031     0.00032       8     8     0
   0.40334     0.45901     0.00015     0.00011     0.00014       8     8     0
   0.45901     0.45901     0.00010     0.00006     0.00006       8     8     0
   0.49204     0.45901    -0.00005    -0.00003    -0.00005       8     8     0
   0.50000     0.45901    -0.00006    -0.00001    -0.00005       8     8     0
   0.00000     0.49204     0.38313     0.26998     0.27180       8     8     0
   0.00796     0.49204     0.34885     0.24615     0.24723       8     8     0
   0.04099     0.49204     0.22535     0.15935     0.15929       8     8     0
   0.09666     0.49204     0.09091     0.06416     0.06423       8     8     0
   0.16894     0.49204     0.02011     0.01423     0.01426       8     8     0
   0.25000     0.49204     0.00249     0.00175     0.00179       8     8     0
   0.33106     0.49204     0.00024     0.00017     0.00016       8     8     0
   0.40334     0.49204     0.00001     0.00001    -0.00001       8     8     0
   0.45901     0.49204    -0.00005    -0.00005    -0.00003       8     8     0
   0.49204     0.49204    -0.00002    -0.00000    -0.00000       8     8     0
   0.50000     0.49204    -0.00000    -0.00000     0.00002       8     8     0
   0.00000     0.50000     0.34730     0.24347     0.24784       8     8     0
   0.00796     0.50000     0.31510     0.22181     0.22426       8     8     0
   0.04099     0.50000     0.20073     0.14229     0.14139       8     8     0
   0.09666     0.50000     0.07914     0.05580     0.05504       8     8     0
   0.16894     0.50000     0.01674     0.01191     0.01191       8     8     0
   0.25000     0.50000     0.00166     0.00114     0.00155       8     8     0
   0.33106     0.50000     0.00015     0.00012     0.00007       8     8     0
   0.40334     0.50000     0.00017     0.00011    -0.00007       8     8     0
   0.45901     0.50000    -0.00006    -0.00005    -0.00001       8     8     0
   0.49204     0.50000    -0.00000     0.00002    -0.00000       8     8     0
   0.50000     0.50000     0.00008    -0.00004    -0.00004       8     8     0
ZONE T= "IEL     2",  I=11,  J=11,  SOLUTIONTIME=   0.23020,  DATAPACKING = POINT
   0.00000     0.50000     0.34859     0.24592     0.24643       8     8     0
   0.00796     0.50000     0.31595     0.22291     0.22343       8     8     0
   0.04099     0.50000     0.20047     0.14152     0.14189       8     8     0
   0.09666     0.50000     0.07866     0.05557     0.05570       8     8     0
   0.16894     0.50000     0.01683     0.01186     0.01192       8     8     0
   0.25000     0.50000     0.00188     0.00135     0.00133       8     8     0
   0.33106     0.50000     0.00012     0.00008     0.00007       8     8     0
   0.40334     0.50000     0.00006     0.00005     0.00005       8     8     0
   0.45901     0.50000    -0.00003    -0.00002    -0.00004       8     8     0
   0.49204     0.50000    -0.00002    -0.00003    -0.00000       8     8     0
   0.50000     0.50000    -0.00001    -0.00000     0.00004       8     8     0
   0.00000     0.50796     0.31596     0.22308     0.22331       8     8     0
   0.00796     0.50796     0.28506     0.20123     0.20153       8     8     0
   0.04099     0.50796     0.17756     0.12533     0.12564       8     8     0
   0.09666     0.50796     0.06752     0.04770     0.04779       8     8     0
   0.16894     0.50796     0.01382     0.00975     0.00977       8     8     0
   0.25000     0.50796     0.00147     0.00107     0.00104       8     8     0
   0.33106     0.50796     0.00012     0.00007     0.00008       8     8     0
   0.40334     0.50796     0.00004     0.00004     0.00004       8     8     0
   0.45901     0.50796    -0.00004    -0.00003    -0.00003       8     8     0
   0.49204     0.50796    -0.00000    -0.00001     0.00000       8     8     0
   0.50000     0.50796    -0.00001     0.00001     0.00001       8     8     0
   0.00000     0.54099     0.20025     0.14170     0.14153       8     8     0
   0.00796     0.54099     0.17734     0.12542     0.12535       8     8     0
   0.04099     0.54099     0.10245     0.07238     0.07244       8     8     0
   0.09666     0.54099     0.03421     0.02420     0.02418       8     8     0
   0.16894     0.54099     0.00584     0.00414     0.00411       8     8     0
   0.25000     0.54099     0.00056     0.00041     0.00039       8     8     0
   0.33106     0.54099     0.00005     0.00003     0.00004       8     8     0
   0.40334     0.54099     0.00000     0.00001     0.00000       8     8     0
   0.45901     0.54099    -0.00002    -0.00002    -0.00001       8     8     0
   0.49204     0.54099     0.00002     0.00002     0.00001       8     8     0
   0.50000     0.54099    -0.00001     0.00003    -0.00002       8     8     0
   0.00000     0.59666     0.07833     0.05546     0.05540       8     8     0
   0.00796     0.59666     0.06723     0.04761     0.04754       8     8     0
   0.04099     0.59666     0.03413     0.02419     0.02412       8     8     0
   0.09666     0.59666     0.00911     0.00648     0.00643       8     8     0
   0.16894     0.59666     0.00122     0.00086     0.00086       8     8     0
   0.25000     0.59666     0.00013     0.00008     0.00009       8     8     0
   0.33106     0.59666    -0.00001    -0.00001    -0.00001       8     8     0
   0.40334     0.59666     0.00000     0.00000     0.00000       8     8     0
   0.45901     0.59666    -0.00000    -0.00000    -0.00000       8     8     0
   0.49204     0.59666     0.00000     0.00000     0.00000       8     8     0
   0.50000     0.59666    -0.00001     0.00000    -0.00000       8     8     0
   0.00000     0.66894     0.01682     0.01187     0.01187       8     8     0
   0.00796     0.66894     0.01388     0.00979     0.00980       8     8     0
   0.04099     0.66894     0.00599     0.00421     0.00423       8     8     0
   0.09666     0.66894     0.00126     0.00087     0.00090       8     8     0
   0.16894     0.66894     0.00014     0.00009     0.00011       8     8     0
   0.25000     0.66894    -0.00002    -0.00001    -0.00001       8     8     0
   0.33106     0.66894    -0.00000     0.00000    -0.00000       8     8     0
   0.40334     0.66894     0.00000     0.00000     0.00000       8     8     0
   0.45901     0.66894    -0.00000    -0.00000    -0.00000       8     8     0
   0.49204     0.66894     0.00000    -0.00000    -0.00000       8     8     0
   0.50000     0.66894     0.00000     0.00000    -0.00000       8     8     0
   0.00000     0.75000     0.00193     0.00137     0.00139       8     8     0
   0.00796     0.75000     0.00154     0.00109     0.00110       8     8     0
   0.04099     0.75000     0.00056     0.00040     0.00040       8     8     0
   0.09666     0.75000     0.00007     0.00005     0.00005       8     8     0
   0.16894     0.75000    -0.00002    -0.00001    -0.00002       8     8     0
   0.25000     0.75000     0.00001     0.00000     0.00000       8     8     0
   0.33106     0.75000     0.00000     0.00000     0.00000       8     8     0
   0.40334     0.75000    -0.00000    -0.00000    -0.00000       8     8     0
   0.45901     0.75000     0.00000     0.00000     0.00000       8     8     0
   0.49204     0.75000     0.00000     0.00000     0.00000       8     8     0
   0.50000     0.75000     0.00000    -0.00000     0.00000       8     8     0
   0.00000     0.83106     0.00014     0.00011     0.00007       8     8     0
   0.00796     0.83106     0.00010     0.00008     0.00005       8     8     0
   0.04099     0.83106     0.00001     0.00001     0.00000       8     8     0
   0.09666     0.83106     0.00000     0.00000     0.00000       8     8     0
   0.16894     0.83106     0.00002     0.00001     0.00002       8     8     0
   0.25000     0.83106    -0.00000    -0.00000     0.00000       8     8     0
   0.33106     0.83106    -0.00000    -0.00000    -0.00000       8     8     0
   0.40334     0.83106     0.00000     0.00000     0.00000       8     8     0
   0.45901     0.83106    -0.00000    -0.00000    -0.00000       8     8     0
   0.49204     0.83106    -0.00000    -0.00000    -0.00000       8     8     0
   0.50000     0.83106    -0.00000    -0.00000    -0.00000       8     8     0
   0.00000     0.90334     0.00002    -0.00001     0.00004       8     8     0
   0.00796     0.90334     0.00002    -0.00000     0.00004       8     8     0
   0.04099     0.90334     0.00003     0.00001     0.00003       8     8     0
   0.09666     0.90334     0.00002     0.00001     0.00001       8     8     0
   0.16894     0.90334    -0.00001    -0.00001    -0.00001       8     8     0
   0.25000     0.90334    -0.00001    -0.00000    -0.00001       8     8     0
   0.33106     0.90334     0.00000     0.00000     0.00000       8     8     0
   0.40334     0.90334    -0.00000    -0.00000    -0.00000       8     8     0
   0.45901     0.90334     0.00000    -0.00000    -0.00000       8     8     0
   0.49204     0.90334     0.00000     0.00000     0.00000       8     8     0
   0.50000     0.90334     0.00000     0.00000     0.00000       8     8     0
   0.00000     0.95901    -0.00002     0.00002    -0.00004       8     8     0
   0.00796     0.95901    -0.00002     0.00001    -0.00004       8     8     0
   0.04099     0.95901    -0.00004    -0.00001    -0.00004       8     8     0
   0.09666     0.95901    -0.00003    -0.00001    -0.00003       8     8     0
   0.16894     0.95901     0.00000     0.00000    -0.00000       8     8     0
   0.25000     0.95901     0.00001     0.00001     0.00001       8     8     0
   0.33106     0.95901    -0.00000    -0.00000    -0.00000       8     8     0
   0.40334     0.95901    -0.00000    -0.00000    -0.00000       8     8     0
   0.45901     0.95901     0.00000     0.00000     0.00000       8     8     0
   0.49204     0.95901    -0.00000    -0.00000    -0.00000       8     8     0
   0.50000     0.95901    -0.00000    -0.00000    -0.00000       8     8     0
   0.00000     0.99204     0.00001    -0.00002     0.00003       8     8     0
   0.00796     0.99204     0.00001    -0.00001     0.00003       8     8     0
   0.04099     0.99204     0.00001     0.00000     0.00002       8     8     0
   0.09666     0.99204     0.00002     0.00001     0.00002       8     8     0
   0.16894     0.99204     0.00002     0.00001     0.00002       8     8     0
   0.25000     0.99204    -0.00000    -0.00000    -0.00001       8     8     0
   0.33106     0.99204    -0.00001    -0.00000    -0.00000       8     8     0
   0.40334     0.99204     0.00000     0.00000     0.00000       8     8     0
   0.45901     0.99204    -0.00000    -0.00000    -0.00000       8     8     0
   0.49204     0.99204    -0.00000    -0.00000    -0.00000       8     8     0
   0.50000     0.99204    -0.00000     0.00000    -0.00000       8     8     0
   0.00000     1.00000    -0.00004    -0.00011     0.00009       8     8     0
   0.00796     1.00000    -0.00003    -0.00009     0.00007       8     8     0
   0.04099     1.00000    -0.00002    -0.00003     0.00004       8     8     0
   0.09666     1.00000     0.00001     0.00000     0.00003       8     8     0
   0.16894     1.00000     0.00002     0.00001     0.00002       8     8     0
   0.25000     1.00000    -0.00001    -0.00000    -0.00001       8     8     0
   0.33106     1.00000    -0.00000    -0.00000    -0.00000       8     8     0
   0.40334     1.00000     0.00000     0.00000     0.00000       8     8     0
   0.45901     1.00000    -0.00000    -0.00000    -0.00000       8     8     0
   0.49204     1.00000    -0.00000     0.00000     0.00000       8     8     0
   0.50000     1.00000    -0.00000     0.00000     0.00000       8     8     0
ZONE T= "IEL     3",  I=11,  J=11,  SOLUTIONTIME=   0.23020,  DATAPACKING = POINT
   0.50000     0.50000    -0.00002    -0.00001    -0.00001       8     8     0
   0.50796     0.50000     0.00000     0.00000     0.00000       8     8     0
   0.54099     0.50000     0.00002     0.00001     0.00001       8     8     0
   0.59666     0.50000    -0.00000    -0.00000    -0.00000       8     8     0
   0.66894     0.50000     0.00000     0.00000     0.00000       8     8     0
   0.75000     0.50000     0.00000     0.00000     0.00000       8     8     0
   0.83106     0.50000    -0.00000    -0.00000    -0.00000       8     8     0
   0.90334     0.50000     0.00000     0.00000     0.00000       8     8     0
   0.95901     0.50000    -0.00000    -0.00000    -0.00000       8     8     0
   0.99204     0.50000    -0.00000     0.00000    -0.00000       8     8     0
   1.00000     0.50000     0.00000     0.00000     0.00000       8     8     0
   0.50000     0.50796     0.00000     0.00000     0.00000       8     8     0
   0.50796     0.50796     0.00001     0.00001     0.00001       8     8     0
   0.54099     0.50796     0.00001     0.00001     0.00001       8     8     0
   0.59666     0.50796    -0.00001    -0.00000    -0.00000       8     8     0
   0.66894     0.50796     0.00000     0.00000     0.00000       8     8     0
   0.75000     0.50796    -0.00000    -0.00000    -0.00000       8     8     0
   0.83106     0.50796     0.00000     0.00000    -0.00000       8     8     0
   0.90334     0.50796     0.00000     0.00000     0.00000       8     8     0
   0.95901     0.50796    -0.00000    -0.00000    -0.00000       8     8     0
   0.99204     0.50796     0.00000     0.00000     0.00000       8     8     0
   1.00000     0.50796     0.00000     0.00000     0.00000       8     8     0
   0.50000     0.54099     0.00002     0.00001     0.00001       8     8     0
   0.50796     0.54099     0.00001     0.00001     0.00001       8     8     0
   0.54099     0.54099    -0.00000    -0.00000    -0.00000       8     8     0
   0.59666     0.54099    -0.00000    -0.00000    -0.00000       8     8     0
   0.66894     0.54099     0.00000     0.00000     0.00000       8     8     0
   0.75000     0.54099    -0.00000    -0.00000    -0.00000       8     8     0
   0.83106     0.54099     0.00000     0.00000     0.00000       8     8     0
   0.90334     0.54099    -0.00000    -0.00000    -0.00000       8     8     0
   0.95901     0.54099     0.00000     0.00000     0.00000       8     8     0
   0.99204     0.54099     0.00000     0.00000     0.00000       8     8     0
   1.00000     0.54099     0.00000     0.00000     0.00000       8     8     0
   0.50000     0.59666    -0.00000    -0.00000    -0.00000       8     8     0
   0.50796     0.59666    -0.00001    -0.00000    -0.00000       8     8     0
   0.54099     0.59666    -0.00000    -0.00000    -0.00000       8     8     0
   0.59666     0.59666     0.00000     0.00000     0.00000       8     8     0
