TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.78020,  DATAPACKING = POINT
   0.00000     0.00000     0.13199    -0.13202    -0.13202       8     8     0
   0.00796     0.00000     0.13708    -0.13449    -0.13710       8     8     0
   0.04099     0.00000     0.15617    -0.14263    -0.15618       8     8     0
   0.09666     0.00000     0.18036    -0.14716    -0.18036       8     8     0
   0.16894     0.00000     0.20004    -0.13695    -0.20008       8     8     0
   0.25000     0.00000     0.21452    -0.11168    -0.21455       8     8     0
   0.33106     0.00000     0.22379    -0.07958    -0.22372       8     8     0
   0.40334     0.00000     0.22245    -0.04996    -0.22232       8     8     0
   0.45901     0.00000     0.21065    -0.03082    -0.21052       8     8     0
   0.49204     0.00000     0.19788    -0.02232    -0.19780       8     8     0
   0.50000     0.00000     0.19407    -0.02056    -0.19401       8     8     0
   0.00000     0.00796     0.13708    -0.13710    -0.13449       8     8     0
   0.00796     0.00796     0.14182    -0.13942    -0.13942       8     8     0
   0.04099     0.00796     0.15939    -0.14680    -0.15789       8     8     0
   0.09666     0.00796     0.18120    -0.14995    -0.18140       8     8     0
   0.16894     0.00796     0.19912    -0.13865    -0.20103       8     8     0
   0.25000     0.00796     0.21368    -0.11298    -0.21658       8     8     0
   0.33106     0.00796     0.22499    -0.08024    -0.22829       8     8     0
   0.40334     0.00796     0.22716    -0.04931    -0.23022       8     8     0
   0.45901     0.00796     0.21876    -0.02853    -0.22111       8     8     0
   0.49204     0.00796     0.20796    -0.01889    -0.20974       8     8     0
   0.50000     0.00796     0.20459    -0.01687    -0.20623       8     8     0
   0.00000     0.04099     0.15617    -0.15618    -0.14263       8     8     0
   0.00796     0.04099     0.15939    -0.15789    -0.14680       8     8     0
   0.04099     0.04099     0.17034    -0.16239    -0.16239       8     8     0
   0.09666     0.04099     0.18158    -0.16064    -0.18240       8     8     0
   0.16894     0.04099     0.19068    -0.14591    -0.20028       8     8     0
   0.25000     0.04099     0.20333    -0.11985    -0.21801       8     8     0
   0.33106     0.04099     0.22096    -0.08601    -0.23779       8     8     0
   0.40334     0.04099     0.23718    -0.05070    -0.25299       8     8     0
   0.45901     0.04099     0.24450    -0.02325    -0.25689       8     8     0
   0.49204     0.04099     0.24372    -0.00839    -0.25329       8     8     0
   0.50000     0.04099     0.24271    -0.00507    -0.25155       8     8     0
   0.00000     0.09666     0.18036    -0.18036    -0.14716       8     8     0
   0.00796     0.09666     0.18120    -0.18140    -0.14995       8     8     0
   0.04099     0.09666     0.18158    -0.18240    -0.16064       8     8     0
   0.09666     0.09666     0.17505    -0.17451    -0.17451       8     8     0
   0.16894     0.09666     0.16655    -0.15625    -0.18655       8     8     0
   0.25000     0.09666     0.16846    -0.13276    -0.20018       8     8     0
   0.33106     0.09666     0.18507    -0.10321    -0.22217       8     8     0
   0.40334     0.09666     0.21348    -0.06799    -0.25035       8     8     0
   0.45901     0.09666     0.24203    -0.03436    -0.27430       8     8     0
   0.49204     0.09666     0.25910    -0.01226    -0.28681       8     8     0
   0.50000     0.09666     0.26299    -0.00686    -0.28934       8     8     0
   0.00000     0.16894     0.20004    -0.20008    -0.13695       8     8     0
   0.00796     0.16894     0.19912    -0.20103    -0.13865       8     8     0
   0.04099     0.16894     0.19068    -0.20028    -0.14591       8     8     0
   0.09666     0.16894     0.16655    -0.18655    -0.15625       8     8     0
   0.16894     0.16894     0.13693    -0.16312    -0.16312       8     8     0
   0.25000     0.16894     0.12038    -0.14291    -0.16712       8     8     0
   0.33106     0.16894     0.12040    -0.12392    -0.17747       8     8     0
   0.40334     0.16894     0.13720    -0.10064    -0.19903       8     8     0
   0.45901     0.16894     0.16563    -0.07452    -0.22714       8     8     0
   0.49204     0.16894     0.18973    -0.05398    -0.24899       8     8     0
   0.50000     0.16894     0.19637    -0.04842    -0.25470       8     8     0
   0.00000     0.25000     0.21452    -0.21455    -0.11168       8     8     0
   0.00796     0.25000     0.21368    -0.21658    -0.11298       8     8     0
   0.04099     0.25000     0.20333    -0.21801    -0.11985       8     8     0
   0.09666     0.25000     0.16846    -0.20018    -0.13276       8     8     0
   0.16894     0.25000     0.12038    -0.16712    -0.14291       8     8     0
   0.25000     0.25000     0.08701    -0.14374    -0.14374       8     8     0
   0.33106     0.25000     0.06947    -0.13158    -0.14206       8     8     0
   0.40334     0.25000     0.06299    -0.12215    -0.14581       8     8     0
   0.45901     0.25000     0.06848    -0.11309    -0.15688       8     8     0
   0.49204     0.25000     0.07784    -0.10446    -0.16898       8     8     0
   0.50000     0.25000     0.08088    -0.10169    -0.17263       8     8     0
   0.00000     0.33106     0.22379    -0.22372    -0.07958       8     8     0
   0.00796     0.33106     0.22499    -0.22829    -0.08024       8     8     0
   0.04099     0.33106     0.22096    -0.23779    -0.08601       8     8     0
   0.09666     0.33106     0.18507    -0.22217    -0.10321       8     8     0
   0.16894     0.33106     0.12040    -0.17747    -0.12392       8     8     0
   0.25000     0.33106     0.06947    -0.14206    -0.13158       8     8     0
   0.33106     0.33106     0.04309    -0.12859    -0.12859       8     8     0
   0.40334     0.33106     0.02643    -0.12376    -0.12502       8     8     0
   0.45901     0.33106     0.01648    -0.12307    -0.12331       8     8     0
   0.49204     0.33106     0.01171    -0.12274    -0.12400       8     8     0
   0.50000     0.33106     0.01049    -0.12228    -0.12462       8     8     0
   0.00000     0.40334     0.22245    -0.22232    -0.04996       8     8     0
   0.00796     0.40334     0.22716    -0.23022    -0.04931       8     8     0
   0.04099     0.40334     0.23718    -0.25299    -0.05070       8     8     0
   0.09666     0.40334     0.21348    -0.25035    -0.06799       8     8     0
   0.16894     0.40334     0.13720    -0.19903    -0.10064       8     8     0
   0.25000     0.40334     0.06299    -0.14581    -0.12215       8     8     0
   0.33106     0.40334     0.02643    -0.12502    -0.12376       8     8     0
   0.40334     0.40334     0.00562    -0.11898    -0.11898       8     8     0
   0.45901     0.40334    -0.00770    -0.11946    -0.11432       8     8     0
   0.49204     0.40334    -0.01517    -0.12143    -0.11225       8     8     0
   0.50000     0.40334    -0.01767    -0.12137    -0.11217       8     8     0
   0.00000     0.45901     0.21065    -0.21052    -0.03082       8     8     0
   0.00796     0.45901     0.21876    -0.22111    -0.02853       8     8     0
   0.04099     0.45901     0.24450    -0.25689    -0.02325       8     8     0
   0.09666     0.45901     0.24203    -0.27430    -0.03436       8     8     0
   0.16894     0.45901     0.16563    -0.22714    -0.07452       8     8     0
   0.25000     0.45901     0.06848    -0.15688    -0.11309       8     8     0
