TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.55020,  DATAPACKING = POINT
   0.00000     0.00000     0.00398    -0.00401    -0.00401       8     8     0
   0.00796     0.00000     0.00481    -0.00441    -0.00484       8     8     0
   0.04099     0.00000     0.00941    -0.00741    -0.00946       8     8     0
   0.09666     0.00000     0.02390    -0.02028    -0.02393       8     8     0
   0.16894     0.00000     0.05725    -0.05536    -0.05732       8     8     0
   0.25000     0.00000     0.09529    -0.10189    -0.09540       8     8     0
   0.33106     0.00000     0.10776    -0.12745    -0.10750       8     8     0
   0.40334     0.00000     0.09668    -0.12826    -0.09628       8     8     0
   0.45901     0.00000     0.08218    -0.12170    -0.08220       8     8     0
   0.49204     0.00000     0.07285    -0.11618    -0.07314       8     8     0
   0.50000     0.00000     0.07055    -0.11463    -0.07087       8     8     0
   0.00000     0.00796     0.00481    -0.00484    -0.00441       8     8     0
   0.00796     0.00796     0.00582    -0.00534    -0.00534       8     8     0
   0.04099     0.00796     0.01130    -0.00889    -0.01026       8     8     0
   0.09666     0.00796     0.02763    -0.02312    -0.02489       8     8     0
   0.16894     0.00796     0.06244    -0.05947    -0.05775       8     8     0
   0.25000     0.00796     0.09871    -0.10462    -0.09481       8     8     0
   0.33106     0.00796     0.10766    -0.12714    -0.10658       8     8     0
   0.40334     0.00796     0.09503    -0.12651    -0.09563       8     8     0
   0.45901     0.00796     0.08050    -0.11969    -0.08171       8     8     0
   0.49204     0.00796     0.07134    -0.11416    -0.07281       8     8     0
   0.50000     0.00796     0.06913    -0.11266    -0.07061       8     8     0
   0.00000     0.04099     0.00941    -0.00946    -0.00741       8     8     0
   0.00796     0.04099     0.01130    -0.01026    -0.00889       8     8     0
   0.04099     0.04099     0.02081    -0.01560    -0.01560       8     8     0
   0.09666     0.04099     0.04536    -0.03490    -0.03147       8     8     0
   0.16894     0.04099     0.08674    -0.07580    -0.06274       8     8     0
   0.25000     0.04099     0.11648    -0.11512    -0.09625       8     8     0
   0.33106     0.04099     0.11178    -0.12570    -0.10620       8     8     0
   0.40334     0.04099     0.09243    -0.11913    -0.09565       8     8     0
   0.45901     0.04099     0.07624    -0.11092    -0.08242       8     8     0
   0.49204     0.04099     0.06672    -0.10544    -0.07392       8     8     0
   0.50000     0.04099     0.06467    -0.10428    -0.07183       8     8     0
   0.00000     0.09666     0.02390    -0.02393    -0.02028       8     8     0
   0.00796     0.09666     0.02763    -0.02489    -0.02312       8     8     0
   0.04099     0.09666     0.04536    -0.03147    -0.03490       8     8     0
   0.09666     0.09666     0.08599    -0.05583    -0.05583       8     8     0
   0.16894     0.09666     0.14330    -0.10139    -0.08800       8     8     0
   0.25000     0.09666     0.16868    -0.13039    -0.11970       8     8     0
   0.33106     0.09666     0.14146    -0.12163    -0.12639       8     8     0
   0.40334     0.09666     0.10394    -0.10593    -0.11065       8     8     0
   0.45901     0.09666     0.07897    -0.09628    -0.09367       8     8     0
   0.49204     0.09666     0.06640    -0.09104    -0.08372       8     8     0
   0.50000     0.09666     0.06413    -0.09032    -0.08128       8     8     0
   0.00000     0.16894     0.05725    -0.05732    -0.05536       8     8     0
   0.00796     0.16894     0.06244    -0.05775    -0.05947       8     8     0
   0.04099     0.16894     0.08674    -0.06274    -0.07580       8     8     0
   0.09666     0.16894     0.14330    -0.08800    -0.10139       8     8     0
   0.16894     0.16894     0.22716    -0.13737    -0.13737       8     8     0
   0.25000     0.16894     0.26968    -0.15524    -0.18041       8     8     0
   0.33106     0.16894     0.23463    -0.11594    -0.20228       8     8     0
   0.40334     0.16894     0.17766    -0.07834    -0.18673       8     8     0
   0.45901     0.16894     0.13373    -0.06391    -0.15759       8     8     0
   0.49204     0.16894     0.10883    -0.05986    -0.13746       8     8     0
   0.50000     0.16894     0.10378    -0.05993    -0.13232       8     8     0
   0.00000     0.25000     0.09529    -0.09540    -0.10189       8     8     0
   0.00796     0.25000     0.09871    -0.09481    -0.10462       8     8     0
   0.04099     0.25000     0.11648    -0.09625    -0.11512       8     8     0
   0.09666     0.25000     0.16868    -0.11970    -0.13039       8     8     0
   0.16894     0.25000     0.26968    -0.18041    -0.15524       8     8     0
   0.25000     0.25000     0.34764    -0.20855    -0.20855       8     8     0
   0.33106     0.25000     0.33850    -0.14305    -0.27608       8     8     0
   0.40334     0.25000     0.29774    -0.05924    -0.30802       8     8     0
   0.45901     0.25000     0.26279    -0.01519    -0.29852       8     8     0
   0.49204     0.25000     0.23678    -0.00002    -0.27920       8     8     0
   0.50000     0.25000     0.23028     0.00194    -0.27299       8     8     0
   0.00000     0.33106     0.10776    -0.10750    -0.12745       8     8     0
   0.00796     0.33106     0.10766    -0.10658    -0.12714       8     8     0
   0.04099     0.33106     0.11178    -0.10620    -0.12570       8     8     0
   0.09666     0.33106     0.14146    -0.12639    -0.12163       8     8     0
   0.16894     0.33106     0.23463    -0.20228    -0.11594       8     8     0
   0.25000     0.33106     0.33850    -0.27608    -0.14305       8     8     0
   0.33106     0.33106     0.35268    -0.23245    -0.23245       8     8     0
   0.40334     0.33106     0.32924    -0.11418    -0.33327       8     8     0
   0.45901     0.33106     0.33124    -0.02283    -0.39068       8     8     0
   0.49204     0.33106     0.33606     0.02350    -0.40929       8     8     0
   0.50000     0.33106     0.33621     0.03401    -0.41181       8     8     0
   0.00000     0.40334     0.09668    -0.09628    -0.12826       8     8     0
   0.00796     0.40334     0.09503    -0.09563    -0.12651       8     8     0
   0.04099     0.40334     0.09243    -0.09565    -0.11913       8     8     0
   0.09666     0.40334     0.10394    -0.11065    -0.10593       8     8     0
   0.16894     0.40334     0.17766    -0.18673    -0.07834       8     8     0
   0.25000     0.40334     0.29774    -0.30802    -0.05924       8     8     0
   0.33106     0.40334     0.32924    -0.33327    -0.11418       8     8     0
   0.40334     0.40334     0.27833    -0.23226    -0.23226       8     8     0
   0.45901     0.40334     0.26479    -0.12049    -0.33643       8     8     0
   0.49204     0.40334     0.28122    -0.05122    -0.39477       8     8     0
   0.50000     0.40334     0.28586    -0.03277    -0.40867       8     8     0
   0.00000     0.45901     0.08218    -0.08220    -0.12170       8     8     0
   0.00796     0.45901     0.08050    -0.08171    -0.11969       8     8     0
   0.04099     0.45901     0.07624    -0.08242    -0.11092       8     8     0
   0.09666     0.45901     0.07897    -0.09367    -0.09628       8     8     0
   0.16894     0.45901     0.13373    -0.15759    -0.06391       8     8     0
