TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.76020,  DATAPACKING = POINT
   0.00000     0.00000     0.11805    -0.11807    -0.11807       8     8     0
   0.00796     0.00000     0.12389    -0.12093    -0.12391       8     8     0
   0.04099     0.00000     0.14640    -0.13104    -0.14641       8     8     0
   0.09666     0.00000     0.17623    -0.13926    -0.17622       8     8     0
   0.16894     0.00000     0.20003    -0.13245    -0.20003       8     8     0
   0.25000     0.00000     0.21348    -0.10908    -0.21348       8     8     0
   0.33106     0.00000     0.21667    -0.07937    -0.21656       8     8     0
   0.40334     0.00000     0.20647    -0.05367    -0.20635       8     8     0
   0.45901     0.00000     0.18711    -0.03852    -0.18711       8     8     0
   0.49204     0.00000     0.17059    -0.03248    -0.17068       8     8     0
   0.50000     0.00000     0.16603    -0.03128    -0.16615       8     8     0
   0.00000     0.00796     0.12389    -0.12391    -0.12093       8     8     0
   0.00796     0.00796     0.12946    -0.12665    -0.12665       8     8     0
   0.04099     0.00796     0.15072    -0.13608    -0.14870       8     8     0
   0.09666     0.00796     0.17837    -0.14276    -0.17807       8     8     0
   0.16894     0.00796     0.20055    -0.13436    -0.20220       8     8     0
   0.25000     0.00796     0.21448    -0.11004    -0.21722       8     8     0
   0.33106     0.00796     0.22017    -0.07923    -0.22314       8     8     0
   0.40334     0.00796     0.21345    -0.05190    -0.21600       8     8     0
   0.45901     0.00796     0.19693    -0.03515    -0.19869       8     8     0
   0.49204     0.00796     0.18173    -0.02815    -0.18297       8     8     0
   0.50000     0.00796     0.17743    -0.02674    -0.17855       8     8     0
   0.00000     0.04099     0.14640    -0.14641    -0.13104       8     8     0
   0.00796     0.04099     0.15072    -0.14870    -0.13608       8     8     0
   0.04099     0.04099     0.16621    -0.15557    -0.15557       8     8     0
   0.09666     0.04099     0.18386    -0.15677    -0.18214       8     8     0
   0.16894     0.04099     0.19765    -0.14299    -0.20592       8     8     0
   0.25000     0.04099     0.21156    -0.11606    -0.22542       8     8     0
   0.33106     0.04099     0.22651    -0.08192    -0.24177       8     8     0
   0.40334     0.04099     0.23520    -0.04821    -0.24852       8     8     0
   0.45901     0.04099     0.23313    -0.02422    -0.24261       8     8     0
   0.49204     0.04099     0.22582    -0.01244    -0.23257       8     8     0
   0.50000     0.04099     0.22317    -0.00992    -0.22929       8     8     0
   0.00000     0.09666     0.17623    -0.17622    -0.13926       8     8     0
   0.00796     0.09666     0.17837    -0.17807    -0.14276       8     8     0
   0.04099     0.09666     0.18386    -0.18214    -0.15677       8     8     0
   0.09666     0.09666     0.18345    -0.17673    -0.17673       8     8     0
   0.16894     0.09666     0.17883    -0.15711    -0.19552       8     8     0
   0.25000     0.09666     0.18390    -0.13008    -0.21407       8     8     0
   0.33106     0.09666     0.20345    -0.09689    -0.23816       8     8     0
   0.40334     0.09666     0.23123    -0.05882    -0.26418       8     8     0
   0.45901     0.09666     0.25495    -0.02503    -0.28208       8     8     0
   0.49204     0.09666     0.26641    -0.00427    -0.28869       8     8     0
   0.50000     0.09666     0.26852     0.00070    -0.28951       8     8     0
   0.00000     0.16894     0.20003    -0.20003    -0.13245       8     8     0
   0.00796     0.16894     0.20055    -0.20220    -0.13436       8     8     0
   0.04099     0.16894     0.19765    -0.20592    -0.14299       8     8     0
   0.09666     0.16894     0.17883    -0.19552    -0.15711       8     8     0
   0.16894     0.16894     0.14992    -0.16962    -0.16962       8     8     0
   0.25000     0.16894     0.13407    -0.14450    -0.17905       8     8     0
   0.33106     0.16894     0.13906    -0.12100    -0.19496       8     8     0
   0.40334     0.16894     0.16245    -0.09205    -0.22218       8     8     0
   0.45901     0.16894     0.19587    -0.06079    -0.25347       8     8     0
   0.49204     0.16894     0.22163    -0.03726    -0.27570       8     8     0
   0.50000     0.16894     0.22830    -0.03092    -0.28128       8     8     0
   0.00000     0.25000     0.21348    -0.21348    -0.10908       8     8     0
   0.00796     0.25000     0.21448    -0.21722    -0.11004       8     8     0
   0.04099     0.25000     0.21156    -0.22542    -0.11606       8     8     0
   0.09666     0.25000     0.18390    -0.21407    -0.13008       8     8     0
   0.16894     0.25000     0.13407    -0.17905    -0.14450       8     8     0
   0.25000     0.25000     0.09568    -0.14976    -0.14976       8     8     0
   0.33106     0.25000     0.07869    -0.13443    -0.15175       8     8     0
   0.40334     0.25000     0.07645    -0.12127    -0.16055       8     8     0
   0.45901     0.25000     0.08867    -0.10750    -0.17773       8     8     0
   0.49204     0.25000     0.10379    -0.09494    -0.19460       8     8     0
   0.50000     0.25000     0.10820    -0.09087    -0.19956       8     8     0
   0.00000     0.33106     0.21667    -0.21656    -0.07937       8     8     0
   0.00796     0.33106     0.22017    -0.22314    -0.07923       8     8     0
   0.04099     0.33106     0.22651    -0.24177    -0.08192       8     8     0
   0.09666     0.33106     0.20345    -0.23816    -0.09689       8     8     0
   0.16894     0.33106     0.13906    -0.19496    -0.12100       8     8     0
   0.25000     0.33106     0.07869    -0.15175    -0.13443       8     8     0
   0.33106     0.33106     0.04757    -0.13400    -0.13400       8     8     0
   0.40334     0.33106     0.03029    -0.12769    -0.13199       8     8     0
   0.45901     0.33106     0.02201    -0.12584    -0.13276       8     8     0
   0.49204     0.33106     0.01948    -0.12414    -0.13584       8     8     0
   0.50000     0.33106     0.01872    -0.12295    -0.13725       8     8     0
   0.00000     0.40334     0.20647    -0.20635    -0.05367       8     8     0
   0.00796     0.40334     0.21345    -0.21600    -0.05190       8     8     0
   0.04099     0.40334     0.23520    -0.24852    -0.04821       8     8     0
   0.09666     0.40334     0.23123    -0.26418    -0.05882       8     8     0
   0.16894     0.40334     0.16245    -0.22218    -0.09205       8     8     0
   0.25000     0.40334     0.07645    -0.16055    -0.12127       8     8     0
   0.33106     0.40334     0.03029    -0.13199    -0.12769       8     8     0
   0.40334     0.40334     0.00724    -0.12441    -0.12441       8     8     0
   0.45901     0.40334    -0.00729    -0.12418    -0.12031       8     8     0
   0.49204     0.40334    -0.01515    -0.12590    -0.11847       8     8     0
   0.50000     0.40334    -0.01767    -0.12580    -0.11855       8     8     0
   0.00000     0.45901     0.18711    -0.18711    -0.03852       8     8     0
   0.00796     0.45901     0.19693    -0.19869    -0.03515       8     8     0
   0.04099     0.45901     0.23313    -0.24261    -0.02422       8     8     0
   0.09666     0.45901     0.25495    -0.28208    -0.02503       8     8     0
   0.16894     0.45901     0.19587    -0.25347    -0.06079       8     8     0
   0.25000     0.45901     0.08867    -0.17773    -0.10750       8     8     0
   0.33106     0.45901     0.02201    -0.13276    -0.12584       8     8     0
   0.40334     0.45901    -0.00729    -0.12031    -0.12418       8     8     0
   0.45901     0.45901    -0.02338    -0.11967    -0.11967       8     8     0
   0.49204     0.45901    -0.03157    -0.12237    -0.11677       8     8     0
   0.50000     0.45901    -0.03418    -0.12269    -0.11634       8     8     0
   0.00000     0.49204     0.17059    -0.17068    -0.03248       8     8     0
   0.00796     0.49204     0.18173    -0.18297    -0.02815       8     8     0
   0.04099     0.49204     0.22582    -0.23257    -0.01244       8     8     0
   0.09666     0.49204     0.26641    -0.28869    -0.00427       8     8     0
   0.16894     0.49204     0.22163    -0.27570    -0.03726       8     8     0
   0.25000     0.49204     0.10379    -0.19460    -0.09494       8     8     0
   0.33106     0.49204     0.01948    -0.13584    -0.12414       8     8     0
   0.40334     0.49204    -0.01515    -0.11847    -0.12590       8     8     0
   0.45901     0.49204    -0.03157    -0.11677    -0.12237       8     8     0
   0.49204     0.49204    -0.03964    -0.11919    -0.11919       8     8     0
   0.50000     0.49204    -0.04195    -0.11974    -0.11842       8     8     0
   0.00000     0.50000     0.16603    -0.16615    -0.03128       8     8     0
   0.00796     0.50000     0.17743    -0.17855    -0.02674       8     8     0
   0.04099     0.50000     0.22317    -0.22929    -0.00992       8     8     0
   0.09666     0.50000     0.26852    -0.28951     0.00070       8     8     0
   0.16894     0.50000     0.22830    -0.28128    -0.03092       8     8     0
   0.25000     0.50000     0.10820    -0.19956    -0.09087       8     8     0
   0.33106     0.50000     0.01872    -0.13725    -0.12295       8     8     0
   0.40334     0.50000    -0.01767    -0.11855    -0.12580       8     8     0
   0.45901     0.50000    -0.03418    -0.11634    -0.12269       8     8     0
   0.49204     0.50000    -0.04195    -0.11842    -0.11974       8     8     0
   0.50000     0.50000    -0.04403    -0.11901    -0.11901       8     8     0
ZONE T= "IEL     2",  I=11,  J=11,  SOLUTIONTIME=   1.76020,  DATAPACKING = POINT
   0.00000     0.50000     0.16614    -0.16626    -0.03133       8     8     0
   0.00796     0.50000     0.17755    -0.17863    -0.02677       8     8     0
   0.04099     0.50000     0.22343    -0.22942    -0.00985       8     8     0
   0.09666     0.50000     0.26854    -0.28951     0.00048       8     8     0
   0.16894     0.50000     0.22804    -0.28092    -0.03156       8     8     0
   0.25000     0.50000     0.10939    -0.19993    -0.09058       8     8     0
   0.33106     0.50000     0.02042    -0.13788    -0.12276       8     8     0
   0.40334     0.50000    -0.01834    -0.11746    -0.12799       8     8     0
   0.45901     0.50000    -0.03601    -0.11465    -0.12546       8     8     0
   0.49204     0.50000    -0.04363    -0.11721    -0.12155       8     8     0
   0.50000     0.50000    -0.04573    -0.11788    -0.12055       8     8     0
   0.00000     0.50796     0.16143    -0.16159    -0.03040       8     8     0
   0.00796     0.50796     0.17305    -0.17400    -0.02566       8     8     0
   0.04099     0.50796     0.22037    -0.22571    -0.00774       8     8     0
   0.09666     0.50796     0.27058    -0.29014     0.00539       8     8     0
   0.16894     0.50796     0.23541    -0.28694    -0.02478       8     8     0
   0.25000     0.50796     0.11390    -0.20476    -0.08735       8     8     0
   0.33106     0.50796     0.01982    -0.13854    -0.12294       8     8     0
   0.40334     0.50796    -0.01864    -0.11792    -0.12720       8     8     0
   0.45901     0.50796    -0.03603    -0.11526    -0.12430       8     8     0
   0.49204     0.50796    -0.04427    -0.11746    -0.12096       8     8     0
   0.50000     0.50796    -0.04636    -0.11823    -0.12001       8     8     0
   0.00000     0.54099     0.14057    -0.14082    -0.02780       8     8     0
   0.00796     0.54099     0.15268    -0.15311    -0.02238       8     8     0
   0.04099     0.54099     0.20475    -0.20744    -0.00041       8     8     0
   0.09666     0.54099     0.27464    -0.28829     0.02388       8     8     0
   0.16894     0.54099     0.26566    -0.31032     0.00374       8     8     0
   0.25000     0.54099     0.14125    -0.23084    -0.06707       8     8     0
   0.33106     0.54099     0.02351    -0.14715    -0.11964       8     8     0
   0.40334     0.54099    -0.02517    -0.11769    -0.13097       8     8     0
