TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.18020,  DATAPACKING = POINT
   0.00000     0.00000     0.00000    -0.00000    -0.00000       8     8     0
   0.00796     0.00000    -0.00001     0.00001     0.00002       8     8     0
   0.04099     0.00000    -0.00010     0.00015     0.00011       8     8     0
   0.09666     0.00000    -0.00002     0.00001     0.00003       8     8     0
   0.16894     0.00000    -0.00005    -0.00004     0.00007       8     8     0
   0.25000     0.00000     0.00000     0.00005    -0.00003       8     8     0
   0.33106     0.00000     0.00117    -0.00115    -0.00118       8     8     0
   0.40334     0.00000     0.00848    -0.00907    -0.00846       8     8     0
   0.45901     0.00000     0.02842    -0.03123    -0.02849       8     8     0
   0.49204     0.00000     0.05010    -0.05592    -0.05016       8     8     0
   0.50000     0.00000     0.05645    -0.06325    -0.05647       8     8     0
   0.00000     0.00796    -0.00001     0.00002     0.00001       8     8     0
   0.00796     0.00796    -0.00004     0.00002     0.00002       8     8     0
   0.04099     0.00796    -0.00013     0.00010     0.00012       8     8     0
   0.09666     0.00796    -0.00005    -0.00006     0.00008       8     8     0
   0.16894     0.00796    -0.00012    -0.00002     0.00009       8     8     0
   0.25000     0.00796     0.00004     0.00002    -0.00002       8     8     0
   0.33106     0.00796     0.00145    -0.00143    -0.00115       8     8     0
   0.40334     0.00796     0.00998    -0.01069    -0.00818       8     8     0
   0.45901     0.00796     0.03225    -0.03549    -0.02742       8     8     0
   0.49204     0.00796     0.05531    -0.06190    -0.04833       8     8     0
   0.50000     0.00796     0.06183    -0.06952    -0.05444       8     8     0
   0.00000     0.04099    -0.00010     0.00011     0.00015       8     8     0
   0.00796     0.04099    -0.00013     0.00012     0.00010       8     8     0
   0.04099     0.04099    -0.00011     0.00009     0.00009       8     8     0
   0.09666     0.04099     0.00004    -0.00011     0.00007       8     8     0
   0.16894     0.04099    -0.00025     0.00005     0.00014       8     8     0
   0.25000     0.04099    -0.00005    -0.00016     0.00017       8     8     0
   0.33106     0.04099     0.00230    -0.00248    -0.00079       8     8     0
   0.40334     0.04099     0.01556    -0.01666    -0.00650       8     8     0
   0.45901     0.04099     0.04649    -0.05113    -0.02198       8     8     0
   0.49204     0.04099     0.07497    -0.08411    -0.03916       8     8     0
   0.50000     0.04099     0.08232    -0.09291    -0.04429       8     8     0
   0.00000     0.09666    -0.00002     0.00003     0.00001       8     8     0
   0.00796     0.09666    -0.00005     0.00008    -0.00006       8     8     0
   0.04099     0.09666     0.00004     0.00007    -0.00011       8     8     0
   0.09666     0.09666     0.00036    -0.00017    -0.00017       8     8     0
   0.16894     0.09666     0.00005     0.00019    -0.00022       8     8     0
   0.25000     0.09666     0.00027    -0.00017    -0.00005       8     8     0
   0.33106     0.09666     0.00329    -0.00354    -0.00020       8     8     0
   0.40334     0.09666     0.02171    -0.02316    -0.00257       8     8     0
   0.45901     0.09666     0.06376    -0.06927    -0.01012       8     8     0
   0.49204     0.09666     0.10056    -0.11137    -0.01980       8     8     0
   0.50000     0.09666     0.10961    -0.12213    -0.02295       8     8     0
   0.00000     0.16894    -0.00005     0.00007    -0.00004       8     8     0
   0.00796     0.16894    -0.00012     0.00009    -0.00002       8     8     0
   0.04099     0.16894    -0.00025     0.00014     0.00005       8     8     0
   0.09666     0.16894     0.00005    -0.00022     0.00019       8     8     0
   0.16894     0.16894    -0.00021     0.00007     0.00007       8     8     0
   0.25000     0.16894     0.00014    -0.00003    -0.00005       8     8     0
   0.33106     0.16894     0.00354    -0.00346     0.00035       8     8     0
   0.40334     0.16894     0.02297    -0.02391     0.00216       8     8     0
   0.45901     0.16894     0.07093    -0.07495     0.00543       8     8     0
   0.49204     0.16894     0.11648    -0.12474     0.00687       8     8     0
   0.50000     0.16894     0.12840    -0.13812     0.00681       8     8     0
   0.00000     0.25000     0.00000    -0.00003     0.00005       8     8     0
   0.00796     0.25000     0.00004    -0.00002     0.00002       8     8     0
   0.04099     0.25000    -0.00005     0.00017    -0.00016       8     8     0
   0.09666     0.25000     0.00027    -0.00005    -0.00017       8     8     0
   0.16894     0.25000     0.00014    -0.00005    -0.00003       8     8     0
   0.25000     0.25000    -0.00024     0.00004     0.00004       8     8     0
   0.33106     0.25000     0.00218    -0.00216     0.00059       8     8     0
   0.40334     0.25000     0.01736    -0.01713     0.00442       8     8     0
   0.45901     0.25000     0.05906    -0.05941     0.01502       8     8     0
   0.49204     0.25000     0.10562    -0.10729     0.02661       8     8     0
   0.50000     0.25000     0.11952    -0.12173     0.03001       8     8     0
   0.00000     0.33106     0.00117    -0.00118    -0.00115       8     8     0
   0.00796     0.33106     0.00145    -0.00115    -0.00143       8     8     0
   0.04099     0.33106     0.00230    -0.00079    -0.00248       8     8     0
   0.09666     0.33106     0.00329    -0.00020    -0.00354       8     8     0
   0.16894     0.33106     0.00354     0.00035    -0.00346       8     8     0
   0.25000     0.33106     0.00218     0.00059    -0.00216       8     8     0
   0.33106     0.33106     0.00137    -0.00045    -0.00045       8     8     0
   0.40334     0.33106     0.00908    -0.00843     0.00334       8     8     0
   0.45901     0.33106     0.03575    -0.03372     0.01380       8     8     0
   0.49204     0.33106     0.07057    -0.06706     0.02758       8     8     0
   0.50000     0.33106     0.08214    -0.07820     0.03220       8     8     0
   0.00000     0.40334     0.00848    -0.00846    -0.00907       8     8     0
