TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.28020,  DATAPACKING = POINT
   0.00000     0.00000     0.00004    -0.00005    -0.00005       8     8     0
   0.00796     0.00000     0.00006    -0.00003    -0.00008       8     8     0
   0.04099     0.00000     0.00023    -0.00006    -0.00024       8     8     0
   0.09666     0.00000     0.00005     0.00019    -0.00008       8     8     0
   0.16894     0.00000     0.00032    -0.00011    -0.00034       8     8     0
   0.25000     0.00000     0.00169    -0.00166    -0.00162       8     8     0
   0.33106     0.00000     0.01335    -0.01449    -0.01334       8     8     0
   0.40334     0.00000     0.04895    -0.05427    -0.04890       8     8     0
   0.45901     0.00000     0.09082    -0.10419    -0.09053       8     8     0
   0.49204     0.00000     0.11331    -0.13401    -0.11312       8     8     0
   0.50000     0.00000     0.11756    -0.14022    -0.11749       8     8     0
   0.00000     0.00796     0.00006    -0.00008    -0.00003       8     8     0
   0.00796     0.00796     0.00009    -0.00007    -0.00007       8     8     0
   0.04099     0.00796     0.00024    -0.00010    -0.00026       8     8     0
   0.09666     0.00796     0.00007     0.00018    -0.00008       8     8     0
   0.16894     0.00796     0.00043    -0.00015    -0.00036       8     8     0
   0.25000     0.00796     0.00199    -0.00203    -0.00159       8     8     0
   0.33106     0.00796     0.01544    -0.01686    -0.01287       8     8     0
   0.40334     0.00796     0.05357    -0.05961    -0.04736       8     8     0
   0.45901     0.00796     0.09537    -0.10989    -0.08784       8     8     0
   0.49204     0.00796     0.11660    -0.13858    -0.10982       8     8     0
   0.50000     0.00796     0.12053    -0.14450    -0.11406       8     8     0
   0.00000     0.04099     0.00023    -0.00024    -0.00006       8     8     0
   0.00796     0.04099     0.00024    -0.00026    -0.00010       8     8     0
   0.04099     0.04099     0.00017    -0.00023    -0.00023       8     8     0
   0.09666     0.04099    -0.00014     0.00015    -0.00000       8     8     0
   0.16894     0.04099     0.00067    -0.00040    -0.00037       8     8     0
   0.25000     0.04099     0.00362    -0.00325    -0.00167       8     8     0
   0.33106     0.04099     0.02393    -0.02540    -0.01089       8     8     0
   0.40334     0.04099     0.07163    -0.07993    -0.03973       8     8     0
   0.45901     0.04099     0.11381    -0.13266    -0.07507       8     8     0
   0.49204     0.04099     0.13024    -0.15732    -0.09530       8     8     0
   0.50000     0.04099     0.13279    -0.16197    -0.09937       8     8     0
   0.00000     0.09666     0.00005    -0.00008     0.00019       8     8     0
   0.00796     0.09666     0.00007    -0.00008     0.00018       8     8     0
   0.04099     0.09666    -0.00014    -0.00000     0.00015       8     8     0
   0.09666     0.09666    -0.00071     0.00039     0.00039       8     8     0
   0.16894     0.09666     0.00019    -0.00074     0.00046       8     8     0
   0.25000     0.09666     0.00430    -0.00499    -0.00023       8     8     0
   0.33106     0.09666     0.03364    -0.03579    -0.00535       8     8     0
   0.40334     0.09666     0.09658    -0.10650    -0.02350       8     8     0
   0.45901     0.09666     0.14339    -0.16607    -0.05023       8     8     0
   0.49204     0.09666     0.15548    -0.18783    -0.06854       8     8     0
   0.50000     0.09666     0.15640    -0.19117    -0.07265       8     8     0
   0.00000     0.16894     0.00032    -0.00034    -0.00011       8     8     0
   0.00796     0.16894     0.00043    -0.00036    -0.00015       8     8     0
   0.04099     0.16894     0.00067    -0.00037    -0.00040       8     8     0
   0.09666     0.16894     0.00019     0.00046    -0.00074       8     8     0
   0.16894     0.16894     0.00135    -0.00054    -0.00054       8     8     0
   0.25000     0.16894     0.00526    -0.00513     0.00009       8     8     0
   0.33106     0.16894     0.03775    -0.03966     0.00200       8     8     0
   0.40334     0.16894     0.11586    -0.12478     0.00059       8     8     0
   0.45901     0.16894     0.17831    -0.20013    -0.01237       8     8     0
   0.49204     0.16894     0.19430    -0.22710    -0.02749       8     8     0
   0.50000     0.16894     0.19492    -0.23057    -0.03172       8     8     0
   0.00000     0.25000     0.00169    -0.00162    -0.00166       8     8     0
   0.00796     0.25000     0.00199    -0.00159    -0.00203       8     8     0
   0.04099     0.25000     0.00362    -0.00167    -0.00325       8     8     0
   0.09666     0.25000     0.00430    -0.00023    -0.00499       8     8     0
   0.16894     0.25000     0.00526     0.00009    -0.00513       8     8     0
