TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.30000,  DATAPACKING = POINT
   0.00000     0.00000    -0.01099    -0.00440    -0.00440       4     4     0
   0.02346     0.00000     0.05073     0.02409     0.06872       4     4     0
   0.11538     0.00000     0.07214     0.05250     0.07556       4     4     0
   0.25000     0.00000     0.28353     0.22400     0.16632       4     4     0
   0.38462     0.00000     0.93855     0.63546     0.68284       4     4     0
   0.47654     0.00000     0.98226     0.73221     0.66435       4     4     0
   0.50000     0.00000     0.82137     0.67562     0.49450       4     4     0
   0.00000     0.02346     0.05073     0.06872     0.02409       4     4     0
   0.02346     0.02346     0.02490     0.02259     0.02259       4     4     0
   0.11538     0.02346     0.03878     0.01468     0.04184       4     4     0
   0.25000     0.02346     0.45902     0.34023     0.31718       4     4     0
   0.38462     0.02346     0.98392     0.68158     0.69905       4     4     0
   0.47654     0.02346     0.85844     0.62807     0.58357       4     4     0
   0.50000     0.02346     0.68931     0.54489     0.44068       4     4     0
   0.00000     0.11538     0.07214     0.07556     0.05250       4     4     0
   0.02346     0.11538     0.03878     0.04184     0.01468       4     4     0
   0.11538     0.11538     0.30257     0.20375     0.20375       4     4     0
   0.25000     0.11538     0.87961     0.61573     0.64062       4     4     0
   0.38462     0.11538     0.81284     0.58604     0.56482       4     4     0
   0.47654     0.11538     0.40452     0.27851     0.28001       4     4     0
   0.50000     0.11538     0.29260     0.18565     0.21812       4     4     0
   0.00000     0.25000     0.28353     0.16632     0.22400       4     4     0
   0.02346     0.25000     0.45902     0.31718     0.34023       4     4     0
   0.11538     0.25000     0.87961     0.64062     0.61573       4     4     0
   0.25000     0.25000     0.79482     0.55314     0.55314       4     4     0
   0.38462     0.25000     0.25375     0.18378     0.18609       4     4     0
   0.47654     0.25000     0.01475     0.00854     0.01257       4     4     0
   0.50000     0.25000     0.01951    -0.00332     0.00930       4     4     0
   0.00000     0.38462     0.93855     0.68284     0.63546       4     4     0
   0.02346     0.38462     0.98392     0.69905     0.68158       4     4     0
   0.11538     0.38462     0.81284     0.56482     0.58604       4     4     0
   0.25000     0.38462     0.25375     0.18609     0.18378       4     4     0
   0.38462     0.38462    -0.01193    -0.01377    -0.01377       4     4     0
   0.47654     0.38462    -0.00591    -0.00164    -0.00305       4     4     0
   0.50000     0.38462    -0.00585     0.01103     0.00060       4     4     0
   0.00000     0.47654     0.98226     0.66435     0.73221       4     4     0
   0.02346     0.47654     0.85844     0.58357     0.62807       4     4     0
   0.11538     0.47654     0.40452     0.28001     0.27851       4     4     0
   0.25000     0.47654     0.01475     0.01257     0.00854       4     4     0
   0.38462     0.47654    -0.00591    -0.00305    -0.00164       4     4     0
   0.47654     0.47654     0.03033     0.02046     0.02046       4     4     0
   0.50000     0.47654     0.01736     0.01070     0.01110       4     4     0
   0.00000     0.50000     0.82137     0.49450     0.67562       4     4     0
   0.02346     0.50000     0.68931     0.44068     0.54489       4     4     0
   0.11538     0.50000     0.29260     0.21812     0.18565       4     4     0
   0.25000     0.50000     0.01951     0.00930    -0.00332       4     4     0
   0.38462     0.50000    -0.00585     0.00060     0.01103       4     4     0
   0.47654     0.50000     0.01736     0.01110     0.01070       4     4     0
   0.50000     0.50000     0.01679    -0.00315    -0.00315       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.30000,  DATAPACKING = POINT
   0.50000     0.00000     0.90522     0.63501     0.67452       4     4     0
   0.52346     0.00000     0.73214     0.51295     0.54305       4     4     0
   0.61538     0.00000     0.27225     0.18924     0.19562       4     4     0
   0.75000     0.00000     0.02337     0.01606     0.01290       4     4     0
   0.88462     0.00000     0.00004     0.00118     0.00096       4     4     0
   0.97654     0.00000     0.00098    -0.00021     0.00165       4     4     0
   1.00000     0.00000    -0.00309    -0.00434    -0.00236       4     4     0
   0.50000     0.02346     0.73676     0.51400     0.54069       4     4     0
   0.52346     0.02346     0.58138     0.40597     0.42754       4     4     0
   0.61538     0.02346     0.19497     0.13610     0.14243       4     4     0
   0.75000     0.02346     0.01703     0.01169     0.00899       4     4     0
   0.88462     0.02346     0.00019     0.00119     0.00083       4     4     0
   0.97654     0.02346    -0.00131    -0.00233     0.00069       4     4     0
   1.00000     0.02346    -0.00097    -0.00390    -0.00039       4     4     0
   0.50000     0.11538     0.26644     0.18040     0.18560       4     4     0
   0.52346     0.11538     0.19026     0.12997     0.13524       4     4     0
   0.61538     0.11538     0.03451     0.02527     0.02790       4     4     0
   0.75000     0.11538     0.00416     0.00296     0.00150       4     4     0
   0.88462     0.11538    -0.00049    -0.00003     0.00007       4     4     0
   0.97654     0.11538    -0.00322    -0.00342    -0.00079       4     4     0
   1.00000     0.11538     0.00294    -0.00055     0.00236       4     4     0
   0.50000     0.25000     0.00270    -0.00008     0.00463       4     4     0
   0.52346     0.25000     0.00370     0.00154     0.00351       4     4     0
   0.61538     0.25000     0.00406     0.00340     0.00124       4     4     0
   0.75000     0.25000     0.00045     0.00037     0.00027       4     4     0
   0.88462     0.25000    -0.00107    -0.00106    -0.00047       4     4     0
   0.97654     0.25000     0.00085     0.00105     0.00012       4     4     0
   1.00000     0.25000     0.00170     0.00199     0.00068       4     4     0
   0.50000     0.38462     0.00888     0.00768     0.00638       4     4     0
   0.52346     0.38462     0.00896     0.00740     0.00623       4     4     0
   0.61538     0.38462     0.00450     0.00327     0.00322       4     4     0
   0.75000     0.38462    -0.00168    -0.00143    -0.00071       4     4     0
   0.88462     0.38462     0.00065     0.00059     0.00024       4     4     0
   0.97654     0.38462     0.00089     0.00057     0.00054       4     4     0
   1.00000     0.38462    -0.00061    -0.00072    -0.00015       4     4     0
   0.50000     0.47654     0.01475     0.01059     0.00913       4     4     0
   0.52346     0.47654     0.00708     0.00497     0.00457       4     4     0
   0.61538     0.47654    -0.00476    -0.00361    -0.00291       4     4     0
   0.75000     0.47654    -0.00045    -0.00023    -0.00069       4     4     0
   0.88462     0.47654     0.00067     0.00056     0.00057       4     4     0
   0.97654     0.47654    -0.00093    -0.00084    -0.00052       4     4     0
   1.00000     0.47654    -0.00047    -0.00057    -0.00056       4     4     0
   0.50000     0.50000     0.00125     0.00044     0.00249       4     4     0
   0.52346     0.50000    -0.00164    -0.00191    -0.00019       4     4     0
   0.61538     0.50000    -0.00360    -0.00308    -0.00334       4     4     0
   0.75000     0.50000     0.00124     0.00122    -0.00001       4     4     0
   0.88462     0.50000     0.00004    -0.00014     0.00047       4     4     0
   0.97654     0.50000    -0.00103    -0.00051    -0.00097       4     4     0
   1.00000     0.50000    -0.00013     0.00066    -0.00104       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.30000,  DATAPACKING = POINT
   0.50000     0.50000     0.00061    -0.00060    -0.00060       4     4     1
   0.52346     0.50000    -0.00265    -0.00227    -0.00266       4     4     1
