TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.80000,  DATAPACKING = POINT
   0.00000     0.00000     0.00038     0.00529     0.00529       4     4     0
   0.02346     0.00000    -0.00198     0.00172     0.00288       4     4     0
   0.11538     0.00000    -0.00090     0.00062     0.00109       4     4     0
   0.25000     0.00000     0.00519     0.00664     0.00589       4     4     0
   0.38462     0.00000    -0.00541    -0.00418    -0.00188       4     4     0
   0.47654     0.00000    -0.02067    -0.01956    -0.02436       4     4     0
   0.50000     0.00000    -0.02438    -0.02310    -0.03305       4     4     0
   0.00000     0.02346    -0.00198     0.00288     0.00172       4     4     0
   0.02346     0.02346    -0.00078     0.00115     0.00115       4     4     0
   0.11538     0.02346     0.00103    -0.00035     0.00041       4     4     0
   0.25000     0.02346    -0.00159     0.00187     0.00142       4     4     0
   0.38462     0.02346    -0.00381    -0.00198     0.00040       4     4     0
   0.47654     0.02346    -0.00028    -0.00983    -0.00464       4     4     0
   0.50000     0.02346     0.00178    -0.01230    -0.00682       4     4     0
   0.00000     0.11538    -0.00090     0.00109     0.00062       4     4     0
   0.02346     0.11538     0.00103     0.00041    -0.00035       4     4     0
   0.11538     0.11538     0.00226    -0.00259    -0.00259       4     4     0
   0.25000     0.11538    -0.00148    -0.00057    -0.00127       4     4     0
   0.38462     0.11538     0.00179     0.00569     0.00443       4     4     0
   0.47654     0.11538     0.01035    -0.00037     0.00943       4     4     0
   0.50000     0.11538     0.01314    -0.00523     0.01066       4     4     0
   0.00000     0.25000     0.00519     0.00589     0.00664       4     4     0
   0.02346     0.25000    -0.00159     0.00142     0.00187       4     4     0
   0.11538     0.25000    -0.00148    -0.00127    -0.00057       4     4     0
   0.25000     0.25000     0.01017     0.00414     0.00414       4     4     0
   0.38462     0.25000    -0.00907    -0.00311    -0.00808       4     4     0
   0.47654     0.25000    -0.01999    -0.00641    -0.01506       4     4     0
   0.50000     0.25000    -0.01721    -0.00451    -0.01363       4     4     0
   0.00000     0.38462    -0.00541    -0.00188    -0.00418       4     4     0
   0.02346     0.38462    -0.00381     0.00040    -0.00198       4     4     0
   0.11538     0.38462     0.00179     0.00443     0.00569       4     4     0
   0.25000     0.38462    -0.00907    -0.00808    -0.00311       4     4     0
   0.38462     0.38462     0.00477     0.00047     0.00047       4     4     0
   0.47654     0.38462     0.10763     0.07729     0.07538       4     4     0
   0.50000     0.38462     0.15712     0.11402     0.11318       4     4     0
   0.00000     0.47654    -0.02067    -0.02436    -0.01956       4     4     0
   0.02346     0.47654    -0.00028    -0.00464    -0.00983       4     4     0
   0.11538     0.47654     0.01035     0.00943    -0.00037       4     4     0
   0.25000     0.47654    -0.01999    -0.01506    -0.00641       4     4     0
   0.38462     0.47654     0.10763     0.07538     0.07729       4     4     0
   0.47654     0.47654     0.37341     0.25519     0.25519       4     4     0
   0.50000     0.47654     0.46971     0.31767     0.32280       4     4     0
   0.00000     0.50000    -0.02438    -0.03305    -0.02310       4     4     0
   0.02346     0.50000     0.00178    -0.00682    -0.01230       4     4     0
   0.11538     0.50000     0.01314     0.01066    -0.00523       4     4     0
   0.25000     0.50000    -0.01721    -0.01363    -0.00451       4     4     0
   0.38462     0.50000     0.15712     0.11318     0.11402       4     4     0
   0.47654     0.50000     0.46971     0.32280     0.31767       4     4     0
   0.50000     0.50000     0.57582     0.38905     0.38905       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.80000,  DATAPACKING = POINT
   0.50000     0.00000    -0.02681    -0.02069    -0.01274       4     4     0
   0.52346     0.00000    -0.03693    -0.01851    -0.03603       4     4     0
   0.61538     0.00000     0.00596     0.00753    -0.00204       4     4     0
   0.75000     0.00000     0.06511     0.03603     0.07098       4     4     0
   0.88462     0.00000     0.09758     0.08384     0.05723       4     4     0
   0.97654     0.00000     0.35676     0.23564     0.24639       4     4     0
   1.00000     0.00000     0.49663     0.30647     0.36679       4     4     0
   0.50000     0.02346    -0.02544    -0.03126    -0.01388       4     4     0
   0.52346     0.02346    -0.00883    -0.00664    -0.00824       4     4     0
   0.61538     0.02346     0.01517     0.01789     0.00574       4     4     0
   0.75000     0.02346     0.01110     0.00192     0.01331       4     4     0
   0.88462     0.02346     0.16745     0.12521     0.12054       4     4     0
   0.97654     0.02346     0.53359     0.36075     0.38292       4     4     0
   1.00000     0.02346     0.67945     0.44355     0.49133       4     4     0
   0.50000     0.11538    -0.00154    -0.01386    -0.00332       4     4     0
   0.52346     0.11538     0.01285    -0.00067     0.01388       4     4     0
   0.61538     0.11538    -0.01765    -0.00948    -0.01175       4     4     0
   0.75000     0.11538     0.08620     0.06632     0.04791       4     4     0
   0.88462     0.11538     0.57321     0.39715     0.41603       4     4     0
   0.97654     0.11538     0.92145     0.65157     0.66215       4     4     0
   1.00000     0.11538     0.96926     0.69399     0.68545       4     4     0
   0.50000     0.25000     0.03983     0.04757     0.02764       4     4     0
   0.52346     0.25000     0.00243     0.00544    -0.00086       4     4     0
   0.61538     0.25000     0.09750     0.05862     0.07139       4     4     0
   0.75000     0.25000     0.58709     0.41988     0.42291       4     4     0
   0.88462     0.25000     0.92615     0.65174     0.64676       4     4     0
   0.97654     0.25000     0.76194     0.55242     0.53015       4     4     0
   1.00000     0.25000     0.64206     0.48357     0.45117       4     4     0
   0.50000     0.38462     0.15096     0.11101     0.10892       4     4     0
   0.52346     0.38462     0.20364     0.15197     0.14607       4     4     0
   0.61538     0.38462     0.57174     0.40637     0.40323       4     4     0
   0.75000     0.38462     0.91928     0.64287     0.64760       4     4     0
   0.88462     0.38462     0.59418     0.42635     0.42331       4     4     0
   0.97654     0.38462     0.19129     0.12532     0.13737       4     4     0
   1.00000     0.38462     0.11871     0.05922     0.08354       4     4     0
   0.50000     0.47654     0.39927     0.25946     0.26546       4     4     0
