TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   1.00020,  DATAPACKING = POINT
   1.00000     0.47654     1.78952    -0.03378     1.29210       4     4     0
   0.50000     0.50000     0.05743     0.03224     0.01620       4     4     0
   0.52346     0.50000     0.02379    -0.01671     0.02643       4     4     0
   0.61538     0.50000     0.01804     0.01470     0.04839       4     4     0
   0.75000     0.50000     0.44460     0.32520     0.29075       4     4     0
   0.88462     0.50000     1.20646     0.41153     0.85059       4     4     0
   0.97654     0.50000     1.60779     0.10629     1.19507       4     4     0
   1.00000     0.50000     1.65087    -0.03443     1.23845       4     4     0
ZONE T= "IEL     3",  I= 7,  J= 7,  SOLUTIONTIME=   1.00020,  DATAPACKING = POINT
   0.50000     0.50000     0.09952     0.05535     0.05535       4     4     0
   0.52346     0.50000     0.09216     0.01174     0.07858       4     4     0
   0.61538     0.50000     0.05120     0.02866     0.06846       4     4     0
   0.75000     0.50000     0.36463     0.30386     0.23721       4     4     0
   0.88462     0.50000     1.21113     0.39934     0.85587       4     4     0
   0.97654     0.50000     1.73285     0.10041     1.27563       4     4     0
   1.00000     0.50000     1.79441    -0.04562     1.32876       4     4     0
   0.50000     0.52346     0.09216     0.07858     0.01174       4     4     0
   0.52346     0.52346     0.05467     0.01273     0.01273       4     4     0
   0.61538     0.52346     0.07227     0.02565     0.07036       4     4     0
   0.75000     0.52346     0.49692     0.39367     0.35515       4     4     0
   0.88462     0.52346     1.14206     0.51937     0.80493       4     4     0
   0.97654     0.52346     1.47825     0.14336     1.06207       4     4     0
   1.00000     0.52346     1.52317    -0.03742     1.10031       4     4     0
   0.50000     0.61538     0.05120     0.06846     0.02866       4     4     0
   0.52346     0.61538     0.07227     0.07036     0.02565       4     4     0
   0.61538     0.61538     0.39881     0.25285     0.25285       4     4     0
   0.75000     0.61538     0.85267     0.61020     0.62084       4     4     0
   0.88462     0.61538     0.76843     0.56638     0.54911       4     4     0
   0.97654     0.61538     0.60788     0.15006     0.40226       4     4     0
   1.00000     0.61538     0.61017    -0.00999     0.39895       4     4     0
   0.50000     0.75000     0.36463     0.23721     0.30386       4     4     0
   0.52346     0.75000     0.49692     0.35515     0.39367       4     4     0
   0.61538     0.75000     0.85267     0.62084     0.61020       4     4     0
   0.75000     0.75000     0.79573     0.53662     0.53662       4     4     0
   0.88462     0.75000     0.24165     0.17240     0.17287       4     4     0
   0.97654     0.75000    -0.05714     0.00946    -0.02285       4     4     0
   1.00000     0.75000    -0.07061     0.00766    -0.03710       4     4     0
   0.50000     0.88462     1.21113     0.85587     0.39934       4     4     0
   0.52346     0.88462     1.14206     0.80493     0.51937       4     4     0
   0.61538     0.88462     0.76843     0.54911     0.56638       4     4     0
   0.75000     0.88462     0.24165     0.17287     0.17240       4     4     0
   0.88462     0.88462     0.00598    -0.02472    -0.02472       4     4     0
   0.97654     0.88462    -0.02112    -0.01675     0.01157       4     4     0
   1.00000     0.88462    -0.02791     0.00262     0.01987       4     4     0
   0.50000     0.97654     1.73285     1.27563     0.10041       4     4     0
   0.52346     0.97654     1.47825     1.06207     0.14336       4     4     0
   0.61538     0.97654     0.60788     0.40226     0.15006       4     4     0
   0.75000     0.97654    -0.05714    -0.02285     0.00946       4     4     0
   0.88462     0.97654    -0.02112     0.01157    -0.01675       4     4     0
   0.97654     0.97654     0.09465     0.03274     0.03274       4     4     0
   1.00000     0.97654     0.08523     0.00159     0.04154       4     4     0
   0.50000     1.00000     1.79441     1.32876    -0.04562       4     4     0
   0.52346     1.00000     1.52317     1.10031    -0.03742       4     4     0
   0.61538     1.00000     0.61017     0.39895    -0.00999       4     4     0
   0.75000     1.00000    -0.07061    -0.03710     0.00766       4     4     0
   0.88462     1.00000    -0.02791     0.01987     0.00262       4     4     0
   0.97654     1.00000     0.08523     0.04154     0.00159       4     4     0
   1.00000     1.00000     0.07231     0.00403     0.00403       4     4     0
ZONE T= "IEL     4",  I= 7,  J= 7,  SOLUTIONTIME=   1.00020,  DATAPACKING = POINT
   0.00000     0.50000    -0.01329     0.01317     0.00192       4     4     0
   0.02346     0.50000    -0.01414     0.01632     0.01350       4     4     0
   0.11538     0.50000    -0.01887    -0.00121     0.03409       4     4     0
   0.25000     0.50000    -0.02452    -0.01997     0.00017       4     4     0
   0.38462     0.50000    -0.00710     0.01710    -0.04172       4     4     0
   0.47654     0.50000     0.03879     0.02614     0.00193       4     4     0
   0.50000     0.50000     0.05743     0.01620     0.03224       4     4     0
   0.00000     0.52346    -0.01413     0.02438     0.01879       4     4     0
   0.02346     0.52346    -0.01367     0.01976     0.01370       4     4     0
   0.11538     0.52346    -0.02325    -0.00524     0.02605       4     4     0
   0.25000     0.52346    -0.02912    -0.01837     0.03218       4     4     0
   0.38462     0.52346    -0.00071     0.01244    -0.02235       4     4     0
   0.47654     0.52346     0.02159     0.02864    -0.03088       4     4     0
   0.50000     0.52346     0.02379     0.02643    -0.01671       4     4     0
   0.00000     0.61538     0.02961    -0.04936    -0.02294       4     4     0
   0.02346     0.61538     0.05271    -0.03482    -0.06229       4     4     0
   0.11538     0.61538     0.09635     0.01333    -0.09861       4     4     0
   0.25000     0.61538     0.04599     0.01501    -0.02367       4     4     0
   0.38462     0.61538    -0.03846    -0.02799     0.00907       4     4     0
   0.47654     0.61538    -0.01228     0.01393     0.00887       4     4     0
   0.50000     0.61538     0.01804     0.04839     0.01470       4     4     0
   0.00000     0.75000     0.14973    -0.18075    -0.23088       4     4     0
   0.02346     0.75000     0.16226    -0.14828    -0.22868       4     4     0
   0.11538     0.75000     0.24562    -0.02322    -0.30005       4     4     0
   0.25000     0.75000     0.29792     0.10257    -0.34044       4     4     0
   0.38462     0.75000     0.25988     0.16969    -0.06975       4     4     0
   0.47654     0.75000     0.36821     0.25313     0.24593       4     4     0
   0.50000     0.75000     0.44460     0.29075     0.32520       4     4     0
   0.00000     0.88462     0.20368    -0.07048    -0.30142       4     4     0
   0.02346     0.88462     0.13144    -0.13194    -0.23195       4     4     0
   0.11538     0.88462     0.06419    -0.19977    -0.25719       4     4     0
   0.25000     0.88462     0.48148     0.15365    -0.44349       4     4     0
   0.38462     0.88462     1.10184     0.72263    -0.16010       4     4     0
   0.47654     0.88462     1.25109     0.88347     0.29255       4     4     0
   0.50000     0.88462     1.20646     0.85059     0.41153       4     4     0
   0.00000     0.97654     0.12832     0.11477    -0.06994       4     4     0
   0.02346     0.97654     0.03694    -0.02224    -0.04678       4     4     0
   0.11538     0.97654    -0.13819    -0.29226    -0.04295       4     4     0
   0.25000     0.97654     0.41709     0.11020    -0.10682       4     4     0
   0.38462     0.97654     1.52284     0.99426    -0.06073       4     4     0
   0.47654     0.97654     1.74398     1.25545     0.06516       4     4     0
   0.50000     0.97654     1.60779     1.19507     0.10629       4     4     0
   0.00000     1.00000     0.08800     0.15970     0.04516       4     4     0
   0.02346     1.00000     0.01129     0.01510     0.03036       4     4     0
   0.11538     1.00000    -0.16831    -0.29135     0.03146       4     4     0
   0.25000     1.00000     0.36140     0.08301     0.05762       4     4     0
   0.38462     1.00000     1.52729     0.99603     0.00744       4     4     0
   0.47654     1.00000     1.78952     1.29210    -0.03378       4     4     0
   0.50000     1.00000     1.65087     1.23845    -0.03443       4     4     0
