TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.40020,  DATAPACKING = POINT
   0.00000     0.00000    -0.00023     0.00021     0.00021       8     8     0
   0.00796     0.00000    -0.00021     0.00021     0.00020       8     8     0
   0.04099     0.00000    -0.00020     0.00026     0.00021       8     8     0
   0.09666     0.00000     0.00047    -0.00060    -0.00041       8     8     0
   0.16894     0.00000     0.00344    -0.00411    -0.00344       8     8     0
   0.25000     0.00000     0.02355    -0.02596    -0.02361       8     8     0
   0.33106     0.00000     0.06969    -0.07836    -0.06974       8     8     0
   0.40334     0.00000     0.10913    -0.12923    -0.10941       8     8     0
   0.45901     0.00000     0.11940    -0.15098    -0.11963       8     8     0
   0.49204     0.00000     0.11692    -0.15530    -0.11676       8     8     0
   0.50000     0.00000     0.11583    -0.15576    -0.11556       8     8     0
   0.00000     0.00796    -0.00021     0.00020     0.00021       8     8     0
   0.00796     0.00796    -0.00019     0.00017     0.00017       8     8     0
   0.04099     0.00796    -0.00012     0.00012     0.00016       8     8     0
   0.09666     0.00796     0.00061    -0.00077    -0.00046       8     8     0
   0.16894     0.00796     0.00425    -0.00492    -0.00339       8     8     0
   0.25000     0.00796     0.02665    -0.02926    -0.02297       8     8     0
   0.33106     0.00796     0.07398    -0.08329    -0.06788       8     8     0
   0.40334     0.00796     0.11112    -0.13222    -0.10661       8     8     0
   0.45901     0.00796     0.11863    -0.15125    -0.11692       8     8     0
   0.49204     0.00796     0.11477    -0.15412    -0.11456       8     8     0
   0.50000     0.00796     0.11335    -0.15423    -0.11352       8     8     0
   0.00000     0.04099    -0.00020     0.00021     0.00026       8     8     0
   0.00796     0.04099    -0.00012     0.00016     0.00012       8     8     0
   0.04099     0.04099     0.00041    -0.00015    -0.00015       8     8     0
   0.09666     0.04099     0.00166    -0.00122    -0.00090       8     8     0
   0.16894     0.04099     0.00777    -0.00778    -0.00340       8     8     0
   0.25000     0.04099     0.03849    -0.04194    -0.01959       8     8     0
   0.33106     0.04099     0.09006    -0.10313    -0.05865       8     8     0
   0.40334     0.04099     0.11835    -0.14439    -0.09483       8     8     0
   0.45901     0.04099     0.11609    -0.15251    -0.10671       8     8     0
   0.49204     0.04099     0.10795    -0.14997    -0.10634       8     8     0
   0.50000     0.04099     0.10549    -0.14878    -0.10584       8     8     0
   0.00000     0.09666     0.00047    -0.00041    -0.00060       8     8     0
   0.00796     0.09666     0.00061    -0.00046    -0.00077       8     8     0
   0.04099     0.09666     0.00166    -0.00090    -0.00122       8     8     0
   0.09666     0.09666     0.00373    -0.00219    -0.00219       8     8     0
   0.16894     0.09666     0.01323    -0.01136    -0.00401       8     8     0
   0.25000     0.09666     0.05664    -0.05804    -0.01414       8     8     0
   0.33106     0.09666     0.11765    -0.13130    -0.04288       8     8     0
   0.40334     0.09666     0.13468    -0.16527    -0.07561       8     8     0
   0.45901     0.09666     0.11638    -0.15890    -0.09145       8     8     0
   0.49204     0.09666     0.10070    -0.14840    -0.09486       8     8     0
   0.50000     0.09666     0.09659    -0.14532    -0.09532       8     8     0
   0.00000     0.16894     0.00344    -0.00344    -0.00411       8     8     0
   0.00796     0.16894     0.00425    -0.00339    -0.00492       8     8     0
   0.04099     0.16894     0.00777    -0.00340    -0.00778       8     8     0
   0.09666     0.16894     0.01323    -0.00401    -0.01136       8     8     0
   0.16894     0.16894     0.02460    -0.01244    -0.01244       8     8     0
   0.25000     0.16894     0.07598    -0.06767    -0.01076       8     8     0
   0.33106     0.16894     0.15205    -0.15883    -0.02138       8     8     0
