TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   0.66020,  DATAPACKING = POINT
   0.00000     0.00000     0.00001     0.00004     0.00004       8     8     0
   0.00796     0.00000     0.00000     0.00003    -0.00001       8     8     0
   0.04099     0.00000    -0.00003     0.00010    -0.00003       8     8     0
   0.09666     0.00000    -0.00000     0.00006    -0.00001       8     8     0
   0.16894     0.00000    -0.00014    -0.00012    -0.00020       8     8     0
   0.25000     0.00000     0.00021     0.00018     0.00026       8     8     0
   0.33106     0.00000     0.00061     0.00039     0.00063       8     8     0
   0.40334     0.00000    -0.00065    -0.00039    -0.00072       8     8     0
   0.45901     0.00000    -0.00117    -0.00095    -0.00139       8     8     0
   0.49204     0.00000     0.00003    -0.00032    -0.00037       8     8     0
   0.50000     0.00000     0.00053     0.00006     0.00009       8     8     0
   0.00000     0.00796     0.00000    -0.00001     0.00003       8     8     0
   0.00796     0.00796    -0.00000    -0.00001    -0.00001       8     8     0
   0.04099     0.00796    -0.00001     0.00003    -0.00002       8     8     0
   0.09666     0.00796    -0.00001     0.00001     0.00001       8     8     0
   0.16894     0.00796     0.00002    -0.00000    -0.00004       8     8     0
   0.25000     0.00796     0.00005     0.00005     0.00007       8     8     0
   0.33106     0.00796    -0.00003    -0.00004     0.00004       8     8     0
   0.40334     0.00796    -0.00006     0.00001    -0.00011       8     8     0
   0.45901     0.00796     0.00052     0.00027     0.00023       8     8     0
   0.49204     0.00796     0.00160     0.00090     0.00108       8     8     0
   0.50000     0.00796     0.00199     0.00121     0.00141       8     8     0
   0.00000     0.04099    -0.00003    -0.00003     0.00010       8     8     0
   0.00796     0.04099    -0.00001    -0.00002     0.00003       8     8     0
   0.04099     0.04099     0.00001    -0.00002    -0.00002       8     8     0
   0.09666     0.04099    -0.00001    -0.00003     0.00003       8     8     0
   0.16894     0.04099     0.00003     0.00004    -0.00001       8     8     0
   0.25000     0.04099    -0.00007    -0.00007    -0.00007       8     8     0
   0.33106     0.04099    -0.00005    -0.00002     0.00000       8     8     0
   0.40334     0.04099     0.00052     0.00039     0.00037       8     8     0
   0.45901     0.04099     0.00176     0.00112     0.00122       8     8     0
   0.49204     0.04099     0.00378     0.00262     0.00269       8     8     0
   0.50000     0.04099     0.00460     0.00328     0.00329       8     8     0
   0.00000     0.09666    -0.00000    -0.00001     0.00006       8     8     0
   0.00796     0.09666    -0.00001     0.00001     0.00001       8     8     0
   0.04099     0.09666    -0.00001     0.00003    -0.00003       8     8     0
   0.09666     0.09666    -0.00003    -0.00000    -0.00000       8     8     0
   0.16894     0.09666    -0.00002    -0.00001    -0.00003       8     8     0
   0.25000     0.09666     0.00015     0.00007     0.00008       8     8     0
   0.33106     0.09666     0.00016     0.00014     0.00017       8     8     0
   0.40334     0.09666     0.00109     0.00083     0.00081       8     8     0
   0.45901     0.09666     0.00691     0.00476     0.00474       8     8     0
   0.49204     0.09666     0.01638     0.01142     0.01136       8     8     0
   0.50000     0.09666     0.01980     0.01388     0.01378       8     8     0
   0.00000     0.16894    -0.00014    -0.00020    -0.00012       8     8     0
   0.00796     0.16894     0.00002    -0.00004    -0.00000       8     8     0
   0.04099     0.16894     0.00003    -0.00001     0.00004       8     8     0
   0.09666     0.16894    -0.00002    -0.00003    -0.00001       8     8     0
   0.16894     0.16894     0.00008     0.00009     0.00009       8     8     0
   0.25000     0.16894    -0.00010    -0.00010    -0.00007       8     8     0
   0.33106     0.16894     0.00150     0.00106     0.00093       8     8     0
   0.40334     0.16894     0.01116     0.00792     0.00799       8     8     0
   0.45901     0.16894     0.03936     0.02785     0.02808       8     8     0
   0.49204     0.16894     0.07587     0.05357     0.05384       8     8     0
   0.50000     0.16894     0.08800     0.06208     0.06241       8     8     0
   0.00000     0.25000     0.00021     0.00026     0.00018       8     8     0
   0.00796     0.25000     0.00005     0.00007     0.00005       8     8     0
   0.04099     0.25000    -0.00007    -0.00007    -0.00007       8     8     0
   0.09666     0.25000     0.00015     0.00008     0.00007       8     8     0
   0.16894     0.25000    -0.00010    -0.00007    -0.00010       8     8     0
   0.25000     0.25000     0.00160     0.00119     0.00119       8     8     0
   0.33106     0.25000     0.01373     0.00964     0.00977       8     8     0
   0.40334     0.25000     0.06518     0.04611     0.04596       8     8     0
   0.45901     0.25000     0.17338     0.12262     0.12241       8     8     0
   0.49204     0.25000     0.28006     0.19813     0.19794       8     8     0
   0.50000     0.25000     0.31068     0.21990     0.21963       8     8     0
   0.00000     0.33106     0.00061     0.00063     0.00039       8     8     0
   0.00796     0.33106    -0.00003     0.00004    -0.00004       8     8     0
   0.04099     0.33106    -0.00005     0.00000    -0.00002       8     8     0
   0.09666     0.33106     0.00016     0.00017     0.00014       8     8     0
   0.16894     0.33106     0.00150     0.00093     0.00106       8     8     0
   0.25000     0.33106     0.01373     0.00977     0.00964       8     8     0
   0.33106     0.33106     0.07697     0.05442     0.05442       8     8     0
   0.40334     0.33106     0.25289     0.17882     0.17896       8     8     0
   0.45901     0.33106     0.49025     0.34666     0.34677       8     8     0
   0.49204     0.33106     0.65536     0.46339     0.46340       8     8     0
   0.50000     0.33106     0.69475     0.49130     0.49121       8     8     0
   0.00000     0.40334    -0.00065    -0.00072    -0.00039       8     8     0
   0.00796     0.40334    -0.00006    -0.00011     0.00001       8     8     0
   0.04099     0.40334     0.00052     0.00037     0.00039       8     8     0
   0.09666     0.40334     0.00109     0.00081     0.00083       8     8     0
   0.16894     0.40334     0.01116     0.00799     0.00792       8     8     0
   0.25000     0.40334     0.06518     0.04596     0.04611       8     8     0
   0.33106     0.40334     0.25289     0.17896     0.17882       8     8     0
   0.40334     0.40334     0.57238     0.40462     0.40462       8     8     0
   0.45901     0.40334     0.83781     0.59252     0.59235       8     8     0
   0.49204     0.40334     0.94947     0.67131     0.67142       8     8     0
   0.50000     0.40334     0.96790     0.68397     0.68448       8     8     0
   0.00000     0.45901    -0.00117    -0.00139    -0.00095       8     8     0
   0.00796     0.45901     0.00052     0.00023     0.00027       8     8     0
   0.04099     0.45901     0.00176     0.00122     0.00112       8     8     0
   0.09666     0.45901     0.00691     0.00474     0.00476       8     8     0
   0.16894     0.45901     0.03936     0.02808     0.02785       8     8     0
   0.25000     0.45901     0.17338     0.12241     0.12262       8     8     0
   0.33106     0.45901     0.49025     0.34677     0.34666       8     8     0
   0.40334     0.45901     0.83781     0.59235     0.59252       8     8     0
   0.45901     0.45901     0.99125     0.70096     0.70096       8     8     0
