TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.20000,  DATAPACKING = POINT
   0.00000     0.00000     0.23441     0.24973     0.24973       4     4     0
   0.02346     0.00000     0.11037     0.14321     0.09101       4     4     0
   0.11538     0.00000     0.31075     0.21524     0.17101       4     4     0
   0.25000     0.00000     0.97046     0.66795     0.71187       4     4     0
   0.38462     0.00000     0.73499     0.55179     0.50229       4     4     0
   0.47654     0.00000     0.26292     0.14932     0.21200       4     4     0
   0.50000     0.00000     0.19417     0.04833     0.22108       4     4     0
   0.00000     0.02346     0.11037     0.09101     0.14321       4     4     0
   0.02346     0.02346     0.11069     0.10300     0.10300       4     4     0
   0.11538     0.02346     0.49781     0.36044     0.33236       4     4     0
   0.25000     0.02346     0.99345     0.68455     0.71169       4     4     0
   0.38462     0.02346     0.59677     0.44532     0.41108       4     4     0
   0.47654     0.02346     0.17456     0.09650     0.14191       4     4     0
   0.50000     0.02346     0.14272     0.02836     0.15139       4     4     0
   0.00000     0.11538     0.31075     0.17101     0.21524       4     4     0
   0.02346     0.11538     0.49781     0.33236     0.36044       4     4     0
   0.11538     0.11538     0.91407     0.66163     0.66163       4     4     0
   0.25000     0.11538     0.77172     0.53865     0.53807       4     4     0
   0.38462     0.11538     0.21402     0.15343     0.15146       4     4     0
   0.47654     0.11538     0.00813     0.00203     0.00793       4     4     0
   0.50000     0.11538     0.02614     0.00150     0.01424       4     4     0
   0.00000     0.25000     0.97046     0.71187     0.66795       4     4     0
   0.02346     0.25000     0.99345     0.71169     0.68455       4     4     0
   0.11538     0.25000     0.77172     0.53807     0.53865       4     4     0
   0.25000     0.25000     0.22048     0.16190     0.16190       4     4     0
   0.38462     0.25000    -0.00181    -0.00536    -0.00170       4     4     0
   0.47654     0.25000     0.00542     0.00714     0.00300       4     4     0
   0.50000     0.25000    -0.00331     0.01238     0.00046       4     4     0
   0.00000     0.38462     0.73499     0.50229     0.55179       4     4     0
   0.02346     0.38462     0.59677     0.41108     0.44532       4     4     0
   0.11538     0.38462     0.21402     0.15146     0.15343       4     4     0
   0.25000     0.38462    -0.00181    -0.00170    -0.00536       4     4     0
   0.38462     0.38462    -0.00159    -0.00063    -0.00063       4     4     0
   0.47654     0.38462     0.01105     0.00726     0.00832       4     4     0
   0.50000     0.38462     0.00582     0.00173     0.00351       4     4     0
   0.00000     0.47654     0.26292     0.21200     0.14932       4     4     0
   0.02346     0.47654     0.17456     0.14191     0.09650       4     4     0
   0.11538     0.47654     0.00813     0.00793     0.00203       4     4     0
   0.25000     0.47654     0.00542     0.00300     0.00714       4     4     0
   0.38462     0.47654     0.01105     0.00832     0.00726       4     4     0
   0.47654     0.47654    -0.00743    -0.00579    -0.00579       4     4     0
   0.50000     0.47654    -0.00736    -0.00610    -0.00484       4     4     0
   0.00000     0.50000     0.19417     0.22108     0.04833       4     4     0
   0.02346     0.50000     0.14272     0.15139     0.02836       4     4     0
   0.11538     0.50000     0.02614     0.01424     0.00150       4     4     0
   0.25000     0.50000    -0.00331     0.00046     0.01238       4     4     0
   0.38462     0.50000     0.00582     0.00351     0.00173       4     4     0
   0.47654     0.50000    -0.00736    -0.00484    -0.00610       4     4     0
   0.50000     0.50000    -0.01450    -0.00265    -0.00265       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.20000,  DATAPACKING = POINT
   0.50000     0.00000     0.15178     0.09523     0.12173       4     4     0
   0.52346     0.00000     0.11148     0.07542     0.08298       4     4     0
   0.61538     0.00000     0.02333     0.02250     0.00906       4     4     0
   0.75000     0.00000    -0.00058    -0.00250     0.00175       4     4     0
   0.88462     0.00000     0.00027     0.00132    -0.00069       4     4     0
   0.97654     0.00000     0.00056     0.00008    -0.00036       4     4     0
   1.00000     0.00000     0.00258    -0.00267     0.00489       4     4     0
   0.50000     0.02346     0.10571     0.06799     0.08635       4     4     0
   0.52346     0.02346     0.07901     0.05458     0.05968       4     4     0
   0.61538     0.02346     0.01823     0.01713     0.00751       4     4     0
   0.75000     0.02346    -0.00109    -0.00224     0.00079       4     4     0
   0.88462     0.02346     0.00027     0.00090    -0.00025       4     4     0
   0.97654     0.02346     0.00096     0.00062    -0.00024       4     4     0
   1.00000     0.02346     0.00181    -0.00145     0.00282       4     4     0
   0.50000     0.11538     0.01791     0.01394     0.01636       4     4     0
   0.52346     0.11538     0.01549     0.01237     0.01253       4     4     0
   0.61538     0.11538     0.00575     0.00485     0.00285       4     4     0
   0.75000     0.11538    -0.00172    -0.00159    -0.00077       4     4     0
   0.88462     0.11538     0.00053     0.00047     0.00045       4     4     0
   0.97654     0.11538     0.00093     0.00090    -0.00003       4     4     0
   1.00000     0.11538    -0.00030    -0.00023    -0.00066       4     4     0
   0.50000     0.25000     0.00881     0.00595     0.00504       4     4     0
   0.52346     0.25000     0.00566     0.00397     0.00312       4     4     0
   0.61538     0.25000    -0.00053    -0.00031    -0.00042       4     4     0
   0.75000     0.25000    -0.00049    -0.00056    -0.00019       4     4     0
   0.88462     0.25000     0.00054     0.00057     0.00018       4     4     0
   0.97654     0.25000    -0.00042    -0.00040    -0.00014       4     4     0
   1.00000     0.25000    -0.00082    -0.00103    -0.00013       4     4     0
   0.50000     0.38462     0.00137     0.00179     0.00011       4     4     0
   0.52346     0.38462    -0.00025     0.00014    -0.00039       4     4     0
   0.61538     0.38462    -0.00159    -0.00140    -0.00065       4     4     0
   0.75000     0.38462     0.00060     0.00056     0.00023       4     4     0
   0.88462     0.38462    -0.00019    -0.00018    -0.00006       4     4     0
   0.97654     0.38462    -0.00039    -0.00035    -0.00018       4     4     0
   1.00000     0.38462     0.00028     0.00029     0.00004       4     4     0
   0.50000     0.47654    -0.00726    -0.00645    -0.00368       4     4     0
   0.52346     0.47654    -0.00443    -0.00377    -0.00243       4     4     0
   0.61538     0.47654     0.00053     0.00071     0.00002       4     4     0
   0.75000     0.47654     0.00002    -0.00006     0.00010       4     4     0
   0.88462     0.47654    -0.00018    -0.00014    -0.00013       4     4     0
   0.97654     0.47654     0.00033     0.00037     0.00012       4     4     0
   1.00000     0.47654     0.00020     0.00019     0.00017       4     4     0
   0.50000     0.50000    -0.00452    -0.00696    -0.00091       4     4     0
   0.52346     0.50000    -0.00175    -0.00300    -0.00056       4     4     0
   0.61538     0.50000     0.00182     0.00219     0.00020       4     4     0
   0.75000     0.50000    -0.00038    -0.00063     0.00011       4     4     0
   0.88462     0.50000     0.00006     0.00019    -0.00020       4     4     0
   0.97654     0.50000     0.00046     0.00049     0.00026       4     4     0
   1.00000     0.50000    -0.00017    -0.00057     0.00054       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.20000,  DATAPACKING = POINT
   0.50000     0.50000    -0.00257    -0.00146    -0.00146       4     4     1
   0.52346     0.50000    -0.00073    -0.00047    -0.00025       4     4     1
   0.61538     0.50000     0.00142     0.00076     0.00106       4     4     1
   0.75000     0.50000    -0.00034    -0.00015    -0.00026       4     4     1
   0.88462     0.50000     0.00004    -0.00003     0.00004       4     4     1
   0.97654     0.50000     0.00042     0.00024     0.00030       4     4     1
   1.00000     0.50000    -0.00001     0.00009    -0.00002       4     4     1
   0.50000     0.52346    -0.00073    -0.00025    -0.00047       4     4     1
   0.52346     0.52346     0.00010     0.00014     0.00014       4     4     1
   0.61538     0.52346     0.00086     0.00046     0.00066       4     4     1
   0.75000     0.52346    -0.00024    -0.00011    -0.00018       4     4     1
   0.88462     0.52346     0.00006     0.00002     0.00005       4     4     1
   0.97654     0.52346     0.00021     0.00011     0.00017       4     4     1
   1.00000     0.52346    -0.00007    -0.00001    -0.00005       4     4     1
   0.50000     0.61538     0.00142     0.00106     0.00076       4     4     1
   0.52346     0.61538     0.00086     0.00066     0.00046       4     4     1
   0.61538     0.61538    -0.00012    -0.00007    -0.00007       4     4     1
   0.75000     0.61538    -0.00001    -0.00002    -0.00000       4     4     1
   0.88462     0.61538     0.00004     0.00004     0.00002       4     4     1
   0.97654     0.61538    -0.00009    -0.00007    -0.00005       4     4     1
   1.00000     0.61538    -0.00008    -0.00009    -0.00004       4     4     1
   0.50000     0.75000    -0.00034    -0.00026    -0.00015       4     4     1
   0.52346     0.75000    -0.00024    -0.00018    -0.00011       4     4     1
   0.61538     0.75000    -0.00001    -0.00000    -0.00002       4     4     1
   0.75000     0.75000     0.00002     0.00002     0.00002       4     4     1
   0.88462     0.75000    -0.00002    -0.00002    -0.00001       4     4     1
   0.97654     0.75000     0.00002     0.00002     0.00001       4     4     1
   1.00000     0.75000     0.00005     0.00004     0.00003       4     4     1
   0.50000     0.88462     0.00004     0.00004    -0.00003       4     4     1
   0.52346     0.88462     0.00006     0.00005     0.00002       4     4     1
   0.61538     0.88462     0.00004     0.00002     0.00004       4     4     1
   0.75000     0.88462    -0.00002    -0.00001    -0.00002       4     4     1
   0.88462     0.88462     0.00001     0.00001     0.00001       4     4     1
   0.97654     0.88462     0.00000    -0.00000     0.00001       4     4     1
   1.00000     0.88462    -0.00003    -0.00002    -0.00002       4     4     1
   0.50000     0.97654     0.00042     0.00030     0.00024       4     4     1
