TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.45020,  DATAPACKING = POINT
   0.00000     0.00000     0.00010    -0.00007    -0.00007       8     8     0
   0.00796     0.00000     0.00019    -0.00013    -0.00016       8     8     0
   0.04099     0.00000     0.00084    -0.00045    -0.00077       8     8     0
   0.09666     0.00000     0.00260    -0.00204    -0.00254       8     8     0
   0.16894     0.00000     0.01266    -0.01273    -0.01257       8     8     0
   0.25000     0.00000     0.04694    -0.05111    -0.04679       8     8     0
   0.33106     0.00000     0.09228    -0.10702    -0.09251       8     8     0
   0.40334     0.00000     0.11257    -0.14017    -0.11294       8     8     0
   0.45901     0.00000     0.10921    -0.14639    -0.10902       8     8     0
   0.49204     0.00000     0.10191    -0.14408    -0.10140       8     8     0
   0.50000     0.00000     0.09954    -0.14278    -0.09902       8     8     0
   0.00000     0.00796     0.00019    -0.00016    -0.00013       8     8     0
   0.00796     0.00796     0.00029    -0.00024    -0.00024       8     8     0
   0.04099     0.00796     0.00099    -0.00066    -0.00087       8     8     0
   0.09666     0.00796     0.00305    -0.00250    -0.00261       8     8     0
   0.16894     0.00796     0.01465    -0.01480    -0.01243       8     8     0
   0.25000     0.00796     0.05094    -0.05554    -0.04578       8     8     0
   0.33106     0.00796     0.09529    -0.11079    -0.09024       8     8     0
   0.40334     0.00796     0.11240    -0.14076    -0.11043       8     8     0
   0.45901     0.00796     0.10710    -0.14482    -0.10721       8     8     0
   0.49204     0.00796     0.09921    -0.14175    -0.10016       8     8     0
   0.50000     0.00796     0.09671    -0.14029    -0.09792       8     8     0
   0.00000     0.04099     0.00084    -0.00077    -0.00045       8     8     0
   0.00796     0.04099     0.00099    -0.00087    -0.00066       8     8     0
   0.04099     0.04099     0.00213    -0.00153    -0.00153       8     8     0
   0.09666     0.04099     0.00553    -0.00425    -0.00340       8     8     0
   0.16894     0.04099     0.02341    -0.02256    -0.01212       8     8     0
   0.25000     0.04099     0.06790    -0.07246    -0.04143       8     8     0
   0.33106     0.04099     0.10777    -0.12543    -0.08138       8     8     0
   0.40334     0.04099     0.11161    -0.14374    -0.10084       8     8     0
   0.45901     0.04099     0.09912    -0.14034    -0.09964       8     8     0
   0.49204     0.04099     0.08932    -0.13444    -0.09457       8     8     0
   0.50000     0.04099     0.08636    -0.13225    -0.09290       8     8     0
   0.00000     0.09666     0.00260    -0.00254    -0.00204       8     8     0
   0.00796     0.09666     0.00305    -0.00261    -0.00250       8     8     0
   0.04099     0.09666     0.00553    -0.00340    -0.00425       8     8     0
   0.09666     0.09666     0.01129    -0.00686    -0.00686       8     8     0
   0.16894     0.09666     0.03739    -0.03273    -0.01257       8     8     0
   0.25000     0.09666     0.09437    -0.09653    -0.03295       8     8     0
   0.33106     0.09666     0.13141    -0.14871    -0.06707       8     8     0
   0.40334     0.09666     0.11749    -0.15047    -0.08915       8     8     0
   0.45901     0.09666     0.09284    -0.13569    -0.09216       8     8     0
   0.49204     0.09666     0.07847    -0.12566    -0.08947       8     8     0
   0.50000     0.09666     0.07432    -0.12234    -0.08848       8     8     0
   0.00000     0.16894     0.01266    -0.01257    -0.01273       8     8     0
   0.00796     0.16894     0.01465    -0.01243    -0.01480       8     8     0
   0.04099     0.16894     0.02341    -0.01212    -0.02256       8     8     0
