TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   1.09020,  DATAPACKING = POINT
   0.00000     0.00000    -0.00001     0.00000     0.00000       8     8     0
   0.00796     0.00000     0.00000     0.00001    -0.00001       8     8     0
   0.04099     0.00000     0.00004     0.00007    -0.00005       8     8     0
   0.09666     0.00000     0.00001     0.00008    -0.00001       8     8     0
   0.16894     0.00000     0.00002    -0.00001    -0.00002       8     8     0
   0.25000     0.00000     0.00003    -0.00002    -0.00003       8     8     0
   0.33106     0.00000    -0.00009     0.00001     0.00010       8     8     0
   0.40334     0.00000     0.00070    -0.00073    -0.00073       8     8     0
   0.45901     0.00000     0.00421    -0.00448    -0.00423       8     8     0
   0.49204     0.00000     0.00983    -0.01068    -0.00982       8     8     0
   0.50000     0.00000     0.01192    -0.01296    -0.01190       8     8     0
   0.00000     0.00796     0.00000    -0.00001     0.00001       8     8     0
   0.00796     0.00796     0.00002    -0.00002    -0.00002       8     8     0
   0.04099     0.00796     0.00006     0.00000    -0.00007       8     8     0
   0.09666     0.00796     0.00003     0.00005    -0.00002       8     8     0
   0.16894     0.00796     0.00005    -0.00002    -0.00004       8     8     0
   0.25000     0.00796     0.00003    -0.00002    -0.00003       8     8     0
   0.33106     0.00796    -0.00008     0.00002     0.00009       8     8     0
   0.40334     0.00796     0.00092    -0.00098    -0.00069       8     8     0
   0.45901     0.00796     0.00502    -0.00538    -0.00404       8     8     0
   0.49204     0.00796     0.01153    -0.01256    -0.00943       8     8     0
   0.50000     0.00796     0.01396    -0.01522    -0.01145       8     8     0
   0.00000     0.04099     0.00004    -0.00005     0.00007       8     8     0
   0.00796     0.04099     0.00006    -0.00007     0.00000       8     8     0
   0.04099     0.04099     0.00006    -0.00008    -0.00008       8     8     0
   0.09666     0.04099    -0.00002     0.00003    -0.00001       8     8     0
   0.16894     0.04099     0.00011    -0.00002    -0.00008       8     8     0
   0.25000     0.04099     0.00007     0.00002    -0.00009       8     8     0
   0.33106     0.04099    -0.00002     0.00003     0.00005       8     8     0
   0.40334     0.04099     0.00168    -0.00180    -0.00051       8     8     0
   0.45901     0.04099     0.00796    -0.00858    -0.00302       8     8     0
   0.49204     0.04099     0.01781    -0.01936    -0.00719       8     8     0
   0.50000     0.04099     0.02146    -0.02338    -0.00877       8     8     0
   0.00000     0.09666     0.00001    -0.00001     0.00008       8     8     0
   0.00796     0.09666     0.00003    -0.00002     0.00005       8     8     0
   0.04099     0.09666    -0.00002    -0.00001     0.00003       8     8     0
   0.09666     0.09666    -0.00017     0.00009     0.00009       8     8     0
   0.16894     0.09666    -0.00001    -0.00008     0.00008       8     8     0
   0.25000     0.09666    -0.00002    -0.00001    -0.00001       8     8     0
   0.33106     0.09666     0.00001     0.00008    -0.00002       8     8     0
   0.40334     0.09666     0.00245    -0.00251    -0.00008       8     8     0
   0.45901     0.09666     0.01095    -0.01168    -0.00083       8     8     0
   0.49204     0.09666     0.02430    -0.02611    -0.00223       8     8     0
   0.50000     0.09666     0.02927    -0.03150    -0.00276       8     8     0
   0.00000     0.16894     0.00002    -0.00002    -0.00001       8     8     0
   0.00796     0.16894     0.00005    -0.00004    -0.00002       8     8     0
   0.04099     0.16894     0.00011    -0.00008    -0.00002       8     8     0
   0.09666     0.16894    -0.00001     0.00008    -0.00008       8     8     0
   0.16894     0.16894     0.00006    -0.00001    -0.00001       8     8     0
   0.25000     0.16894     0.00001    -0.00010     0.00007       8     8     0
   0.33106     0.16894    -0.00019     0.00011    -0.00003       8     8     0
   0.40334     0.16894     0.00223    -0.00218     0.00035       8     8     0
   0.45901     0.16894     0.01096    -0.01120     0.00157       8     8     0
   0.49204     0.16894     0.02449    -0.02539     0.00330       8     8     0
   0.50000     0.16894     0.02951    -0.03066     0.00395       8     8     0
   0.00000     0.25000     0.00003    -0.00003    -0.00002       8     8     0
   0.00796     0.25000     0.00003    -0.00003    -0.00002       8     8     0
   0.04099     0.25000     0.00007    -0.00009     0.00002       8     8     0
   0.09666     0.25000    -0.00002    -0.00001    -0.00001       8     8     0
   0.16894     0.25000     0.00001     0.00007    -0.00010       8     8     0
   0.25000     0.25000     0.00024    -0.00005    -0.00005       8     8     0
   0.33106     0.25000    -0.00010     0.00008    -0.00005       8     8     0
   0.40334     0.25000     0.00089    -0.00096     0.00027       8     8     0
   0.45901     0.25000     0.00703    -0.00682     0.00218       8     8     0
   0.49204     0.25000     0.01684    -0.01644     0.00522       8     8     0
   0.50000     0.25000     0.02042    -0.01997     0.00631       8     8     0
   0.00000     0.33106    -0.00009     0.00010     0.00001       8     8     0
   0.00796     0.33106    -0.00008     0.00009     0.00002       8     8     0
   0.04099     0.33106    -0.00002     0.00005     0.00003       8     8     0
   0.09666     0.33106     0.00001    -0.00002     0.00008       8     8     0
   0.16894     0.33106    -0.00019    -0.00003     0.00011       8     8     0
   0.25000     0.33106    -0.00010    -0.00005     0.00008       8     8     0
   0.33106     0.33106     0.00018    -0.00001    -0.00001       8     8     0
   0.40334     0.33106     0.00017    -0.00013    -0.00002       8     8     0
   0.45901     0.33106     0.00244    -0.00240     0.00107       8     8     0
   0.49204     0.33106     0.00731    -0.00682     0.00326       8     8     0
   0.50000     0.33106     0.00917    -0.00851     0.00409       8     8     0
   0.00000     0.40334     0.00070    -0.00073    -0.00073       8     8     0
   0.00796     0.40334     0.00092    -0.00069    -0.00098       8     8     0
   0.04099     0.40334     0.00168    -0.00051    -0.00180       8     8     0
   0.09666     0.40334     0.00245    -0.00008    -0.00251       8     8     0
   0.16894     0.40334     0.00223     0.00035    -0.00218       8     8     0
   0.25000     0.40334     0.00089     0.00027    -0.00096       8     8     0
   0.33106     0.40334     0.00017    -0.00002    -0.00013       8     8     0
   0.40334     0.40334     0.00024    -0.00003    -0.00003       8     8     0
   0.45901     0.40334     0.00066    -0.00043     0.00018       8     8     0
   0.49204     0.40334     0.00207    -0.00179     0.00106       8     8     0
   0.50000     0.40334     0.00274    -0.00240     0.00145       8     8     0
   0.00000     0.45901     0.00421    -0.00423    -0.00448       8     8     0
   0.00796     0.45901     0.00502    -0.00404    -0.00538       8     8     0
   0.04099     0.45901     0.00796    -0.00302    -0.00858       8     8     0
   0.09666     0.45901     0.01095    -0.00083    -0.01168       8     8     0
   0.16894     0.45901     0.01096     0.00157    -0.01120       8     8     0
   0.25000     0.45901     0.00703     0.00218    -0.00682       8     8     0
   0.33106     0.45901     0.00244     0.00107    -0.00240       8     8     0
   0.40334     0.45901     0.00066     0.00018    -0.00043       8     8     0
   0.45901     0.45901     0.00059    -0.00005    -0.00005       8     8     0
   0.49204     0.45901     0.00083    -0.00035     0.00015       8     8     0
   0.50000     0.45901     0.00096    -0.00050     0.00026       8     8     0
   0.00000     0.49204     0.00983    -0.00982    -0.01068       8     8     0
   0.00796     0.49204     0.01153    -0.00943    -0.01256       8     8     0
   0.04099     0.49204     0.01781    -0.00719    -0.01936       8     8     0
   0.09666     0.49204     0.02430    -0.00223    -0.02611       8     8     0
   0.16894     0.49204     0.02449     0.00330    -0.02539       8     8     0
   0.25000     0.49204     0.01684     0.00522    -0.01644       8     8     0
   0.33106     0.49204     0.00731     0.00326    -0.00682       8     8     0
   0.40334     0.49204     0.00207     0.00106    -0.00179       8     8     0
   0.45901     0.49204     0.00083     0.00015    -0.00035       8     8     0
   0.49204     0.49204     0.00073    -0.00010    -0.00010       8     8     0
   0.50000     0.49204     0.00074    -0.00013    -0.00006       8     8     0
   0.00000     0.50000     0.01192    -0.01190    -0.01296       8     8     0
