TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=11,  J=11,  SOLUTIONTIME=   0.60020,  DATAPACKING = POINT
   0.00000     0.00000     0.00007     0.00008     0.00008       8     8     0
   0.00796     0.00000    -0.00001     0.00001    -0.00002       8     8     0
   0.04099     0.00000    -0.00003     0.00005    -0.00006       8     8     0
   0.09666     0.00000    -0.00013     0.00000    -0.00016       8     8     0
   0.16894     0.00000     0.00023     0.00013     0.00030       8     8     0
   0.25000     0.00000     0.00058     0.00043     0.00063       8     8     0
   0.33106     0.00000    -0.00091    -0.00065    -0.00108       8     8     0
   0.40334     0.00000    -0.00025    -0.00021    -0.00045       8     8     0
   0.45901     0.00000     0.00606     0.00439     0.00477       8     8     0
   0.49204     0.00000     0.01448     0.01015     0.01088       8     8     0
   0.50000     0.00000     0.01734     0.01202     0.01286       8     8     0
   0.00000     0.00796    -0.00001    -0.00002     0.00001       8     8     0
   0.00796     0.00796     0.00001    -0.00001    -0.00001       8     8     0
   0.04099     0.00796     0.00002     0.00002    -0.00003       8     8     0
   0.09666     0.00796     0.00001     0.00003    -0.00002       8     8     0
   0.16894     0.00796     0.00004     0.00002     0.00008       8     8     0
   0.25000     0.00796    -0.00005    -0.00002     0.00005       8     8     0
   0.33106     0.00796     0.00002     0.00000    -0.00013       8     8     0
   0.40334     0.00796     0.00135     0.00094     0.00096       8     8     0
   0.45901     0.00796     0.00656     0.00474     0.00485       8     8     0
   0.49204     0.00796     0.01501     0.01056     0.01068       8     8     0
   0.50000     0.00796     0.01814     0.01266     0.01282       8     8     0
   0.00000     0.04099    -0.00003    -0.00006     0.00005       8     8     0
   0.00796     0.04099     0.00002    -0.00003     0.00002       8     8     0
   0.04099     0.04099     0.00001    -0.00003    -0.00003       8     8     0
   0.09666     0.04099     0.00003    -0.00000     0.00000       8     8     0
   0.16894     0.04099    -0.00006    -0.00005    -0.00008       8     8     0
   0.25000     0.04099    -0.00005    -0.00003     0.00001       8     8     0
   0.33106     0.04099     0.00072     0.00050     0.00049       8     8     0
   0.40334     0.04099     0.00337     0.00239     0.00243       8     8     0
   0.45901     0.04099     0.01417     0.01011     0.01015       8     8     0
   0.49204     0.04099     0.03115     0.02200     0.02196       8     8     0
   0.50000     0.04099     0.03721     0.02620     0.02615       8     8     0
   0.00000     0.09666    -0.00013    -0.00016     0.00000       8     8     0
   0.00796     0.09666     0.00001    -0.00002     0.00003       8     8     0
   0.04099     0.09666     0.00003     0.00000    -0.00000       8     8     0
   0.09666     0.09666    -0.00004    -0.00002    -0.00002       8     8     0
   0.16894     0.09666     0.00017     0.00015     0.00009       8     8     0
   0.25000     0.09666     0.00012     0.00006     0.00015       8     8     0
   0.33106     0.09666     0.00183     0.00131     0.00127       8     8     0
   0.40334     0.09666     0.01479     0.01043     0.01031       8     8     0
