TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   0.00000,  DATAPACKING = POINT
   0.00000     0.00000     0.98947     0.69966     0.69966       4     4     0
   0.01173     0.00000     0.99079     0.70059     0.70059       4     4     0
   0.05769     0.00000     0.89043     0.62963     0.62963       4     4     0
   0.12500     0.00000     0.58444     0.41326     0.41326       4     4     0
   0.19231     0.00000     0.27897     0.19726     0.19726       4     4     0
   0.23827     0.00000     0.14003     0.09901     0.09901       4     4     0
   0.25000     0.00000     0.11685     0.08262     0.08262       4     4     0
   0.00000     0.01173     0.99079     0.70059     0.70059       4     4     0
   0.01173     0.01173     0.98111     0.69375     0.69375       4     4     0
   0.05769     0.01173     0.84619     0.59835     0.59835       4     4     0
   0.12500     0.01173     0.52314     0.36992     0.36992       4     4     0
   0.19231     0.01173     0.23626     0.16706     0.16706       4     4     0
   0.23827     0.01173     0.11463     0.08105     0.08105       4     4     0
   0.25000     0.01173     0.09401     0.06647     0.06647       4     4     0
   0.00000     0.05769     0.89043     0.62963     0.62963       4     4     0
   0.01173     0.05769     0.84619     0.59835     0.59835       4     4     0
   0.05769     0.05769     0.63040     0.44576     0.44576       4     4     0
   0.12500     0.05769     0.31451     0.22239     0.22239       4     4     0
   0.19231     0.05769     0.11463     0.08105     0.08105       4     4     0
   0.23827     0.05769     0.04804     0.03397     0.03397       4     4     0
   0.25000     0.05769     0.03559     0.02517     0.02517       4     4     0
   0.00000     0.12500     0.58444     0.41326     0.41326       4     4     0
   0.01173     0.12500     0.52314     0.36992     0.36992       4     4     0
   0.05769     0.12500     0.31451     0.22239     0.22239       4     4     0
   0.12500     0.12500     0.11463     0.08105     0.08105       4     4     0
   0.19231     0.12500     0.03052     0.02158     0.02158       4     4     0
   0.23827     0.12500     0.01032     0.00730     0.00730       4     4     0
   0.25000     0.12500     0.00556     0.00393     0.00393       4     4     0
   0.00000     0.19231     0.27897     0.19726     0.19726       4     4     0
   0.01173     0.19231     0.23626     0.16706     0.16706       4     4     0
   0.05769     0.19231     0.11463     0.08105     0.08105       4     4     0
   0.12500     0.19231     0.03052     0.02158     0.02158       4     4     0
   0.19231     0.19231     0.00594     0.00420     0.00420       4     4     0
   0.23827     0.19231     0.00162     0.00115     0.00115       4     4     0
   0.25000     0.19231     0.00082     0.00058     0.00058       4     4     0
   0.00000     0.23827     0.14003     0.09901     0.09901       4     4     0
   0.01173     0.23827     0.11463     0.08105     0.08105       4     4     0
   0.05769     0.23827     0.04804     0.03397     0.03397       4     4     0
   0.12500     0.23827     0.01032     0.00730     0.00730       4     4     0
   0.19231     0.23827     0.00162     0.00115     0.00115       4     4     0
   0.23827     0.23827     0.00038     0.00027     0.00027       4     4     0
   0.25000     0.23827     0.00053     0.00038     0.00038       4     4     0
   0.00000     0.25000     0.11685     0.08262     0.08262       4     4     0
   0.01173     0.25000     0.09401     0.06647     0.06647       4     4     0
   0.05769     0.25000     0.03559     0.02517     0.02517       4     4     0
   0.12500     0.25000     0.00556     0.00393     0.00393       4     4     0
   0.19231     0.25000     0.00082     0.00058     0.00058       4     4     0
   0.23827     0.25000     0.00053     0.00038     0.00038       4     4     0
   0.25000     0.25000     0.00071     0.00050     0.00050       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   0.00000,  DATAPACKING = POINT
   0.00000     0.25000     0.11470     0.08110     0.08110       4     4     0
   0.01173     0.25000     0.09298     0.06575     0.06575       4     4     0
   0.05769     0.25000     0.03722     0.02632     0.02632       4     4     0
   0.12500     0.25000     0.00743     0.00526     0.00526       4     4     0
   0.19231     0.25000     0.00108     0.00076     0.00076       4     4     0
   0.23827     0.25000     0.00024     0.00017     0.00017       4     4     0
   0.25000     0.25000     0.00050     0.00035     0.00035       4     4     0
   0.00000     0.26173     0.09298     0.06575     0.06575       4     4     0
   0.01173     0.26173     0.07490     0.05296     0.05296       4     4     0
   0.05769     0.26173     0.02913     0.02060     0.02060       4     4     0
   0.12500     0.26173     0.00561     0.00397     0.00397       4     4     0
   0.19231     0.26173     0.00079     0.00056     0.00056       4     4     0
   0.23827     0.26173     0.00017     0.00012     0.00012       4     4     0
   0.25000     0.26173     0.00047     0.00033     0.00033       4     4     0
   0.00000     0.30769     0.03722     0.02632     0.02632       4     4     0
   0.01173     0.30769     0.02913     0.02060     0.02060       4     4     0
   0.05769     0.30769     0.00978     0.00692     0.00692       4     4     0
   0.12500     0.30769     0.00152     0.00108     0.00108       4     4     0
   0.19231     0.30769     0.00017     0.00012     0.00012       4     4     0
   0.23827     0.30769     0.00003     0.00002     0.00002       4     4     0
   0.25000     0.30769     0.00031     0.00022     0.00022       4     4     0
   0.00000     0.37500     0.00743     0.00526     0.00526       4     4     0
   0.01173     0.37500     0.00561     0.00397     0.00397       4     4     0
   0.05769     0.37500     0.00152     0.00108     0.00108       4     4     0
   0.12500     0.37500     0.00017     0.00012     0.00012       4     4     0
   0.19231     0.37500     0.00001     0.00001     0.00001       4     4     0
   0.23827     0.37500     0.00000     0.00000     0.00000       4     4     0
